sample_no,sample_name,parents,group,treatment,embryonic_phase,pvc_leachate_level,hours_post_fertilization,pvc_leachate_concentration_mg.L
1,101112C14,101112,C14,early gastrula_control,earlygastrula,control,14,0
2,101112C4,101112,C4,cleavage_control,cleavage,control,4,0
3,101112C9,101112,C9,prawn chip_control,prawnchip,control,9,0
4,101112H14,101112,H14,early gastrula_high,earlygastrula,high,14,1
5,101112H4,101112,H4,cleavage_high,cleavage,high,4,1
6,101112H9,101112,H9,prawn chip_high,prawnchip,high,9,1
7,101112L14,101112,L14,early gastrula_low,earlygastrula,low,14,0.01
8,101112L4,101112,L4,cleavage_low,cleavage,low,4,0.01
9,101112L9,101112,L9,prawn chip_low,prawnchip,low,9,0.01
10,101112M14,101112,M14,early gastrula_mid,earlygastrula,mid,14,0.1
11,101112M4,101112,M4,cleavage_mid,cleavage,mid,4,0.1
12,101112M9,101112,M9,prawn chip_mid,prawnchip,mid,9,0.1
13,123C14,123,C14,early gastrula_control,earlygastrula,control,14,0
14,123C4,123,C4,cleavage_control,cleavage,control,4,0
15,123C9,123,C9,prawn chip_control,prawnchip,control,9,0
16,123H14,123,H14,early gastrula_high,earlygastrula,high,14,1
17,123H4,123,H4,cleavage_high,cleavage,high,4,1
18,123H9,123,H9,prawn chip_high,prawnchip,high,9,1
19,123L14,123,L14,early gastrula_low,earlygastrula,low,14,0.01
20,123L4,123,L4,cleavage_low,cleavage,low,4,0.01
21,123L9,123,L9,prawn chip_low,prawnchip,low,9,0.01
22,123M4,123,M4,cleavage_mid,cleavage,mid,4,0.1
23,123M9,123,M9,prawn chip_mid,prawnchip,mid,9,0.1
24,131415C14,131415,C14,early gastrula_control,earlygastrula,control,14,0
25,131415C4,131415,C4,cleavage_control,cleavage,control,4,0
26,131415C9,131415,C9,prawn chip_control,prawnchip,control,9,0
27,131415H14,131415,H14,early gastrula_high,earlygastrula,high,14,1
28,131415H4,131415,H4,cleavage_high,cleavage,high,4,1
29,131415H9,131415,H9,prawn chip_high,prawnchip,high,9,1
30,131415L14,131415,L14,early gastrula_low,earlygastrula,low,14,0.01
31,131415L4,131415,L4,cleavage_low,cleavage,low,4,0.01
32,131415L9,131415,L9,prawn chip_low,prawnchip,low,9,0.01
33,131415M14,131415,M14,early gastrula_mid,earlygastrula,mid,14,0.1
34,131415M4,131415,M4,cleavage_mid,cleavage,mid,4,0.1
35,131415M9,131415,M9,prawn chip_mid,prawnchip,mid,9,0.1
36,13M14,13,M14,early gastrula_mid,earlygastrula,mid,14,0.1
37,456C4,456,C4,cleavage_control,cleavage,control,4,0
38,456H4,456,H4,cleavage_high,cleavage,high,4,1
39,456H9,456,H9,prawn chip_high,prawnchip,high,9,1
40,456L14,456,L14,early gastrula_low,earlygastrula,low,14,0.01
41,456L4,456,L4,cleavage_low,cleavage,low,4,0.01
42,456L9,456,L9,prawn chip_low,prawnchip,low,9,0.01
43,456M14,456,M14,early gastrula_mid,earlygastrula,mid,14,0.1
44,456M4,456,M4,cleavage_mid,cleavage,mid,4,0.1
45,456M9,456,M9,prawn chip_mid,prawnchip,mid,9,0.1
46,45C14,45,C14,early gastrula_control,earlygastrula,control,14,0
47,45C9,45,C9,prawn chip_control,prawnchip,control,9,0
48,45H14,45,H14,early gastrula_high,earlygastrula,high,14,1
49,67C9,67,C9,prawn chip_control,prawnchip,control,9,0
50,6C14,6,C14,early gastrula_control,earlygastrula,control,14,0
51,789C4,789,C4,cleavage_control,cleavage,control,4,0
52,789H14,789,H14,early gastrula_high,earlygastrula,high,14,1
53,789H4,789,H4,cleavage_high,cleavage,high,4,1
54,789H9,789,H9,prawn chip_high,prawnchip,high,9,1
55,789L14,789,L14,early gastrula_low,earlygastrula,low,14,0.01
56,789L4,789,L4,cleavage_low,cleavage,low,4,0.01
57,789L9,789,L9,prawn chip_low,prawnchip,low,9,0.01
58,789M14,789,M14,early gastrula_mid,earlygastrula,mid,14,0.1
59,789M4,789,M4,cleavage_mid,cleavage,mid,4,0.1
60,7C14,7,C14,early gastrula_control,earlygastrula,control,14,0
61,89C14,89,C14,early gastrula_control,earlygastrula,control,14,0
62,89C9,89,C9,prawn chip_control,prawnchip,control,9,0
63,89M9,89,M9,prawn chip_mid,prawnchip,mid,9,0.1
