sample_name,parents,group,hpf,embryonic_stage,leachate,leachate_mgL
101112C4,101112,C4,4,cleavage,control,0
101112H4,101112,H4,4,cleavage,high,1
101112L4,101112,L4,4,cleavage,low,0.01
101112M4,101112,M4,4,cleavage,mid,0.1
123C4,123,C4,4,cleavage,control,0
123H4,123,H4,4,cleavage,high,1
123L4,123,L4,4,cleavage,low,0.01
123M4,123,M4,4,cleavage,mid,0.1
131415C4,131415,C4,4,cleavage,control,0
131415H4,131415,H4,4,cleavage,high,1
131415M4,131415,M4,4,cleavage,mid,0.1
456C4,456,C4,4,cleavage,control,0
456H4,456,H4,4,cleavage,high,1
456L4,456,L4,4,cleavage,low,0.01
456M4,456,M4,4,cleavage,mid,0.1
789H4,789,H4,4,cleavage,high,1
789L4,789,L4,4,cleavage,low,0.01
789M4,789,M4,4,cleavage,mid,0.1
