sample_no,sample_name,parents,group,treatment_group,hpf,embryonic_stage,leachate,hours_post_fertilization,pvc_leachate_level
1,101112C14,101112,C14,earlygastrula_control,14,earlygastrula,0,14,control
2,101112C4,101112,C4,cleavage_control,4,cleavage,0,4,control
3,101112C9,101112,C9,prawnchip_control,9,prawnchip,0,9,control
4,101112H14,101112,H14,earlygastrula_high,14,earlygastrula,1,14,high
5,101112H4,101112,H4,cleavage_high,4,cleavage,1,4,high
6,101112H9,101112,H9,prawnchip_high,9,prawnchip,1,9,high
7,101112L14,101112,L14,earlygastrula_low,14,earlygastrula,0.01,14,low
8,101112L4,101112,L4,cleavage_low,4,cleavage,0.01,4,low
9,101112L9,101112,L9,prawnchip_low,9,prawnchip,0.01,9,low
10,101112M14,101112,M14,earlygastrula_mid,14,earlygastrula,0.1,14,mid
11,101112M4,101112,M4,cleavage_mid,4,cleavage,0.1,4,mid
12,101112M9,101112,M9,prawnchip_mid,9,prawnchip,0.1,9,mid
13,123C14,123,C14,earlygastrula_control,14,earlygastrula,0,14,control
14,123C4,123,C4,cleavage_control,4,cleavage,0,4,control
15,123C9,123,C9,prawnchip_control,9,prawnchip,0,9,control
16,123H14,123,H14,earlygastrula_high,14,earlygastrula,1,14,high
17,123H4,123,H4,cleavage_high,4,cleavage,1,4,high
18,123H9,123,H9,prawnchip_high,9,prawnchip,1,9,high
19,123L14,123,L14,earlygastrula_low,14,earlygastrula,0.01,14,low
20,123L4,123,L4,cleavage_low,4,cleavage,0.01,4,low
21,123L9,123,L9,prawnchip_low,9,prawnchip,0.01,9,low
22,123M4,123,M4,cleavage_mid,4,cleavage,0.1,4,mid
23,123M9,123,M9,prawnchip_mid,9,prawnchip,0.1,9,mid
24,131415C14,131415,C14,earlygastrula_control,14,earlygastrula,0,14,control
25,131415C4,131415,C4,cleavage_control,4,cleavage,0,4,control
26,131415C9,131415,C9,prawnchip_control,9,prawnchip,0,9,control
27,131415H14,131415,H14,earlygastrula_high,14,earlygastrula,1,14,high
28,131415H4,131415,H4,cleavage_high,4,cleavage,1,4,high
29,131415H9,131415,H9,prawnchip_high,9,prawnchip,1,9,high
30,131415L14,131415,L14,earlygastrula_low,14,earlygastrula,0.01,14,low
32,131415L9,131415,L9,prawnchip_low,9,prawnchip,0.01,9,low
33,131415M14,131415,M14,earlygastrula_mid,14,earlygastrula,0.1,14,mid
34,131415M4,131415,M4,cleavage_mid,4,cleavage,0.1,4,mid
35,131415M9,131415,M9,prawnchip_mid,9,prawnchip,0.1,9,mid
36,13M14,13,M14,earlygastrula_mid,14,earlygastrula,0.1,14,mid
37,456C4,456,C4,cleavage_control,4,cleavage,0,4,control
38,456H4,456,H4,cleavage_high,4,cleavage,1,4,high
39,456H9,456,H9,prawnchip_high,9,prawnchip,1,9,high
40,456L14,456,L14,earlygastrula_low,14,earlygastrula,0.01,14,low
41,456L4,456,L4,cleavage_low,4,cleavage,0.01,4,low
42,456L9,456,L9,prawnchip_low,9,prawnchip,0.01,9,low
43,456M14,456,M14,earlygastrula_mid,14,earlygastrula,0.1,14,mid
44,456M4,456,M4,cleavage_mid,4,cleavage,0.1,4,mid
45,456M9,456,M9,prawnchip_mid,9,prawnchip,0.1,9,mid
46,45C14,45,C14,earlygastrula_control,14,earlygastrula,0,14,control
47,45C9,45,C9,prawnchip_control,9,prawnchip,0,9,control
48,45H14,45,H14,earlygastrula_high,14,earlygastrula,1,14,high
49,67C9,67,C9,prawnchip_control,9,prawnchip,0,9,control
50,6C14,6,C14,earlygastrula_control,14,earlygastrula,0,14,control
52,789H14,789,H14,earlygastrula_high,14,earlygastrula,1,14,high
53,789H4,789,H4,cleavage_high,4,cleavage,1,4,high
54,789H9,789,H9,prawnchip_high,9,prawnchip,1,9,high
55,789L14,789,L14,earlygastrula_low,14,earlygastrula,0.01,14,low
56,789L4,789,L4,cleavage_low,4,cleavage,0.01,4,low
57,789L9,789,L9,prawnchip_low,9,prawnchip,0.01,9,low
58,789M14,789,M14,earlygastrula_mid,14,earlygastrula,0.1,14,mid
59,789M4,789,M4,cleavage_mid,4,cleavage,0.1,4,mid
60,7C14,7,C14,earlygastrula_control,14,earlygastrula,0,14,control
61,89C14,89,C14,earlygastrula_control,14,earlygastrula,0,14,control
62,89C9,89,C9,prawnchip_control,9,prawnchip,0,9,control
63,89M9,89,M9,prawnchip_mid,9,prawnchip,0.1,9,mid
