Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+
101112C14_R1_001										10.10449543217817	2.365999725184991	5.1807507339190115	1.7439693317612759	1.7427829959120122	0.07822013002924302	0.0
101112C14_R2_001										9.448652349030198	2.262372249771526	4.969682804123654	1.638992794372995	1.5500071651652383	0.11038980154650406	0.0
101112C4_R1_001										7.030014033583874	1.917423871518549	5.4444334171726965	2.5509395278193234	3.5802094265115674	0.18567234862194754	0.17291978819649323
101112C4_R2_001										6.611932226141526	1.7898970784869368	5.209492060991592	2.5215514779980475	3.398481433123097	0.2493630684857786	0.08735800509190601
101112C9_R1_001										7.374962152447977	1.9300134100959914	5.314691184675426	2.2183050191004012	2.2333833734613817	0.25893523613336455	0.0
101112C9_R2_001										6.8453342152630565	1.8068610721718548	4.879216638990972	2.020400868189237	2.0616852630629268	0.22647122356565294	0.20025749250959027
101112H14_R1_001										8.669868927926144	2.044613552562952	4.408836100481665	1.412274310643315	1.270759565869259	0.0677131401643206	0.0
101112H14_R2_001										8.014233350843499	1.9643225171294565	4.1879055139826935	1.3310059016042888	1.1583882886136063	0.06523539112042505	0.26247819653767296
101112H4_R1_001										6.004894106258473	1.7538960328385285	4.741634377213204	2.09499553316345	2.4955536279758417	0.23208018223026367	0.0
101112H4_R2_001										5.632241093762617	1.6723388165630706	4.444050745316764	1.9669618746456432	2.4409648550882563	0.18890720523799487	0.1496810863319752
101112H9_R1_001										7.15802579374329	1.8934939325388194	5.756345401271465	2.724422350898598	3.3196555100400813	0.27781554085943627	0.062089605694397
101112H9_R2_001										6.776857686813178	1.7651290661657044	5.51469973444187	2.4670650984019082	3.1349951752409297	0.20797901225224733	0.19211439468940747
101112L14_R1_001										9.855299636100199	2.2016034032383334	4.326220696731375	1.164834827414306	0.9799469099834084	0.03530403862038593	0.0
101112L14_R2_001										9.386706643772744	2.158582678663384	4.141762290480085	1.1566612856573117	0.8845301209666395	0.035292771924958395	0.0
101112L4_R1_001										7.055321575784866	1.9423951187274553	5.5769198908072894	2.789573615336621	4.029904001806458	0.3563798630351618	0.30250644868254084
101112L4_R2_001										6.941488938741312	1.8296140582602045	5.483710803651022	2.6647884618891085	3.765438050053041	0.3744705397265662	0.0842134007032524
101112L9_R1_001										8.244932769439478	2.0160163836750606	5.384071550192719	2.363066486704104	3.0594841755616438	0.35442382546653084	0.06358655100659147
101112L9_R2_001										7.599309885757095	1.8575864009112195	5.006895335892139	2.33750938110371	2.7708138213397326	0.33830492806176327	0.17224266612261874
101112M14_R1_001										9.079795216380749	2.2057839077767905	5.076110401715071	1.7382057138037341	1.4942880673036265	0.0388638705381583	0.0
101112M14_R2_001										8.740429232957297	2.07261438806383	4.787750030158235	1.614817073416104	1.3283597143530481	0.039032705843023756	0.0
101112M4_R1_001										6.687507024198856	1.7529027018147167	4.060728352634473	1.3714488921428984	1.3887541609021374	0.10788418874859773	0.09006131689929733
101112M4_R2_001										6.176847019004143	1.6974991314459769	3.9214104513148316	1.3346522732345498	1.2427005779325764	0.11376592257298665	0.31224061703894557
101112M9_R1_001										8.779052032187328	2.158686070242081	5.042706847845762	1.9830246738438504	1.7319653088325744	0.17341135568727473	0.0
101112M9_R2_001										8.500376021408073	2.05297218849951	4.786027876144768	1.8817523950911754	1.686451637288478	0.16275164676389517	0.16343157699159333
123C14_R1_001										9.493639927438045	2.375629912999821	4.890186038343631	1.5626630205977723	1.7315876878289262	0.13200479487256828	0.0
123C14_R2_001										9.299896446446883	2.263541956034528	4.675834369101457	1.5082778682699034	1.6188464375126277	0.12906523302466416	0.30695089754027177
