Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
123C9_R1_001	49.103900773070684	44.0	138.00786744541188	140	0.0	18193199.0
123C9_R2_001	47.63323253632288	44.0	138.02179231920675	140	0.0	18193199.0
123H14_R1_001	55.406303364810704	42.0	137.40794770419498	140	9.090909090909092	17835465.0
123H14_R2_001	54.073206724438094	42.0	137.41089211859628	140	9.090909090909092	17835465.0
123H4_R1_001	49.51807149045264	46.0	136.85778724197172	140	9.090909090909092	17366508.0
123H4_R2_001	48.30652569361076	46.0	136.8755635272215	140	9.090909090909092	17366508.0
123H9_R1_001	53.277663963163995	44.0	136.04584707607256	140	9.090909090909092	18105015.0
123H9_R2_001	52.42895789360926	44.0	136.06286981811394	140	9.090909090909092	18105015.0
123L14_R1_001	49.985080405376216	42.0	137.6527692695273	140	0.0	17068400.0
123L14_R2_001	48.592884692001526	42.0	137.66891606711818	140	0.0	17068400.0
123L4_R1_001	51.894385810558056	46.0	137.91823694788448	140	18.181818181818183	17732068.0
123L4_R2_001	50.39460714273321	46.0	137.9338312372815	140	18.181818181818183	17732068.0
123L9_R1_001	41.18035531392719	46.0	137.35416171177016	140	0.0	17318727.0
123L9_R2_001	39.68524498526729	46.0	137.36861271616556	140	0.0	17318727.0
123M4_R1_001	54.29877947769012	43.0	137.15721022778632	140	9.090909090909092	17855594.0
123M4_R2_001	52.93030133391421	43.0	137.1749421497823	140	9.090909090909092	17855594.0
123M9_R1_001	48.06431432750406	48.0	138.3586732009487	140	9.090909090909092	17516232.0
123M9_R2_001	47.03399339697158	48.0	138.36040559407982	140	9.090909090909092	17516232.0
131415C14_R1_001	43.21730174609569	44.0	137.7981624852633	140	0.0	18079855.0
131415C14_R2_001	41.689856550206414	44.0	137.81075401323739	140	0.0	18079855.0
131415C4_R1_001	53.34844907938769	44.0	137.24534017944939	140	9.090909090909092	18188415.0
131415C4_R2_001	52.20660083860829	44.0	137.26037002124704	140	9.090909090909092	18188415.0
131415C9_R1_001	42.90390543046482	45.0	138.16377163224482	140	0.0	17698926.0
131415C9_R2_001	41.59210809533369	45.0	138.17721193930072	140	0.0	17698926.0
131415H14_R1_001	42.201595248863065	44.0	137.56039216504132	140	0.0	18412554.0
131415H14_R2_001	40.78460459070098	44.0	137.57215886508737	140	0.0	18412554.0
131415H4_R1_001	55.25447579386555	49.0	137.7164399840894	140	18.181818181818183	19549216.0
131415H4_R2_001	54.3032505736541	49.0	137.71642402437007	140	18.181818181818183	19549216.0
131415H9_R1_001	45.735291462997395	45.0	138.08617450602478	140	0.0	17858031.0
131415H9_R2_001	44.27544491261878	45.0	138.09791163426695	140	0.0	17858031.0
131415L14_R1_001	41.576480562792575	44.0	138.38900336594565	140	0.0	18322934.0
131415L14_R2_001	40.092763409715694	44.0	138.40230904068093	140	0.0	18322934.0
131415L4_R1_001	90.4893575835302	38.0	138.10379910401562	140	18.181818181818183	18064154.0
131415L4_R2_001	90.09943891705602	38.0	138.1040331033493	140	18.181818181818183	18064154.0
131415L9_R1_001	43.45283515768149	45.0	138.18818342774009	140	0.0	18222391.0
131415L9_R2_001	41.81758682952823	45.0	138.20098152871375	140	0.0	18222391.0
131415M14_R1_001	45.556465655982784	43.0	138.39875205156918	140	0.0	18439544.0
131415M14_R2_001	43.77260458948915	43.0	138.41114888741282	140	0.0	18439544.0
131415M4_R1_001	46.19075428720161	46.0	138.39500609321303	140	0.0	18078311.0
131415M4_R2_001	44.76310755459731	46.0	138.40780336171892	140	0.0	18078311.0
131415M9_R1_001	43.98887901022916	46.0	138.17902486094698	140	0.0	18054984.0
131415M9_R2_001	42.73405487527955	46.0	138.19258953649586	140	0.0	18054984.0
13M14_R1_001	56.42909793043197	42.0	137.76594871741605	140	9.090909090909092	17714669.0
13M14_R2_001	55.769701398019386	42.0	137.7678368701103	140	9.090909090909092	17714669.0
456C4_R1_001	39.32222260087273	49.0	137.34297658991576	140	9.090909090909092	18320609.0
456C4_R2_001	38.25098058567056	49.0	137.35788641087203	140	9.090909090909092	18320609.0
456H4_R1_001	61.555062122726966	43.0	137.63878979800327	140	9.090909090909092	16813689.0
456H4_R2_001	60.340965265213114	43.0	137.6515209125136	140	9.090909090909092	16813689.0
456H9_R1_001	67.16641171435673	40.0	138.35714566546946	140	9.090909090909092	21390471.0
