Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
101112C14_hisat	17500004	17500004	6545966	9721746	1232292	732088	10021054	1385573	221129	71.37	110564.5	5010527.0	692786.5
101112C4_hisat	17970379	17970379	12309515	4972770	688094	413241	22956600	749617	86331	36.13	43165.5	11478300.0	374808.5
101112C9_hisat	17564768	17564768	7759005	8300598	1505165	658001	12840610	1200364	161034	63.45	80517.0	6420305.0	600182.0
101112H14_hisat	17614389	17614389	7888494	8570316	1155579	1037606	12037009	1397660	267107	65.83	133553.5	6018504.5	698830.0
101112H4_hisat	18033266	18033266	13566711	3866187	600368	478687	25432080	662033	81935	29.49	40967.5	12716040.0	331016.5
101112H9_hisat	18414208	18414208	8397545	8377605	1639058	441925	14633521	1131164	146555	60.27	73277.5	7316760.5	565582.0
101112L14_hisat	18334433	18334433	6837818	10179333	1317282	953415	10028809	1480108	259889	72.65	129944.5	5014404.5	740054.0
101112L4_hisat	17834162	17834162	12722965	4466904	644293	438445	23780688	704055	84297	33.33	42148.5	11890344.0	352027.5
101112L9_hisat	18370024	18370024	7331842	9136893	1901289	866220	11325776	1407515	197953	69.17	98976.5	5662888.0	703757.5
101112M14_hisat	17639265	17639265	6766899	9529322	1343044	758271	10355783	1423955	237518	70.65	118759.0	5177891.5	711977.5
101112M4_hisat	17452086	17452086	11331035	5402938	718113	525664	20640269	852981	117492	40.87	58746.0	10320134.5	426490.5
101112M9_hisat	18157803	18157803	7342426	9270636	1544741	1410557	10038420	1585583	239735	72.36	119867.5	5019210.0	792791.5
123C14_hisat	17205291	17205291	8001252	8161388	1042651	890766	12749847	1232405	238720	62.95	119360.0	6374923.5	616202.5
123C4_hisat	18036434	18036434	8263897	8628163	1144374	1419824	11891128	1590537	206481	67.04	103240.5	5945564.0	795268.5
123C9_hisat	18193199	18193199	6455531	9954228	1783440	962063	9258395	1528495	200046	74.56	100023.0	4629197.5	764247.5
123H14_hisat	17835465	17835465	5323803	11221360	1290302	1287796	6012276	1780333	279405	83.15	139702.5	3006138.0	890166.5
123H4_hisat	17366508	17366508	12331340	4410200	624968	680976	22398347	793316	109065	35.51	54532.5	11199173.5	396658.0
123H9_hisat	18105015	18105015	10407586	5769654	1927775	1256299	16764161	1289108	249305	53.7	124652.5	8382080.5	644554.0
123L14_hisat	17068400	17068400	5325250	10229711	1513439	1162973	6320977	1713491	290086	81.48	145043.0	3160488.5	856745.5
123L4_hisat	17732068	17732068	12760251	4013522	958295	441368	23852269	687607	97890	32.74	48945.0	11926134.5	343803.5
123L9_hisat	17318727	17318727	8949480	7118348	1250899	842034	14862362	1177382	175148	57.09	87574.0	7431181.0	588691.0
123M4_hisat	17855594	17855594	8616990	8408602	830002	1074145	13556829	1371271	157590	62.04	78795.0	6778414.5	685635.5
123M9_hisat	17516232	17516232	10697494	5560549	1258189	463106	19449440	889696	129640	44.48	64820.0	9724720.0	444848.0
131415C14_hisat	18079855	18079855	7787679	9038951	1253225	941752	12009403	1429029	253422	66.79	126711.0	6004701.5	714514.5
131415C4_hisat	18188415	18188415	10895876	6267071	1025468	799906	19009046	1041062	141832	47.74	70916.0	9504523.0	520531.0
131415C9_hisat	17698926	17698926	8141079	8187719	1370128	734078	13478580	1171616	163806	61.92	81903.0	6739290.0	585808.0
131415H14_hisat	18412554	18412554	8041382	9095233	1275939	1026926	12362581	1412745	253586	66.43	126793.0	6181290.5	706372.5
131415H4_hisat	19549216	19549216	15002155	3727686	819375	445857	28378245	638301	96050	27.42	48025.0	14189122.5	319150.5
131415H9_hisat	17858031	17858031	8750572	7590182	1517277	691494	14838396	1125002	154758	58.45	77379.0	7419198.0	562501.0
131415L14_hisat	18322934	18322934	7010976	10162976	1148982	759306	10870859	1401024	231457	70.34	115728.5	5435429.5	700512.0
131415L4_hisat	18064154	18064154	18030653	13841	19660	1224	36054399	2707	1752	0.2	876.0	18027199.5	1353.5
131415L9_hisat	18222391	18222391	8404545	8505357	1312489	726581	13940872	1248706	166350	61.75	83175.0	6970436.0	624353.0
131415M14_hisat	18439544	18439544	6062941	10972496	1404107	863453	8578712	1568171	252093	76.74	126046.5	4289356.0	784085.5
131415M4_hisat	18078311	18078311	11031883	6226283	820145	428282	20233352	873868	99982	44.04	49991.0	10116676.0	436934.0
131415M9_hisat	18054984	18054984	8927713	7832324	1294947	710333	15138538	1133708	162514	58.08	81257.0	7569269.0	566854.0
13M14_hisat	17714669	17714669	8128231	8306505	1279933	940121	12704125	1415180	256915	64.14	128457.5	6352062.5	707590.0
456C4_hisat	18320609	18320609	14591387	3249299	479923	450899	27643548	563322	74106	24.56	37053.0	13821774.0	281661.0
456H4_hisat	16813689	16813689	11502720	4695566	615403	560547	21032589	759158	92599	37.45	46299.5	10516294.5	379579.0
456H9_hisat	21390471	21390471	12370867	7706618	1312986	551888	22440721	1062527	134710	47.55	67355.0	11220360.5	531263.5
456L14_hisat	17844788	17844788	8345719	8470042	1029027	1433093	12018009	1513725	293518	66.33	146759.0	6009004.5	756862.5
456L4_hisat	17194458	17194458	13672191	3021488	500779	413305	25878650	567472	71650	24.75	35825.0	12939325.0	283736.0
456L9_hisat	17418498	17418498	7469389	8191772	1757337	961019	11443087	1366078	207575	67.15	103787.5	5721543.5	683039.0
456M14_hisat	17735167	17735167	8023770	8466565	1244832	735546	13115174	1248309	212965	63.02	106482.5	6557587.0	624154.5
456M4_hisat	18146994	18146994	12211530	5318549	616915	516568	22512687	785966	91271	37.97	45635.5	11256343.5	392983.0
456M9_hisat	16494669	16494669	8893965	6420966	1179738	1022604	14378263	1165909	198550	56.42	99275.0	7189131.5	582954.5
45C14_hisat	18108014	18108014	13486151	4052190	569673	343994	25594288	591428	98598	29.33	49299.0	12797144.0	295714.0
45C9_hisat	16814396	16814396	7408010	8080663	1325723	952147	11394034	1324142	193550	66.12	96775.0	5697017.0	662071.0
45H14_hisat	17734804	17734804	10742131	6055722	936951	564474	19312312	919590	123412	45.55	61706.0	9656156.0	459795.0
67C9_hisat	20620179	20620179	12567864	6646223	1406092	623977	22708015	1024122	155637	44.94	77818.5	11354007.5	512061.0
6C14_hisat	18440902	18440902	10309946	7012627	1118329	704344	17924050	1090390	196764	51.4	98382.0	8962025.0	545195.0
789C4_hisat	17325868	17325868	16392262	602912	330694	421326	31571934	301644	68294	8.89	34147.0	15785967.0	150822.0
789H14_hisat	17443692	17443692	6949427	9290340	1203925	1148756	9811975	1501098	288269	71.88	144134.5	4905987.5	750549.0
789H4_hisat	18591051	18591051	10771059	6981687	838305	488486	19483661	973206	108279	47.6	54139.5	9741830.5	486603.0
789H9_hisat	17815611	17815611	6764342	9517792	1533477	712868	10625532	1313018	164398	70.18	82199.0	5312766.0	656509.0
789L14_hisat	17671465	17671465	6869773	9610880	1190812	1632887	8344075	1772691	357006	76.39	178503.0	4172037.5	886345.5
789L4_hisat	18055666	18055666	13652587	3839102	563977	337543	25975597	584651	69840	28.07	34920.0	12987798.5	292325.5
789L9_hisat	17690669	17690669	7124100	8917399	1649170	637644	11515593	1284151	173168	67.45	86584.0	5757796.5	642075.5
789M14_hisat	20110920	20110920	7770733	10900199	1439988	981612	11604565	1669140	304537	71.15	152268.5	5802282.5	834570.0
789M4_hisat	18737472	18737472	11545824	6447717	743931	503648	21038433	941083	104836	43.86	52418.0	10519216.5	470541.5
7C14_hisat	17763474	17763474	8053813	8402967	1306694	838912	12878615	1321346	229841	63.75	114920.5	6439307.5	660673.0
89C14_hisat	20949425	20949425	6720949	12711243	1517233	769732	9955988	1689417	257029	76.24	128514.5	4977994.0	844708.5
89C9_hisat	17897065	17897065	7420955	8704715	1771395	911920	11370742	1434840	212488	68.23	106244.0	5685371.0	717420.0
89M9_hisat	17809172	17809172	9853634	6477121	1478417	927956	16491366	1173173	186817	53.7	93408.5	8245683.0	586586.5
