Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
101112C14_R1_001	52.59793397295017	43.0	150.0	150	18.181818181818183	18375779.0
101112C14_R2_001	49.837324120862014	43.0	150.0	150	0.0	18375779.0
101112C4_R1_001	52.73057279198897	47.0	150.0	150	18.181818181818183	18799748.0
101112C4_R2_001	50.67879916963939	47.0	150.0	150	18.181818181818183	18799748.0
101112C9_R1_001	42.00374455890734	45.0	150.0	150	9.090909090909092	18557546.0
101112C9_R2_001	38.91556161390539	45.0	150.0	150	9.090909090909092	18557546.0
101112H14_R1_001	41.51821843390145	44.0	150.0	150	9.090909090909092	18598507.0
101112H14_R2_001	38.771828609170534	44.0	150.0	150	0.0	18598507.0
101112H4_R1_001	40.51867227061252	48.0	150.0	150	9.090909090909092	18944084.0
101112H4_R2_001	38.10158223234811	48.0	150.0	150	9.090909090909092	18944084.0
101112H9_R1_001	44.116935971561475	45.0	150.0	150	9.090909090909092	19365059.0
101112H9_R2_001	40.72893984112332	45.0	150.0	150	0.0	19365059.0
101112L14_R1_001	48.48852825487221	45.0	150.0	150	9.090909090909092	19135174.0
101112L14_R2_001	46.23216204526304	45.0	150.0	150	9.090909090909092	19135174.0
101112L4_R1_001	53.563521806640054	48.0	150.0	150	18.181818181818183	18649155.0
101112L4_R2_001	51.41925837372409	47.0	150.0	150	18.181818181818183	18649155.0
101112L9_R1_001	44.02674873407276	45.0	150.0	150	9.090909090909092	19320545.0
101112L9_R2_001	41.14918197014467	45.0	150.0	150	9.090909090909092	19320545.0
101112M14_R1_001	49.618422278654826	44.0	150.0	150	9.090909090909092	18467391.0
101112M14_R2_001	47.061991386031586	44.0	150.0	150	9.090909090909092	18467391.0
101112M4_R1_001	38.40592310356479	47.0	150.0	150	18.181818181818183	18493393.0
101112M4_R2_001	35.769044450331236	47.0	150.0	150	9.090909090909092	18493393.0
101112M9_R1_001	43.264335522695255	44.0	150.0	150	9.090909090909092	19002906.0
101112M9_R2_001	41.3569977727683	44.0	150.0	150	9.090909090909092	19002906.0
123C14_R1_001	41.40572288516613	45.0	150.0	150	9.090909090909092	18131774.0
123C14_R2_001	39.76333489599657	45.0	150.0	150	9.090909090909092	18131774.0
123C4_R1_001	50.512564445776356	43.0	150.0	150	18.181818181818183	18870343.0
123C4_R2_001	48.36084354724816	43.0	150.0	150	0.0	18870343.0
123C9_R1_001	47.10925598533486	44.0	150.0	150	9.090909090909092	19048725.0
123C9_R2_001	44.368959979418655	44.0	150.0	150	9.090909090909092	19048725.0
123H14_R1_001	53.45372347914481	43.0	150.0	150	18.181818181818183	18602017.0
123H14_R2_001	51.117932709761796	43.0	150.0	150	18.181818181818183	18602017.0
123H4_R1_001	47.84572022402088	47.0	150.0	150	9.090909090909092	18333059.0
123H4_R2_001	45.399195722914556	47.0	150.0	150	9.090909090909092	18333059.0
123H9_R1_001	51.41323063323157	45.0	150.0	150	27.27272727272727	19029717.0
123H9_R2_001	49.60225309542238	45.0	150.0	150	9.090909090909092	19029717.0
123L14_R1_001	47.88208237050699	42.0	150.0	150	9.090909090909092	18011050.0
123L14_R2_001	45.34146279641077	42.0	150.0	150	9.090909090909092	18011050.0
123L4_R1_001	50.63737699154356	46.0	150.0	150	18.181818181818183	18834650.0
123L4_R2_001	47.98490804303754	46.0	150.0	150	9.090909090909092	18834650.0
123L9_R1_001	39.83621331187559	46.0	150.0	150	9.090909090909092	18260735.0
123L9_R2_001	37.06816762892494	46.0	150.0	150	9.090909090909092	18260735.0
123M4_R1_001	52.11582256897173	43.0	150.0	150	18.181818181818183	18853790.0
123M4_R2_001	49.40603430368342	43.0	150.0	150	0.0	18853790.0
