Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
101112C14_R1_001	101112C14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17500004.0	2.4 Gbp	0.0	15-140	43.0	45.55020033792362	138.2918485618632	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
101112C14_R2_001	101112C14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17500004.0	2.4 Gbp	0.0	15-140	43.0	47.072488476715755	138.29212570465697	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
101112C4_R1_001	101112C4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17970379.0	2.4 Gbp	0.0	15-140	47.0	45.72944620995518	138.25222834754905	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
101112C4_R2_001	101112C4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17970379.0	2.4 Gbp	0.0	15-140	47.0	46.779880017681194	138.25366827266137	140	pass	pass	pass	pass	pass	fail	pass	warn	fail	pass	pass
101112C9_R1_001	101112C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17564768.0	2.4 Gbp	0.0	15-140	45.0	56.551862801778505	138.31021502817458	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
101112C9_R2_001	101112C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17564768.0	2.4 Gbp	0.0	15-140	45.0	58.106991863800694	138.3230872733417	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
101112H14_R1_001	101112H14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17614389.0	2.4 Gbp	0.0	15-140	44.0	56.985095653616234	137.56164712837895	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
101112H14_R2_001	101112H14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17614389.0	2.4 Gbp	0.0	15-140	44.0	58.26707572156177	137.57430535910157	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
101112H4_R1_001	101112H4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18033266.0	2.4 Gbp	0.0	15-140	48.0	58.10726108684672	137.48546197898926	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
101112H4_R2_001	101112H4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18033266.0	2.4 Gbp	0.0	15-140	48.0	59.32369319926898	137.50276843917237	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
