Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
123C9_R1_001	123C9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18193199.0	2.5 Gbp	0.0	15-140	44.0	50.896099226929316	138.00786744541188	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
123C9_R2_001	123C9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18193199.0	2.5 Gbp	0.0	15-140	44.0	52.36676746367712	138.02179231920675	140	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
123H14_R1_001	123H14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17835465.0	2.4 Gbp	0.0	15-140	42.0	44.593696635189296	137.40794770419498	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
123H14_R2_001	123H14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17835465.0	2.4 Gbp	0.0	15-140	42.0	45.926793275561906	137.41089211859628	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	pass	pass
123H4_R1_001	123H4_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17366508.0	2.3 Gbp	0.0	15-140	46.0	50.48192850954736	136.85778724197172	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
123H4_R2_001	123H4_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17366508.0	2.3 Gbp	0.0	15-140	46.0	51.69347430638924	136.8755635272215	140	pass	pass	pass	pass	pass	fail	pass	warn	warn	pass	pass
123H9_R1_001	123H9_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18105015.0	2.4 Gbp	0.0	15-140	44.0	46.722336036836005	136.04584707607256	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass
123H9_R2_001	123H9_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	18105015.0	2.4 Gbp	0.0	15-140	44.0	47.57104210639074	136.06286981811394	140	pass	pass	pass	pass	pass	pass	pass	warn	fail	warn	pass
123L14_R1_001	123L14_R1_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17068400.0	2.3 Gbp	0.0	15-140	42.0	50.014919594623784	137.6527692695273	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
123L14_R2_001	123L14_R2_001.fastp-trim.fq.gz	Conventional base calls	Sanger / Illumina 1.9	17068400.0	2.3 Gbp	0.0	15-140	42.0	51.407115307998474	137.66891606711818	140	pass	pass	pass	pass	pass	pass	pass	warn	warn	pass	pass
