Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
101112C14_hisat	17500004	17500004	6545966	9721746	1232292	732088	10021054	1385573	221129	71.37	110564.5	5010527.0	692786.5
101112H14_hisat	17614389	17614389	7888494	8570316	1155579	1037606	12037009	1397660	267107	65.83	133553.5	6018504.5	698830.0
123C14_hisat	17205291	17205291	8001252	8161388	1042651	890766	12749847	1232405	238720	62.95	119360.0	6374923.5	616202.5
123H14_hisat	17835465	17835465	5323803	11221360	1290302	1287796	6012276	1780333	279405	83.15	139702.5	3006138.0	890166.5
131415C14_hisat	18079855	18079855	7787679	9038951	1253225	941752	12009403	1429029	253422	66.79	126711.0	6004701.5	714514.5
131415H14_hisat	18412554	18412554	8041382	9095233	1275939	1026926	12362581	1412745	253586	66.43	126793.0	6181290.5	706372.5
45C14_hisat	18108014	18108014	13486151	4052190	569673	343994	25594288	591428	98598	29.33	49299.0	12797144.0	295714.0
45H14_hisat	17734804	17734804	10742131	6055722	936951	564474	19312312	919590	123412	45.55	61706.0	9656156.0	459795.0
6C14_hisat	18440902	18440902	10309946	7012627	1118329	704344	17924050	1090390	196764	51.4	98382.0	8962025.0	545195.0
789H14_hisat	17443692	17443692	6949427	9290340	1203925	1148756	9811975	1501098	288269	71.88	144134.5	4905987.5	750549.0
7C14_hisat	17763474	17763474	8053813	8402967	1306694	838912	12878615	1321346	229841	63.75	114920.5	6439307.5	660673.0
89C14_hisat	20949425	20949425	6720949	12711243	1517233	769732	9955988	1689417	257029	76.24	128514.5	4977994.0	844708.5
