genes,merge,zscore,collection_date,parents,group,hpf,stage,leachate,leachate_mgL,spawn_night,cluster
Montipora_capitata_HIv3___TS.g28558.t3a,controlearlygastrula,0.9109264051901088,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___TS.g9507.t1,controlearlygastrula,1.0225226557495188,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,2
Montipora_capitata_HIv3___TS.g9699.t2,controlearlygastrula,1.0181821315245336,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g40764.t1,controlearlygastrula,1.0855422393923422,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___TS.g48661.t1,controlearlygastrula,0.5823300280155642,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,2
Montipora_capitata_HIv3___TS.g45793.t1b,controlearlygastrula,0.19021290077003994,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,2
Montipora_capitata_HIv3___RNAseq.g20824.t1a,controlearlygastrula,0.45374204881642094,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,2
Montipora_capitata_HIv3___RNAseq.g28195.t1,controlearlygastrula,0.8591117909195168,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___TS.g15697.t1,controlearlygastrula,0.6021226608856046,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g47569.t1,controlearlygastrula,1.0519122239329783,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g39262.t1,controlearlygastrula,0.8863495732618661,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g18178.t1,controlearlygastrula,0.29292199970315996,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,2
Montipora_capitata_HIv3___RNAseq.g35580.t1,controlearlygastrula,1.2639752274551643,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g5198.t1,controlearlygastrula,1.0404136914735072,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g6962.t1,controlearlygastrula,-0.725608035338183,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,3
Montipora_capitata_HIv3___RNAseq.g8767.t1,controlearlygastrula,1.3392779067194374,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g11410.t1,controlearlygastrula,1.2909212534657533,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g11828.t1,controlearlygastrula,1.3117989306406397,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g516.t1,controlearlygastrula,0.11791203078470952,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,2
Montipora_capitata_HIv3___RNAseq.g24243.t1,controlearlygastrula,0.28530686355562357,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,2
Montipora_capitata_HIv3___RNAseq.g44004.t1,controlearlygastrula,-1.2448280964627938,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,3
Montipora_capitata_HIv3___RNAseq.g15143.t1,controlearlygastrula,-1.0519113925476498,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,3
Montipora_capitata_HIv3___RNAseq.g19248.t1,controlearlygastrula,-1.118864656443916,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,3
Montipora_capitata_HIv3___RNAseq.g19868.t1,controlearlygastrula,1.2141181171630349,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___RNAseq.g19903.t1,controlearlygastrula,1.2757507937920844,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
Montipora_capitata_HIv3___TS.g33656.t1,controlearlygastrula,1.2718677009711763,2024-07-08,101112,C14,14,earlygastrula,control,0,July_8th,1
