gene_id,leachate_cluster
Montipora_capitata_HIv3___TS.g26493.t2a,1
Montipora_capitata_HIv3___RNAseq.g15087.t1,1
Montipora_capitata_HIv3___TS.g45793.t1b,2
Montipora_capitata_HIv3___RNAseq.g40764.t1,2
Montipora_capitata_HIv3___RNAseq.g7017.t1,2
Montipora_capitata_HIv3___RNAseq.g20279.t1,1
Montipora_capitata_HIv3___RNAseq.g21373.t1,1
Montipora_capitata_HIv3___RNAseq.g33315.t1,1
Montipora_capitata_HIv3___TS.g8038.t2,1
Montipora_capitata_HIv3___TS.g48661.t1,3
Montipora_capitata_HIv3___RNAseq.g11053.t1,1
Montipora_capitata_HIv3___TS.g15697.t1,4
Montipora_capitata_HIv3___RNAseq.g10966.t1,1
Montipora_capitata_HIv3___RNAseq.g20824.t1a,2
Montipora_capitata_HIv3___TS.g42133.t1,1
Montipora_capitata_HIv3___RNAseq.g11051.t1,1
Montipora_capitata_HIv3___RNAseq.g10968.t1,1
Montipora_capitata_HIv3___RNAseq.g11129.t1,3
Montipora_capitata_HIv3___RNAseq.g12501.t1,4
Montipora_capitata_HIv3___RNAseq.g10964.t1,1
Montipora_capitata_HIv3___RNAseq.g39262.t1,2
Montipora_capitata_HIv3___RNAseq.g18178.t1,4
Montipora_capitata_HIv3___TS.g9699.t2,4
Montipora_capitata_HIv3___RNAseq.g15050.t1,1
Montipora_capitata_HIv3___RNAseq.g47569.t1,1
Montipora_capitata_HIv3___RNAseq.g35580.t1,1
Montipora_capitata_HIv3___TS.g28558.t3a,3
Montipora_capitata_HIv3___TS.g9507.t1,2
Montipora_capitata_HIv3___RNAseq.g39019.t1,1
Montipora_capitata_HIv3___RNAseq.g49676.t1,1
Montipora_capitata_HIv3___RNAseq.g30158.t1,1
Montipora_capitata_HIv3___RNAseq.g6929.t1,1
Montipora_capitata_HIv3___RNAseq.g39743.t1,2
Montipora_capitata_HIv3___TS.g50862.t1,1
Montipora_capitata_HIv3___RNAseq.g25096.t1,1
Montipora_capitata_HIv3___RNAseq.g5198.t1,1
Montipora_capitata_HIv3___TS.g50653.t2,4
Montipora_capitata_HIv3___RNAseq.g7741.t1,1
Montipora_capitata_HIv3___RNAseq.g45264.t1,1
Montipora_capitata_HIv3___RNAseq.g49798.t1,1
Montipora_capitata_HIv3___RNAseq.g11828.t1,1
Montipora_capitata_HIv3___RNAseq.g21376.t1,1
Montipora_capitata_HIv3___RNAseq.g15918.t2,2
Montipora_capitata_HIv3___RNAseq.g28195.t1,3
