"","x"
"1","Montipora_capitata_HIv3___TS.g26493.t2a"
"2","Montipora_capitata_HIv3___RNAseq.g5198.t1"
"3","Montipora_capitata_HIv3___TS.g28558.t3a"
"4","Montipora_capitata_HIv3___RNAseq.g6929.t1"
"5","Montipora_capitata_HIv3___RNAseq.g7017.t1"
"6","Montipora_capitata_HIv3___TS.g42133.t1"
"7","Montipora_capitata_HIv3___RNAseq.g10964.t1"
"8","Montipora_capitata_HIv3___RNAseq.g10966.t1"
"9","Montipora_capitata_HIv3___RNAseq.g10968.t1"
"10","Montipora_capitata_HIv3___RNAseq.g11051.t1"
"11","Montipora_capitata_HIv3___RNAseq.g11053.t1"
"12","Montipora_capitata_HIv3___RNAseq.g11129.t1"
"13","Montipora_capitata_HIv3___RNAseq.g11828.t1"
"14","Montipora_capitata_HIv3___TS.g8038.t2"
"15","Montipora_capitata_HIv3___RNAseq.g25096.t1"
"16","Montipora_capitata_HIv3___TS.g9507.t1"
"17","Montipora_capitata_HIv3___TS.g9699.t2"
"18","Montipora_capitata_HIv3___RNAseq.g40764.t1"
"19","Montipora_capitata_HIv3___TS.g48661.t1"
"20","Montipora_capitata_HIv3___TS.g50653.t2"
"21","Montipora_capitata_HIv3___TS.g50862.t1"
"22","Montipora_capitata_HIv3___RNAseq.g15050.t1"
"23","Montipora_capitata_HIv3___RNAseq.g15087.t1"
"24","Montipora_capitata_HIv3___TS.g45793.t1b"
"25","Montipora_capitata_HIv3___RNAseq.g45264.t1"
"26","Montipora_capitata_HIv3___RNAseq.g20279.t1"
"27","Montipora_capitata_HIv3___RNAseq.g20824.t1a"
"28","Montipora_capitata_HIv3___RNAseq.g21373.t1"
"29","Montipora_capitata_HIv3___RNAseq.g21376.t1"
"30","Montipora_capitata_HIv3___RNAseq.g28195.t1"
"31","Montipora_capitata_HIv3___RNAseq.g30158.t1"
"32","Montipora_capitata_HIv3___TS.g15697.t1"
"33","Montipora_capitata_HIv3___RNAseq.g33315.t1"
"34","Montipora_capitata_HIv3___RNAseq.g47569.t1"
"35","Montipora_capitata_HIv3___RNAseq.g49676.t1"
"36","Montipora_capitata_HIv3___RNAseq.g49798.t1"
"37","Montipora_capitata_HIv3___RNAseq.g39019.t1"
"38","Montipora_capitata_HIv3___RNAseq.g39262.t1"
"39","Montipora_capitata_HIv3___RNAseq.g39743.t1"
"40","Montipora_capitata_HIv3___RNAseq.g15918.t2"
"41","Montipora_capitata_HIv3___RNAseq.g18178.t1"
"42","Montipora_capitata_HIv3___RNAseq.g35580.t1"
"43","Montipora_capitata_HIv3___RNAseq.g7741.t1"
"44","Montipora_capitata_HIv3___RNAseq.g12501.t1"
