gene_id,101112C14,101112C4,101112C9,101112H14,101112H4,101112H9,101112L14,101112L4,101112L9,101112M14,101112M4,101112M9,123C14,123C4,123C9,123H14,123H4,123H9,123L14,123L4,123L9,123M4,123M9,131415C14,131415C4,131415C9,131415H14,131415H4,131415H9,131415L14,131415L9,131415M14,131415M4,131415M9,13M14,456C4,456H4,456H9,456L14,456L4,456L9,456M14,456M4,456M9,45C14,45C9,45H14,67C9,6C14,789H14,789H4,789H9,789L14,789L4,789L9,789M14,789M4,7C14,89C14,89C9,89M9
Montipora_capitata_HIv3___TS.g28558.t3a,893,219,779,894,206,760,1003,290,812,1022,329,959,696,331,820,790,180,457,917,224,786,205,405,1213,276,861,958,140,803,1246,1021,1227,307,921,571,134,215,799,953,256,804,929,234,805,456,937,428,630,840,1128,182,889,1141,319,930,1189,181,824,1401,1084,673
Montipora_capitata_HIv3___TS.g9507.t1,115,12,111,58,38,138,153,6,145,142,17,122,125,19,157,76,21,59,47,0,63,43,54,67,7,67,60,30,108,93,88,55,23,82,63,6,0,60,35,0,86,31,13,42,59,75,0,118,73,19,25,102,61,0,113,90,14,144,77,39,71
Montipora_capitata_HIv3___TS.g9699.t2,334,21,47,262,25,62,384,9,61,179,80,45,323,62,82,291,24,40,211,0,42,30,38,168,38,50,290,28,100,381,132,325,33,49,169,19,55,17,145,0,85,118,45,50,120,39,69,54,91,485,21,60,361,0,57,437,33,70,409,107,42
Montipora_capitata_HIv3___RNAseq.g40764.t1,345,33,42,400,11,46,497,3,37,407,129,127,184,33,97,307,33,14,295,0,57,41,113,245,12,64,436,7,18,437,56,464,59,57,144,28,13,21,313,0,78,274,23,80,61,75,26,23,305,609,23,36,617,0,105,510,48,338,632,55,38
Montipora_capitata_HIv3___TS.g48661.t1,239,10,320,216,31,308,284,42,507,335,87,342,97,32,419,182,0,212,273,68,277,47,167,444,10,281,288,14,314,367,317,413,116,334,146,19,15,251,172,32,303,236,56,241,144,374,89,301,244,232,50,567,262,51,495,342,66,270,576,426,213
Montipora_capitata_HIv3___TS.g45793.t1b,170,67,229,107,23,224,194,0,295,181,45,220,66,12,322,121,15,203,68,0,186,23,204,165,4,222,153,34,105,148,226,161,50,117,89,12,11,132,144,0,165,176,33,98,42,190,67,175,103,118,32,235,81,0,262,120,29,116,118,144,154
Montipora_capitata_HIv3___RNAseq.g20824.t1a,225,39,338,182,13,205,263,5,376,193,85,478,264,14,329,277,20,157,135,0,240,56,223,195,42,298,306,0,254,237,377,349,109,233,63,22,12,349,201,0,167,115,0,121,72,226,72,98,111,173,0,480,187,0,415,300,23,195,252,292,228
Montipora_capitata_HIv3___RNAseq.g28195.t1,151,36,98,152,0,63,118,19,102,79,61,128,58,38,123,86,6,43,90,24,57,29,45,112,8,75,95,2,48,100,58,79,27,81,44,22,11,62,75,32,104,94,59,72,50,154,93,68,58,146,16,151,75,10,186,142,32,164,160,168,93
Montipora_capitata_HIv3___TS.g15697.t1,119,0,119,65,9,75,147,0,118,132,36,139,164,25,110,306,25,9,102,0,53,23,71,54,15,102,68,18,78,43,71,79,25,52,27,21,17,138,124,0,94,129,16,98,46,73,63,66,57,207,32,151,89,0,147,145,38,59,178,107,85
Montipora_capitata_HIv3___RNAseq.g47569.t1,24881,175,3337,36920,25,3073,28183,34,4460,36697,6580,9169,9943,42,7261,28574,12,2058,31556,18,11473,23,9076,29030,92,7203,20910,39,2142,20569,8614,31707,1073,7248,17777,24,21,3630,32085,11,7514,29014,57,12049,6102,10985,463,373,28836,23235,78,3010,31649,23,6010,37323,92,42181,52712,5989,3986
