gene_id,101112C14,101112H14,101112L14,101112M14,123C14,123H14,123L14,131415C14,131415H14,131415L14,131415M14,13M14,456L14,456M14,45C14,45H14,6C14,789H14,789L14,789M14,7C14,89C14
Montipora_capitata_HIv3___RNAseq.g4581.t1,176,195,156,215,63,138,190,198,196,170,291,71,125,151,50,411,114,150,168,150,208,235
Montipora_capitata_HIv3___RNAseq.g4582.t1,1137,882,1101,1311,643,927,884,1184,1314,1167,1376,912,1306,1270,420,590,1022,862,1027,959,711,1563
Montipora_capitata_HIv3___RNAseq.g4583.t1,2043,1847,1625,1875,1349,1377,2007,2175,1932,1817,2108,1639,1882,1649,703,1807,1769,1633,1616,1757,1874,2623
Montipora_capitata_HIv3___RNAseq.g4584.t1,2641,1917,2301,1963,2724,3178,1867,1556,2267,2772,2296,2194,1736,1698,1402,1021,1435,2783,2549,2913,1307,2195
Montipora_capitata_HIv3___RNAseq.g4585.t1,521,304,449,350,641,426,368,310,453,434,375,527,384,257,289,238,169,489,457,501,267,355
Montipora_capitata_HIv3___RNAseq.g4586.t1,121,116,114,109,78,121,116,143,82,154,156,92,113,72,17,13,81,75,83,93,55,98
Montipora_capitata_HIv3___RNAseq.g4590.t1,356,190,717,181,1837,1270,369,445,236,714,286,571,567,501,330,101,94,210,361,434,43,135
Montipora_capitata_HIv3___RNAseq.g4589.t1,222,236,270,246,246,320,270,184,194,310,420,209,287,248,57,70,157,199,219,206,139,320
Montipora_capitata_HIv3___RNAseq.g4592.t1,281,101,286,136,371,321,314,34,170,246,185,193,98,273,127,75,103,202,163,173,46,105
Montipora_capitata_HIv3___RNAseq.g4591.t1b,4627,2719,5326,3087,5580,4957,5302,2071,3411,4363,3396,3853,3761,3083,2518,465,2298,4326,3590,3973,782,2829
Montipora_capitata_HIv3___RNAseq.g4599.t1,63,74,79,68,41,95,75,29,93,130,110,70,80,81,28,5,49,88,77,164,47,77
Montipora_capitata_HIv3___RNAseq.g4606.t1,115,91,72,42,62,78,186,37,28,19,50,44,80,77,29,24,65,54,85,98,174,67
Montipora_capitata_HIv3___RNAseq.g4604.t1,89,94,60,72,21,62,61,129,60,42,111,44,72,28,0,39,70,49,91,69,87,204
Montipora_capitata_HIv3___RNAseq.g4605.t1,171,148,163,184,94,219,183,186,162,150,105,58,157,92,0,88,115,123,127,224,205,210
Montipora_capitata_HIv3___RNAseq.g4607.t1,186,114,157,230,101,143,171,257,152,112,222,242,86,95,38,61,49,223,184,276,171,264
Montipora_capitata_HIv3___RNAseq.g4594.t1,767,753,868,804,1172,1516,987,741,867,1062,1299,547,1041,740,344,503,470,880,1003,874,671,912
Montipora_capitata_HIv3___TS.g26295.t1,7677,6883,7520,8438,5791,8869,6836,7326,7222,7444,9240,4873,6896,6871,2958,2035,5440,5975,7691,8140,7752,10204
Montipora_capitata_HIv3___TS.g26297.t1,1998,1942,2135,2317,1220,2200,1541,1974,1814,1960,2612,568,1926,1740,434,1387,1304,1595,2018,1998,1783,2995
Montipora_capitata_HIv3___RNAseq.g4611.t2,256,162,244,183,209,115,148,230,238,166,348,148,122,189,36,193,117,143,158,219,198,173
Montipora_capitata_HIv3___TS.g26298.t1,3076,2762,2657,3114,1624,1915,2433,2388,2430,2367,3140,1776,2345,2060,1128,1466,1777,2422,3101,3074,2704,3597
Montipora_capitata_HIv3___TS.g26309.t1b,24,107,45,72,44,47,13,79,72,133,94,28,57,42,31,0,43,60,61,146,91,100
Montipora_capitata_HIv3___RNAseq.g4623.t1,154,154,186,231,81,221,210,290,203,275,323,52,189,177,97,90,134,171,207,247,198,396
Montipora_capitata_HIv3___RNAseq.g4625.t1,230,237,321,151,612,638,142,178,274,470,324,253,224,262,247,35,133,405,295,459,74,221
Montipora_capitata_HIv3___TS.g26305.t1,64,80,138,82,72,40,47,109,72,109,69,49,51,62,0,22,35,122,130,190,101,147
Montipora_capitata_HIv3___RNAseq.g4620.t1,154,224,255,143,153,113,142,196,215,154,234,194,165,186,66,117,124,177,196,204,242,209
Montipora_capitata_HIv3___TS.g26306.t1,128,167,197,139,170,67,101,111,237,232,106,93,109,129,39,147,94,199,203,286,94,167
Montipora_capitata_HIv3___TS.g26307.t1c,72,67,127,136,98,181,173,170,99,159,162,118,141,152,84,50,203,114,82,125,101,172
Montipora_capitata_HIv3___TS.g26307.t1b,24,12,35,42,25,29,28,41,42,62,32,16,39,27,14,4,43,23,26,41,28,36
Montipora_capitata_HIv3___TS.g26307.t1a,331,410,607,537,311,630,315,469,477,605,615,55,543,582,107,117,427,366,552,409,420,710
Montipora_capitata_HIv3___RNAseq.g4635.t1,788,641,1045,582,1050,1134,581,562,763,1020,826,647,693,488,502,170,457,895,825,1125,427,776
Montipora_capitata_HIv3___RNAseq.g4627.t1,2791,2217,2308,2661,1357,1770,2215,2102,2269,1955,2464,1423,2264,2322,746,811,2044,2616,2401,2916,2092,3804
Montipora_capitata_HIv3___TS.g26313.t3,415,298,450,388,246,376,335,300,415,346,357,238,442,416,235,189,350,437,425,395,192,455
Montipora_capitata_HIv3___RNAseq.g4629.t1,1255,972,1065,989,991,1151,1409,735,846,621,788,815,778,600,406,246,850,578,813,1007,1871,537
Montipora_capitata_HIv3___RNAseq.g4633.t1,168,83,90,91,69,129,138,214,174,141,193,171,50,95,17,51,60,80,69,112,268,107
Montipora_capitata_HIv3___RNAseq.g4634.t1,42,39,29,44,48,40,61,45,16,22,67,28,29,65,0,5,36,13,23,12,24,36
Montipora_capitata_HIv3___RNAseq.g4641.t1,301,299,333,319,129,194,306,152,172,131,247,221,282,360,109,290,195,230,287,258,105,307
Montipora_capitata_HIv3___TS.g26322.t1,608,428,556,510,256,173,170,372,315,351,271,131,319,452,155,85,397,524,383,515,227,763
Montipora_capitata_HIv3___RNAseq.g4637.t1,35,22,29,37,26,12,26,33,33,24,36,13,21,24,10,4,18,26,41,53,32,31
Montipora_capitata_HIv3___RNAseq.g4638.t1,974,771,918,913,646,1089,997,740,757,777,993,515,914,732,382,493,760,764,982,946,937,1210
Montipora_capitata_HIv3___RNAseq.g4639.t1,1538,1334,1431,1409,1086,1695,1286,1164,1123,1330,1502,672,1377,1053,400,584,1147,1213,1498,1306,1414,1829
Montipora_capitata_HIv3___RNAseq.g4640.t1,469,401,540,414,322,300,374,413,433,385,433,244,240,360,124,389,312,404,371,421,433,504
Montipora_capitata_HIv3___RNAseq.g4651.t1,60,14,29,27,34,41,12,36,24,18,39,13,21,34,29,29,27,37,33,58,68,28
Montipora_capitata_HIv3___TS.g26337.t3,200,145,175,219,147,100,125,186,295,209,176,101,134,167,55,84,81,303,179,281,107,283
Montipora_capitata_HIv3___RNAseq.97_t,73,76,45,18,42,205,70,0,21,25,27,45,17,27,12,0,8,33,61,54,56,69
Montipora_capitata_HIv3___RNAseq.g4642.t1,1656,1413,2272,1584,1291,1715,1204,1295,1543,2106,1962,362,1220,1110,470,164,909,2117,1876,1806,1151,2260
Montipora_capitata_HIv3___RNAseq.g4643.t1,731,648,663,689,342,581,552,667,713,673,783,300,763,576,325,388,654,732,725,848,607,883
Montipora_capitata_HIv3___TS.g26329.t1,682,548,548,648,520,483,363,429,466,443,719,275,281,389,93,91,204,557,672,769,454,1225
Montipora_capitata_HIv3___RNAseq.g4645.t1,2505,2146,2561,2454,1812,2188,2008,1951,2234,2747,2978,1416,2133,2123,1078,683,1507,2585,2622,2703,1756,3660
Montipora_capitata_HIv3___TS.g26331.t1,335,251,450,350,223,367,289,283,247,438,439,120,285,329,106,122,254,307,309,398,261,410
Montipora_capitata_HIv3___RNAseq.g4647.t1,453,325,313,450,163,209,285,494,437,359,607,144,296,295,154,116,243,311,346,418,304,431
Montipora_capitata_HIv3___RNAseq.g4653.t1,761,663,417,607,216,271,468,689,519,551,813,189,411,605,179,1185,574,306,480,656,632,629
