category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006355,0,1,7,7,regulation of DNA-templated transcription,BP,0
GO:0006357,0,1,6,6,regulation of transcription by RNA polymerase II,BP,0
GO:0006807,0,1,12,12,nitrogen compound metabolic process,BP,0
GO:0006950,0,1,7,7,response to stress,BP,0
GO:0006996,0,1,8,8,organelle organization,BP,0
GO:0007275,0,1,8,8,multicellular organism development,BP,0
GO:0007399,0,1,6,6,nervous system development,BP,0
GO:0008150,0,1,22,22,biological_process,BP,0
GO:0008152,0,1,14,14,metabolic process,BP,0
GO:0009056,0,1,5,5,catabolic process,BP,0
GO:0009058,0,1,6,6,biosynthetic process,BP,0
GO:0009889,0,1,9,9,regulation of biosynthetic process,BP,0
GO:0009891,0,1,6,6,positive regulation of biosynthetic process,BP,0
GO:0009893,0,1,8,8,positive regulation of metabolic process,BP,0
GO:0009966,0,1,6,6,regulation of signal transduction,BP,0
GO:0009987,0,1,19,19,cellular process,BP,0
GO:0010033,0,1,6,6,response to organic substance,BP,0
GO:0010468,0,1,8,8,regulation of gene expression,BP,0
GO:0010556,0,1,9,9,regulation of macromolecule biosynthetic process,BP,0
GO:0010557,0,1,6,6,positive regulation of macromolecule biosynthetic process,BP,0
GO:0010604,0,1,8,8,positive regulation of macromolecule metabolic process,BP,0
GO:0010646,0,1,6,6,regulation of cell communication,BP,0
GO:0016043,0,1,9,9,cellular component organization,BP,0
GO:0019219,0,1,7,7,regulation of nucleobase-containing compound metabolic process,BP,0
GO:0019222,0,1,11,11,regulation of metabolic process,BP,0
GO:0019538,0,1,6,6,protein metabolic process,BP,0
GO:0022008,0,1,6,6,neurogenesis,BP,0
GO:0023051,0,1,6,6,regulation of signaling,BP,0
GO:0030154,0,1,7,7,cell differentiation,BP,0
GO:0031323,0,1,11,11,regulation of cellular metabolic process,BP,0
GO:0031325,0,1,8,8,positive regulation of cellular metabolic process,BP,0
GO:0031326,0,1,9,9,regulation of cellular biosynthetic process,BP,0
GO:0031328,0,1,6,6,positive regulation of cellular biosynthetic process,BP,0
GO:0032268,0,1,6,6,regulation of cellular protein metabolic process,BP,0
