category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0009150,0.9999463676205564,1.0175638083332484e-4,41,286,purine ribonucleotide metabolic process,BP,1,0.049403225384537175,under
GO:0002283,0.9999493111471158,1.0077463689901387e-4,35,253,neutrophil activation involved in immune response,BP,1,0.049403225384537175,under
GO:0042119,0.9999493111471158,1.0077463689901387e-4,35,253,neutrophil activation,BP,1,0.049403225384537175,under
GO:0046903,0.9999550683549276,7.047593971737835e-5,95,560,secretion,BP,1,0.04528079126841559,under
GO:0006412,0.9999553035417086,8.99168562735491e-5,34,252,translation,BP,1,0.049403225384537175,under
GO:0002366,0.9999558156017363,8.329041981171725e-5,43,297,leukocyte activation involved in immune response,BP,1,0.04781489826328426,under
GO:0002443,0.9999561471096591,8.434275180034577e-5,40,281,leukocyte mediated immunity,BP,1,0.04781489826328426,under
GO:0072521,0.9999563969475677,8.027791602035973e-5,47,320,purine-containing compound metabolic process,BP,1,0.04781489826328426,under
GO:0036230,0.9999612918137294,7.766503384892674e-5,35,255,granulocyte activation,BP,1,0.04781489826328426,under
GO:0002263,0.9999657161618514,6.51415293075629e-5,43,299,cell activation involved in immune response,BP,1,0.04528079126841559,under
GO:0043299,0.9999662636379758,6.800296288089533e-5,35,256,leukocyte degranulation,BP,1,0.04528079126841559,under
GO:0006163,0.9999684528974803,6.046316035005326e-5,42,296,purine nucleotide metabolic process,BP,1,0.04482413137489525,under
GO:0048732,0.999974343793535,4.8289390905143885e-5,46,317,gland development,BP,1,0.040468609117245584,under
GO:0002275,0.9999776382869836,4.5691202756733515e-5,35,259,myeloid cell activation involved in immune response,BP,1,0.040031724233456294,under
GO:0072599,0.9999778440433384,1.0252290611577106e-4,5,80,establishment of protein localization to endoplasmic reticulum,BP,1,0.049403225384537175,under
GO:0006613,0.999989601641206,6.830216539943837e-5,3,66,cotranslational protein targeting to membrane,BP,1,0.04528079126841559,under
GO:0045047,0.9999906882256284,5.158730879856478e-5,4,76,protein targeting to ER,BP,1,0.04143105737884734,under
GO:0002274,0.9999909687526002,1.86677307320451e-5,37,277,myeloid leukocyte activation,BP,1,0.027678500758474563,under
GO:0006955,0.9999921952473401,1.3130518325538731e-5,82,517,immune response,BP,1,0.023589293634044935,under
GO:0090150,0.9999937990914376,1.7490610237964134e-5,16,161,establishment of protein localization to membrane,BP,1,0.027678500758474563,under
GO:1903531,0.999994396687884,3.2198893842322944e-5,4,74,negative regulation of secretion by cell,BP,1,0.03447964882282082,under
GO:0001775,0.9999952352967775,8.600882896811447e-6,64,428,cell activation,BP,1,0.023589293634044935,under
GO:0006614,0.9999970728250397,2.7325095355217178e-5,2,62,SRP-dependent cotranslational protein targeting to membrane,BP,1,0.030981836057165358,under
GO:0002181,0.9999974238680305,1.3462113098547045e-5,5,90,cytoplasmic translation,BP,1,0.023589293634044935,under
GO:0006119,0.9999983398227981,1.2221770483738233e-5,3,73,oxidative phosphorylation,BP,1,0.023589293634044935,under
GO:0045321,0.9999985712275895,2.7360878227253516e-6,57,401,leukocyte activation,BP,1,0.01054761855660623,under
