category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh,enrichment_direction
GO:0010467,3.197651096183249e-13,1,665,1329,gene expression,BP,4.309960296929588e-9,1,over
GO:0009987,3.656346557329121e-10,1,2601,5963,cellular process,BP,7.047607989251881e-7,1,over
GO:0044238,4.6120629798794263e-10,1,1833,4109,primary metabolic process,BP,8.081592176106903e-7,1,over
GO:0006412,8.009708005981009e-10,1,150,252,translation,BP,1.0863446618281661e-6,1,over
GO:0006518,2.4223548635268927e-9,1,187,331,peptide metabolic process,BP,2.4056126416372397e-6,1,over
GO:0008152,2.496096126212441e-9,1,1973,4463,metabolic process,BP,2.4056126416372397e-6,1,over
GO:0006139,1.0170576184772681e-8,1,923,1989,nucleobase-containing compound metabolic process,BP,7.260661331907164e-6,1,over
GO:0043043,1.2706385532076905e-8,1,155,270,peptide biosynthetic process,BP,8.746985040385083e-6,1,over
GO:0016070,1.688190366417766e-8,1,569,1179,RNA metabolic process,BP,1.1220644590587049e-5,1,over
GO:0043170,3.963028687424257e-8,1,1489,3336,macromolecule metabolic process,BP,2.4255681656170722e-5,1,over
GO:0002181,8.607614377421465e-8,0.9999999740861055,62,90,cytoplasmic translation,BP,4.740336203565678e-5,1,over
GO:0048856,1.0062358384795742e-7,1,1333,2981,anatomical structure development,BP,5.38755438519272e-5,1,over
GO:0003002,1.1430150624831243e-7,1,219,413,regionalization,BP,5.7977935077269004e-5,1,over
GO:0009953,1.258812041156141e-7,0.9999999494418238,91,146,dorsal/ventral pattern formation,BP,6.221436434175544e-5,1,over
GO:0007275,1.5159894214722736e-7,1,1246,2779,multicellular organism development,BP,7.305174024719518e-5,1,over
GO:0043603,1.5837705311087094e-7,1,257,497,amide metabolic process,BP,7.43646080006755e-5,1,over
GO:0043604,1.8931692195819414e-7,1,190,353,amide biosynthetic process,BP,8.486241094753935e-5,1,over
