category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0003171,1.8425976022467404e-5,0.9999998359819452,3,9,atrioventricular valve development,BP,0.06085237440446861
GO:0003209,3.872851936361166e-5,0.999999518179706,3,12,cardiac atrium morphogenesis,BP,0.06085237440446861
GO:0008131,4.3231244816951996e-5,1,2,2,primary methylamine oxidase activity,MF,0.06085237440446861
GO:0015898,4.3231244816951996e-5,1,2,2,NA,NA,0.06085237440446861
GO:0035874,4.3231244816951996e-5,1,2,2,cellular response to copper ion starvation,BP,0.06085237440446861
GO:0052597,4.3231244816951996e-5,1,2,2,diamine oxidase activity,MF,0.06085237440446861
GO:0052598,4.3231244816951996e-5,1,2,2,histamine oxidase activity,MF,0.06085237440446861
GO:0097185,4.3231244816951996e-5,1,2,2,cellular response to azide,BP,0.06085237440446861
GO:0120126,4.3231244816951996e-5,1,2,2,response to copper ion starvation,BP,0.06085237440446861
GO:0003230,4.4280146165902294e-05,0.9999994132602216,3,13,cardiac atrium development,BP,0.06085237440446861
GO:0003357,4.735593338869153e-5,1,2,2,noradrenergic neuron differentiation,BP,0.06085237440446861
GO:0035905,4.735593338869153e-5,1,2,2,ascending aorta development,BP,0.06085237440446861
GO:0035910,4.735593338869153e-5,1,2,2,ascending aorta morphogenesis,BP,0.06085237440446861
GO:2000759,4.735593338869153e-5,1,2,2,regulation of N-terminal peptidyl-lysine acetylation,BP,0.06085237440446861
GO:2000761,4.735593338869153e-5,1,2,2,positive regulation of N-terminal peptidyl-lysine acetylation,BP,0.06085237440446861
GO:0097184,1.0607400620979013e-4,0.9999997929248609,2,3,response to azide,BP,0.12549901283711484
GO:0003284,1.1719752171559363e-4,0.9999997594374271,2,3,septum primum development,BP,0.12549901283711484
GO:0003289,1.1719752171559363e-4,0.9999997594374271,2,3,atrial septum primum morphogenesis,BP,0.12549901283711484
GO:0003231,1.6919723211305583e-4,0.9999918099379169,4,49,cardiac ventricle development,BP,0.16376330933825398
GO:0003170,1.6992301876861632e-4,0.9999962152464121,3,19,heart valve development,BP,0.16376330933825398
GO:0060412,1.9334268836791526e-4,0.9999954994744443,3,19,ventricular septum morphogenesis,BP,0.17746096753769366
GO:0003207,2.2166041140545776e-4,0.9999991138601657,2,4,cardiac chamber formation,BP,0.18576106216696517
GO:0003211,2.2166041140545776e-4,0.9999991138601657,2,4,cardiac ventricle formation,BP,0.18576106216696517
GO:0071503,2.672412033487441e-4,0.9999988260238477,2,4,response to heparin,BP,0.2060429677818817
GO:0071504,2.672412033487441e-4,0.9999988260238477,2,4,cellular response to heparin,BP,0.2060429677818817
GO:0015695,3.203842720121606e-4,0.9999909026566791,3,24,organic cation transport,BP,0.22521065970877735
GO:0048485,3.2529282771096653e-4,0.999998167771282,2,5,sympathetic nervous system development,BP,0.22521065970877735
GO:0033647,3.3883834664355603e-4,0.9999980517888776,2,5,host intracellular organelle,CC,0.22521065970877735
GO:0033648,3.3883834664355603e-4,0.9999980517888776,2,5,host intracellular membrane-bounded organelle,CC,0.22521065970877735
GO:0002328,3.7365761722247057e-4,0.9999975438586817,2,6,pro-B cell differentiation,BP,0.24007501906543735
GO:0005923,4.2094867439339414e-4,0.9999867332828359,3,27,bicellular tight junction,CC,0.2483655588495374
GO:0035580,4.379749197096295e-4,0.9999860070963977,3,27,specific granule lumen,CC,0.2483655588495374
GO:0003283,4.483399529522626e-4,0.9999967690616582,2,6,atrial septum development,BP,0.2483655588495374
GO:0060413,4.483399529522626e-4,0.9999967690616582,2,6,atrial septum morphogenesis,BP,0.2483655588495374
GO:0003281,4.509880446035699e-4,0.9999854920024446,3,26,ventricular septum development,BP,0.2483655588495374
GO:0003713,4.691623466602954e-4,0.999941057164441,6,169,transcription coactivator activity,MF,0.2511973397743665
GO:0034776,5.619588243047416e-4,0.9999952062858735,2,7,response to histamine,BP,0.2850462194335236
GO:0071420,5.619588243047416e-4,0.9999952062858735,2,7,cellular response to histamine,BP,0.2850462194335236
GO:0061476,6.117077624257294e-4,0.9999948422707694,2,6,response to anticoagulant,BP,0.29708413911011494
GO:0003205,6.199964171444763e-4,0.9999569896234632,4,70,cardiac chamber development,BP,0.29708413911011494
GO:0003215,6.319299457076375e-4,0.9999942799349453,2,7,cardiac right ventricle morphogenesis,BP,0.29708413911011494
GO:0060411,6.561324412660713e-4,0.9999757022909768,3,30,cardiac septum morphogenesis,BP,0.30111792393817916
GO:0032050,6.868935030978298e-4,0.999993514511057,2,7,clathrin heavy chain binding,MF,0.3079040063304807
GO:0003174,7.76357014713134e-4,0.9999922012076118,2,7,mitral valve development,BP,0.3194970426626598
GO:0003181,7.76357014713134e-4,0.9999922012076118,2,7,atrioventricular valve morphogenesis,BP,0.3194970426626598
GO:0003183,7.76357014713134e-4,0.9999922012076118,2,7,mitral valve morphogenesis,BP,0.3194970426626598
GO:1904781,7.790589367131005e-4,0.9999921602868217,2,7,positive regulation of protein localization to centrosome,BP,0.3194970426626598
GO:0047485,8.26311710255492e-4,0.9999379355288036,4,75,NA,NA,0.33181579614947104
GO:0045663,9.676963642764301e-4,0.9999887087971692,2,8,positive regulation of myoblast differentiation,BP,0.38066015145771814
GO:0060174,9.964952354815082e-4,0.9999881986143838,2,8,limb bud formation,BP,0.3841489132781214
GO:0003712,0.0010343526817994187,0.9998186348298687,7,270,transcription coregulator activity,MF,0.39092446944478026
GO:0043043,0.0010656323750075102,0.9998121843990585,7,270,peptide biosynthetic process,BP,0.39149038433353034
GO:0070160,0.001076471614509837,0.9999520196773054,3,37,tight junction,CC,0.39149038433353034
GO:0007293,0.001195971830618535,0.9999003843755018,4,84,germarium-derived egg chamber formation,BP,0.41844110259249906
GO:0016641,0.0011986118032403382,0.999983964995072,2,9,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",MF,0.41844110259249906
GO:1904779,0.0012157043706967547,0.999983619021646,2,9,regulation of protein localization to centrosome,BP,0.41844110259249906
GO:0033646,0.0012885721458477878,0.9999821163509737,2,9,host intracellular part,CC,0.4277216613301672
GO:0043656,0.0012885721458477878,0.9999821163509737,2,9,host intracellular region,CC,0.4277216613301672
GO:0044784,0.0013092388077032356,0.9999809545096233,2,11,metaphase/anaphase transition of cell cycle,BP,0.4277216613301672
GO:0071280,0.0013327368530799701,0.9999811840862488,2,9,cellular response to copper ion,BP,0.4281417140519404
GO:0002320,0.001416289958911319,0.9999789246991722,2,10,lymphoid progenitor cell differentiation,BP,0.447524409147798
GO:0018995,0.0015930502093232893,0.9999748339090498,2,10,host cellular component,CC,0.45829914604039407
GO:0033643,0.0015930502093232893,0.9999748339090498,2,10,host cell part,CC,0.45829914604039407
GO:0043657,0.0015930502093232893,0.9999748339090498,2,10,host cell,CC,0.45829914604039407
GO:0044215,0.0015930502093232893,0.9999748339090498,2,10,NA,NA,0.45829914604039407
GO:0044216,0.0015930502093232893,0.9999748339090498,2,10,NA,NA,0.45829914604039407
GO:0044217,0.0015930502093232893,0.9999748339090498,2,10,other organism part,CC,0.45829914604039407
GO:0035019,0.0017232580666058863,0.9999089716762768,3,41,somatic stem cell population maintenance,BP,0.4782787622687108
GO:0014009,0.001723950241227392,0.9999711573411907,2,11,glial cell proliferation,BP,0.4782787622687108
GO:0008544,0.0017558726848229244,0.9997721740588393,5,156,epidermis development,BP,0.4782787622687108
GO:0035909,0.0017710860277756623,0.999969959172291,2,11,aorta morphogenesis,BP,0.4782787622687108
GO:0048038,0.001786566582793628,0.999970081401041,2,10,quinone binding,MF,0.4782787622687108
GO:0003279,0.0018152184317919433,0.99990201073001,3,44,cardiac septum development,BP,0.479292264010818
GO:0045321,0.0018682353182973164,0.99958698350033,8,401,leukocyte activation,BP,0.4866248075700105
GO:0003179,0.00220154564947954,0.9999576930641573,2,12,heart valve morphogenesis,BP,0.5657972319162418
GO:0060828,0.002396186546207012,0.9996659464436155,5,161,regulation of canonical Wnt signaling pathway,BP,0.607717048396581
GO:0005911,0.002452858465926591,0.9996557971892396,5,173,cell-cell junction,CC,0.6140109991004551
GO:0060070,0.002494134890514872,0.9998492808659445,3,45,canonical Wnt signaling pathway,BP,0.6163391027522328
GO:0035970,0.0025646083088792593,0.9999467235546294,2,12,peptidyl-threonine dephosphorylation,BP,0.6257319639702243
GO:0045661,0.0026634702685805153,0.9999429332665108,2,13,regulation of myoblast differentiation,BP,0.6388637677831709
GO:0044260,0.0026981836863791825,0.9988017017001176,27,2787,NA,NA,0.6388637677831709
GO:0016638,0.002741905965875575,0.9999397902095566,2,14,"oxidoreductase activity, acting on the CH-NH2 group of donors",MF,0.6388637677831709
