category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0045663,6.098850612305176e-5,0.9999992130445439,3,8,positive regulation of myoblast differentiation,BP,0.13582055262362508
GO:0003171,8.208425387281162e-5,0.999998772399598,3,9,atrioventricular valve development,BP,0.13582055262362508
GO:0003357,9.391202483745916e-5,1,2,2,noradrenergic neuron differentiation,BP,0.13582055262362508
GO:0035905,9.391202483745916e-5,1,2,2,ascending aorta development,BP,0.13582055262362508
GO:0035910,9.391202483745916e-5,1,2,2,ascending aorta morphogenesis,BP,0.13582055262362508
GO:2000759,9.391202483745916e-5,1,2,2,regulation of N-terminal peptidyl-lysine acetylation,BP,0.13582055262362508
GO:2000761,9.391202483745916e-5,1,2,2,positive regulation of N-terminal peptidyl-lysine acetylation,BP,0.13582055262362508
GO:0008131,9.865046623765246e-5,1,2,2,primary methylamine oxidase activity,MF,0.13582055262362508
GO:0015898,9.865046623765246e-5,1,2,2,NA,NA,0.13582055262362508
GO:0035874,9.865046623765246e-5,1,2,2,cellular response to copper ion starvation,BP,0.13582055262362508
GO:0052597,9.865046623765246e-5,1,2,2,diamine oxidase activity,MF,0.13582055262362508
GO:0052598,9.865046623765246e-5,1,2,2,histamine oxidase activity,MF,0.13582055262362508
GO:0097185,9.865046623765246e-5,1,2,2,cellular response to azide,BP,0.13582055262362508
GO:0120126,9.865046623765246e-5,1,2,2,response to copper ion starvation,BP,0.13582055262362508
GO:0003231,1.8179773695031778e-4,0.9999860667831585,5,49,cardiac ventricle development,BP,0.23361009198115834
GO:0003209,2.610137314718908e-4,0.9999937024480111,3,12,cardiac atrium morphogenesis,BP,0.31443997963254344
GO:0045661,2.9388243582491997e-4,0.999992484291248,3,13,regulation of myoblast differentiation,BP,0.31782896273180283
GO:0003284,3.132944379716863e-4,0.9999989342446006,2,3,septum primum development,BP,0.31782896273180283
GO:0003289,3.132944379716863e-4,0.9999989342446006,2,3,atrial septum primum morphogenesis,BP,0.31782896273180283
GO:0097184,3.38004304771453e-4,0.999998805219826,2,3,response to azide,BP,0.32575164872348783
GO:0003230,3.77645711890538e-4,0.9999894724319369,3,13,cardiac atrium development,BP,0.346624814128101
GO:0016638,4.1821852922167e-4,0.9999877473058896,3,14,"oxidoreductase activity, acting on the CH-NH2 group of donors",MF,0.3589601802874578
GO:0003713,4.283312138319859e-4,0.9999237813381605,8,169,transcription coactivator activity,MF,0.3589601802874578
GO:0071503,5.730685892741355e-4,0.9999962636437412,2,4,response to heparin,BP,0.4418358823303585
GO:0071504,5.730685892741355e-4,0.9999962636437412,2,4,cellular response to heparin,BP,0.4418358823303585
GO:0003207,6.369980727424617e-4,0.9999956183020646,2,4,cardiac chamber formation,BP,0.4547458463744796
GO:0003211,6.369980727424617e-4,0.9999956183020646,2,4,cardiac ventricle formation,BP,0.4547458463744796
GO:0022414,7.746434838515259e-4,0.9996635215083423,27,1302,reproductive process,BP,0.5332590411156486
GO:0000278,8.144541390238179e-4,0.9997239856942537,16,600,mitotic cell cycle,BP,0.5413311561960031
GO:0005654,9.213328293184247e-4,0.9995540559143262,36,2002,nucleoplasm,CC,0.5838677759984177
GO:0060412,9.65019291245253e-4,0.9999604249698154,3,19,ventricular septum morphogenesis,BP,0.5838677759984177
GO:0035108,9.939159047408185e-4,0.9998872911338277,5,68,limb morphogenesis,BP,0.5838677759984177
GO:0003170,0.0010177274946073576,0.9999574837894557,3,19,heart valve development,BP,0.5838677759984177
GO:0003205,0.0010299094362618004,0.999882126346974,5,70,cardiac chamber development,BP,0.5838677759984177
GO:0033647,0.001092642823697487,0.9999885295553662,2,5,host intracellular organelle,CC,0.5850191785213628
GO:0033648,0.001092642823697487,0.9999885295553662,2,5,host intracellular membrane-bounded organelle,CC,0.5850191785213628
GO:0030858,0.0011245393773849385,0.9999510561809308,3,20,positive regulation of epithelial cell differentiation,BP,0.5857257295376005
GO:0048485,0.0011929965255139318,0.999986903992362,2,5,sympathetic nervous system development,BP,0.5857257295376005
GO:0000003,0.001265725144029659,0.9994304338273953,27,1345,NA,NA,0.5857257295376005
