category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0004529,9.446071445971215e-5,0.9999847426792624,11,25,DNA exonuclease activity,MF,0.9103651356054758
GO:0016895,9.446071445971215e-5,0.9999847426792624,11,25,"DNA exonuclease activity, producing 5'-phosphomonoesters",MF,0.9103651356054758
GO:0008296,1.6951373292207672e-4,0.9999817035093115,8,15,3'-5'-DNA exonuclease activity,MF,0.9878202010617749
GO:0036459,2.2427557525361866e-4,0.9999325384167941,18,61,NA,NA,0.9878202010617749
GO:0006491,2.5624389132601166e-4,0.999969255627278,8,16,N-glycan processing,BP,0.9878202010617749
GO:0101005,4.342189097571723e-4,0.9998604542980281,18,64,deubiquitinase activity,MF,1
GO:0008299,4.748162489473707e-4,0.999935064062226,8,17,isoprenoid biosynthetic process,BP,1
GO:0008310,4.934637266778315e-4,0.9999612044561648,6,10,single-stranded DNA 3'-5' DNA exonuclease activity,MF,1
GO:0019783,7.911126109185625e-4,0.9997297229825177,18,67,ubiquitin-like protein peptidase activity,MF,1
GO:0004843,9.263235468692893e-4,0.9997172511494222,15,52,cysteine-type deubiquitinase activity,MF,1
GO:0036510,0.0010132718595273638,0.9999725407184223,4,5,trimming of terminal mannose on C branch,BP,1
GO:0070131,0.0011812292648527766,0.9998383259466788,7,15,positive regulation of mitochondrial translation,BP,1
GO:0035285,0.0012052582623931257,0.9997984769155136,8,19,appendage segmentation,BP,1
GO:0036011,0.0012052582623931257,0.9997984769155136,8,19,imaginal disc-derived leg segmentation,BP,1
GO:0008297,0.0012114136461398388,0.999833429645556,7,15,single-stranded DNA exodeoxyribonuclease activity,MF,1
GO:0004536,0.001263565842323421,0.9996014702576564,15,52,DNA nuclease activity,MF,1
GO:0005873,0.0018119199229202016,1,3,3,plus-end kinesin complex,CC,1
GO:0007218,0.0018495296786657706,0.9997803637465741,6,12,neuropeptide signaling pathway,BP,1
GO:1904167,0.0020042313425389594,1,3,3,NA,NA,1
GO:1904168,0.0020042313425389594,1,3,3,NA,NA,1
GO:0000729,0.0020525403382399133,0.9996114569276557,8,21,DNA double-strand break processing,BP,1
GO:0042634,0.002398171889188331,0.9997816896799282,5,9,regulation of hair cycle,BP,1
GO:0035977,0.002739523658010376,0.9998523201266314,4,6,protein deglycosylation involved in glycoprotein catabolic process,BP,1
GO:0097466,0.002739523658010376,0.9998523201266314,4,6,ubiquitin-dependent glycoprotein ERAD pathway,BP,1
GO:1904382,0.002739523658010376,0.9998523201266314,4,6,mannose trimming involved in glycoprotein ERAD pathway,BP,1
GO:0051797,0.0029792631197535667,0.9998354145081073,4,6,regulation of hair follicle development,BP,1
GO:0043124,0.004175187567634327,0.9992198658549225,7,18,negative regulation of canonical NF-kappaB signal transduction,BP,1
GO:2000352,0.004197131395402821,0.9995273162467507,5,10,negative regulation of endothelial cell apoptotic process,BP,1
GO:0008234,0.0044881347623174075,0.9979624346767472,22,101,cysteine-type peptidase activity,MF,1
GO:0007542,0.0047939359374034735,0.9994420151804321,5,10,"primary sex determination, germ-line",BP,1
GO:0071108,0.005582519578914972,0.998540751631791,9,29,protein K48-linked deubiquitination,BP,1
GO:0000014,0.005795031522187347,0.9995332511575807,4,7,single-stranded DNA endodeoxyribonuclease activity,MF,1
GO:0030242,0.006407578791570849,0.9997875519378573,3,4,autophagy of peroxisome,BP,1
GO:0035218,0.006454433946652903,0.997414754396911,16,66,leg disc development,BP,1
GO:2000402,0.006555641060106102,0.9997807508248134,3,4,negative regulation of lymphocyte migration,BP,1
GO:0042809,0.006785569960847361,0.9990910400896521,5,11,nuclear vitamin D receptor binding,MF,1
GO:0004571,0.006835275901767406,0.9990826972905058,5,11,"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity",MF,1
GO:0015924,0.006835275901767406,0.9990826972905058,5,11,mannosyl-oligosaccharide mannosidase activity,MF,1
GO:0070877,0.006890792531680685,0.9997651332209607,3,4,microprocessor complex,CC,1
GO:1903095,0.006890792531680685,0.9997651332209607,3,4,ribonuclease III complex,CC,1
GO:0070695,0.006914848930432219,0.9997640005049647,3,4,FHF complex,CC,1
GO:0016796,0.006919248452190559,0.9973037157299741,15,61,"exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters",MF,1
GO:0046662,0.007106968541599972,0.9977227743751195,11,40,regulation of egg-laying behavior,BP,1
GO:0050710,0.007341596398357104,0.9989968159670166,5,11,NA,NA,1
GO:0008528,0.007497958023035087,0.9986638854250494,6,15,G protein-coupled peptide receptor activity,MF,1
GO:0032039,0.008094693782608827,0.9984999342832442,6,16,integrator complex,CC,1
GO:0051492,0.009554636255590944,0.9970015232211976,10,36,regulation of stress fiber assembly,BP,1
GO:0072396,0.009650386196949738,0.9989943345617877,4,8,response to cell cycle checkpoint signaling,BP,1
GO:0072402,0.009650386196949738,0.9989943345617877,4,8,response to DNA integrity checkpoint signaling,BP,1
GO:0072423,0.009650386196949738,0.9989943345617877,4,8,response to DNA damage checkpoint signaling,BP,1
GO:0016444,0.009769617963532672,0.9971630530707825,9,31,somatic cell DNA recombination,BP,1
GO:0034058,0.009773807267288348,0.9985052313891656,5,12,endosomal vesicle fusion,BP,1
GO:1903441,0.01042116529771322,0.9988883213370829,4,8,protein localization to ciliary membrane,BP,1
GO:0007480,0.010445863421649094,0.9958649976547619,14,58,imaginal disc-derived leg morphogenesis,BP,1
GO:0070129,0.011170594126530426,0.9973522756448692,7,21,regulation of mitochondrial translation,BP,1
GO:0016348,0.01125957010970511,0.998770134226346,4,8,imaginal disc-derived leg joint morphogenesis,BP,1
GO:0030238,0.011499353300476842,0.9981662425391411,5,12,male sex determination,BP,1
GO:0072091,0.012282784434495184,0.9946635250466351,16,71,regulation of stem cell proliferation,BP,1
GO:0005778,0.01379281757840142,0.9957295238482331,9,32,peroxisomal membrane,CC,1
GO:0031903,0.01379281757840142,0.9957295238482331,9,32,microbody membrane,CC,1
GO:0003831,0.014028278491570305,1,2,2,"beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity",MF,1
GO:0017137,0.014091945711626336,0.9924809571891801,25,130,NA,NA,1
GO:0004527,0.014426641657901,0.9936032646457322,16,72,exonuclease activity,MF,1
GO:0007478,0.014467400402898845,0.9940074642570931,14,60,leg disc morphogenesis,BP,1
GO:0050707,0.014592926884067065,0.9954376054690622,9,32,NA,NA,1
GO:0060171,0.014618849319065876,1,2,2,stereocilium membrane,CC,1
GO:0097500,0.014630017077045702,0.9990355603745086,3,5,receptor localization to non-motile cilium,BP,1
GO:0030709,0.014773439781970767,1,2,2,border follicle cell delamination,BP,1
GO:0014820,0.014775673442186492,1,2,2,tonic smooth muscle contraction,BP,1
GO:0014824,0.014775673442186492,1,2,2,artery smooth muscle contraction,BP,1
GO:0014829,0.014775673442186492,1,2,2,vascular associated smooth muscle contraction,BP,1
GO:0034162,0.014825876490050868,0.9990175723732906,3,5,toll-like receptor 9 signaling pathway,BP,1
GO:0019102,0.014870164858592758,1,2,2,male somatic sex determination,BP,1
GO:0015874,0.014916724037991916,1,2,2,norepinephrine transport,BP,1
GO:0048243,0.014916724037991916,1,2,2,norepinephrine secretion,BP,1
GO:0032309,0.01494185696412235,1,2,2,icosanoid secretion,BP,1
GO:0071715,0.01494185696412235,1,2,2,icosanoid transport,BP,1
GO:1901571,0.01494185696412235,1,2,2,fatty acid derivative transport,BP,1
GO:0002625,0.014968245103109531,1,2,2,regulation of T cell antigen processing and presentation,BP,1
GO:1903526,0.014968245103109531,1,2,2,negative regulation of membrane tubulation,BP,1
GO:0043293,0.014985778550655943,1,2,2,apoptosome,CC,1
GO:0072414,0.014985778550655943,1,2,2,response to mitotic cell cycle checkpoint signaling,BP,1
GO:0072432,0.014985778550655943,1,2,2,response to G1 DNA damage checkpoint signaling,BP,1
GO:0080129,0.014996012202309028,1,2,2,proteasome core complex assembly,BP,1
GO:0001922,0.015071405771131243,0.9989948858819228,3,5,B-1 B cell homeostasis,BP,1
GO:0097543,0.01509247758879415,1,2,2,ciliary inversin compartment,CC,1
GO:0034115,0.01513131235521787,1,2,2,negative regulation of heterotypic cell-cell adhesion,BP,1
GO:0016256,0.01527598669916987,1,2,2,N-glycan processing to lysosome,BP,1
GO:0034499,0.01539420396785455,1,2,2,late endosome to Golgi transport,BP,1
GO:0015757,0.015565184230805742,0.9989488058764142,3,5,galactose transmembrane transport,BP,1
GO:0061654,0.015839890043294613,1,2,2,NEDD8 conjugating enzyme activity,MF,1
GO:0035312,0.015884300738606458,0.9989187055161253,3,5,5'-3' DNA exonuclease activity,MF,1
GO:0002295,0.01596030426615562,1,2,2,T-helper cell lineage commitment,BP,1
GO:0032638,0.01596030426615562,1,2,2,interleukin-9 production,BP,1
GO:0043373,0.01596030426615562,1,2,2,"CD4-positive, alpha-beta T cell lineage commitment",BP,1
GO:0072538,0.01596030426615562,1,2,2,T-helper 17 type immune response,BP,1
GO:0072539,0.01596030426615562,1,2,2,T-helper 17 cell differentiation,BP,1
GO:0072540,0.01596030426615562,1,2,2,T-helper 17 cell lineage commitment,BP,1
GO:0072607,0.01596030426615562,1,2,2,NA,NA,1
GO:2000647,0.01609346079719299,0.9948568158053613,9,33,negative regulation of stem cell proliferation,BP,1
GO:0031119,0.01620877292938875,0.9988878455409425,3,5,tRNA pseudouridine synthesis,BP,1
GO:0046549,0.016221438259808884,0.9988866357974159,3,5,retinal cone cell development,BP,1
GO:0019100,0.016229962435559773,0.9988858213832656,3,5,male germ-line sex determination,BP,1
GO:1900044,0.016315314776040306,0.9978619864736102,4,9,regulation of protein K63-linked ubiquitination,BP,1
GO:0032691,0.016970346882802658,0.9988144205979411,3,5,negative regulation of interleukin-1 beta production,BP,1
GO:0015279,0.016996503947062994,1,2,2,store-operated calcium channel activity,MF,1
GO:0042636,0.017180336861998644,1,2,2,negative regulation of hair cycle,BP,1
