category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0044446,1.7889136670316933e-17,1,4173,4566,NA,NA,3.4481310932035887e-13
GO:0044422,9.216654128206728e-17,1,4248,4654,NA,NA,5.997709681285172e-13
GO:0043229,9.708557638028457e-17,1,5051,5558,intracellular organelle,CC,5.997709681285172e-13
GO:0005622,1.2446608936519164e-16,1,5655,6241,intracellular anatomical structure,CC,5.997709681285172e-13
GO:0043226,1.818523342617776e-16,1,5124,5642,organelle,CC,7.010407485791526e-13
GO:0044424,3.0549608839491083e-16,1,5638,6224,NA,NA,9.81406183968651e-13
GO:0005575,6.891832744829726e-16,1,5910,6534,cellular_component,CC,1.8977153736656138e-12
GO:0005623,1.0468817710543197e-15,1,5834,6449,NA,NA,2.2204219318363717e-12
GO:0044464,1.1020030831125034e-15,1,5833,6448,NA,NA,2.2204219318363717e-12
GO:0009987,1.2637954219903734e-15,1,5404,5963,cellular process,BP,2.2204219318363717e-12
GO:0005634,1.2671668612295766e-15,1,3005,3268,nucleus,CC,2.2204219318363717e-12
GO:0043231,1.813376952521694e-15,1,4484,4926,intracellular membrane-bounded organelle,CC,2.912736729987971e-12
GO:0031974,1.2149148234356681e-14,1,2617,2840,membrane-enclosed lumen,CC,1.6726773729801788e-11
GO:0043233,1.2149148234356681e-14,1,2617,2840,organelle lumen,CC,1.6726773729801788e-11
GO:0070013,1.4355418078675764e-14,1,2614,2837,intracellular organelle lumen,CC,1.8446712231098356e-11
GO:0043227,4.7919995991468356e-14,1,4696,5173,membrane-bounded organelle,CC,5.772862017097204e-11
GO:0006807,6.293050416602644e-14,1,3559,3896,NA,NA,7.135208634118586e-11
GO:0005488,2.716740874831439e-13,1,3956,4346,binding,MF,2.8666539353171705e-10
GO:0044237,2.8257548519339163e-13,1,3873,4252,NA,NA,2.8666539353171705e-10
GO:0044428,3.5728715102952887e-13,1,2324,2521,NA,NA,3.4433549180470843e-10
GO:0043170,5.238887002044495e-13,1,3054,3336,macromolecule metabolic process,BP,4.808549855447983e-10
GO:0060255,6.572958978401773e-13,1,2330,2529,regulation of macromolecule metabolic process,BP,5.758808377667916e-10
GO:0031981,7.194975550807535e-13,1,2151,2330,nuclear lumen,CC,6.029702336600663e-10
GO:0008150,1.0668680068327452e-12,1,5888,6529,biological_process,BP,8.568283679875486e-10
GO:0071704,1.4736055393707262e-12,1,3894,4280,NA,NA,1.0942124730644251e-9
GO:0010468,1.4759805084137512e-12,1,1680,1809,regulation of gene expression,BP,1.0942124730644251e-9
GO:0044238,2.0661087136727454e-12,1,3741,4109,primary metabolic process,BP,1.4749720539274878e-9
GO:0003674,5.163592963710252e-12,1,5197,5752,molecular_function,MF,3.554580513411254e-9
GO:0005654,9.740188159750557e-12,1,1851,2002,nucleoplasm,CC,6.473866440661793e-9
GO:0031326,1.4698079337274252e-11,1,1528,1645,NA,NA,9.443515974198708e-9
GO:0010556,1.534344673458122e-11,1,1461,1571,regulation of macromolecule biosynthetic process,BP,9.540159219646872e-9
GO:2000112,2.0163524050371283e-11,1,1409,1514,NA,NA,1.2145372689715827e-8
GO:0019222,2.17719082508056e-11,1,2567,2801,regulation of metabolic process,BP,1.2716773682856908e-8
GO:0044260,4.750017852848182e-11,1,2553,2787,NA,NA,2.6928410033426087e-8
GO:0032991,5.088216175523142e-11,1,2617,2859,protein-containing complex,CC,2.8021533366631016e-8
GO:0009889,5.627028950614821e-11,1,1561,1684,regulation of biosynthetic process,BP,3.0128050839750184e-8
GO:0034641,7.305269654471756e-11,1,2163,2353,NA,NA,3.747837981038971e-8
GO:0005737,7.388733762878386e-11,1,4763,5270,cytoplasm,CC,3.747837981038971e-8
GO:0051171,1.0845284280684266e-10,1,2152,2342,NA,NA,5.360073192568954e-8
GO:0071840,1.3448665204172097e-10,1,2930,3212,cellular component organization or biogenesis,BP,6.480575545260429e-8
GO:0008152,1.5619189462627235e-10,1,4045,4463,metabolic process,BP,7.34292382663756e-8
GO:0010467,2.0857044851319992e-10,1,1238,1329,gene expression,BP,9.571893797837926e-8
GO:0080090,2.4047045830154625e-10,1,2232,2433,regulation of primary metabolic process,BP,1.07792281017728e-7
GO:0016043,3.871242682087675e-10,1,2797,3066,cellular component organization,BP,1.6958682431190894e-7
GO:0065007,4.429333720154365e-10,1,4149,4584,biological regulation,BP,1.897231276799453e-7
GO:0031323,5.603946106151844e-10,1,2326,2540,NA,NA,2.348175243392974e-7
GO:0090304,9.190982113597237e-10,1,1437,1552,nucleic acid metabolic process,BP,3.769280430629505e-7
GO:0003676,1.0678524484760388e-9,1,1065,1141,nucleic acid binding,MF,4.288094988411593e-7
GO:0016070,2.789368179002325e-9,1,1098,1179,RNA metabolic process,BP,1.097246360209588e-6
GO:2001141,3.313313698003256e-9,1,1170,1259,regulation of RNA biosynthetic process,BP,1.277282430580255e-6
GO:1903506,3.713287898414743e-9,1,1168,1257,NA,NA,1.4034043969008662e-6
GO:0050789,5.893701344230109e-9,1,3867,4275,regulation of biological process,BP,2.184636411731449e-6
GO:0006355,6.170628003691483e-9,1,1140,1227,regulation of DNA-templated transcription,BP,2.24412933530478e-6
GO:0051252,6.706017652847984e-9,1,1298,1402,regulation of RNA metabolic process,BP,2.375569038778176e-6
GO:0019219,6.8617171912819065e-9,1,1453,1574,regulation of nucleobase-containing compound metabolic process,BP,2.375569038778176e-6
GO:0050794,6.901782940159681e-9,1,3598,3973,regulation of cellular process,BP,2.375569038778176e-6
GO:0003723,8.366519571145702e-9,1,593,626,RNA binding,MF,2.784525171962255e-6
GO:0006139,8.378856548576435e-9,1,1826,1989,nucleobase-containing compound metabolic process,BP,2.784525171962255e-6
GO:0044267,8.713964219248671e-9,1,1791,1950,NA,NA,2.838239301018833e-6
GO:0044444,8.834986151031386e-9,1,4263,4722,NA,NA,2.838239301018833e-6
GO:0006725,1.7269286294772918e-8,1,1958,2138,NA,NA,5.45681136609423e-6
GO:0019538,2.424273055766661e-8,1,1943,2122,protein metabolic process,BP,7.5367521209519985e-6
GO:0005515,3.389433272873272e-8,1,2953,3254,protein binding,MF,1.0370051799147986e-5
GO:1901564,5.6323420441105095e-8,1,2527,2777,NA,NA,1.696303014066095e-5
GO:0048518,5.746724841275829e-8,1,2411,2648,positive regulation of biological process,BP,1.704124943316794e-5
GO:0044085,7.066650243506013e-8,1,1592,1734,cellular component biogenesis,BP,2.0637830824784607e-5
GO:0051179,8.11473209094052e-8,1,2409,2647,localization,BP,2.3344994186996795e-5
GO:0046483,8.80537390366496e-8,1,1921,2101,NA,NA,2.495935029310913e-5
GO:0043228,1.5756462315986908e-7,1,2012,2205,membraneless organelle,CC,4.338654444866395e-5
GO:0043232,1.5756462315986908e-7,1,2012,2205,intracellular membraneless organelle,CC,4.338654444866395e-5
GO:0016071,2.2863275283233304e-7,1,493,521,mRNA metabolic process,BP,6.206896212455238e-5
GO:1901363,2.506716468267893e-7,1,1497,1631,heterocyclic compound binding,MF,6.710688878592171e-5
GO:0048522,2.756351909467182e-7,1,2178,2392,positive regulation of cellular process,BP,7.277901788353416e-5
GO:0048856,3.3606401319108677e-7,1,2703,2981,anatomical structure development,BP,8.753559262511078e-5
GO:0030154,3.918997616012028e-7,1,1802,1973,cell differentiation,BP,1.0025454678793891e-4
GO:0022607,3.9529678629745043e-7,1,1421,1548,cellular component assembly,BP,1.0025454678793891e-4
GO:0032502,4.04881914904786e-7,1,2820,3113,developmental process,BP,1.0135193389337337e-4
GO:0048869,4.2893907466338726e-7,1,1851,2028,cellular developmental process,BP,1.0599744441201012e-4
GO:0051246,4.848722429071044e-7,1,1240,1347,regulation of protein metabolic process,BP,1.1830268964600554e-4
GO:1990904,4.971527646410521e-7,1,608,648,ribonucleoprotein complex,CC,1.1978274423070349e-4
GO:1901360,5.994572726131187e-7,1,2043,2243,NA,NA,1.4264862876071436e-4
GO:0009893,6.169245894224523e-7,1,1509,1647,positive regulation of metabolic process,BP,1.4501489586728986e-4
GO:0006464,8.80314104058377e-7,1,1415,1543,NA,NA,2.0200064709196687e-4
GO:0036211,8.80314104058377e-7,1,1415,1543,protein modification process,BP,2.0200064709196687e-4
GO:0010604,1.0114597677000465e-6,1,1401,1528,positive regulation of macromolecule metabolic process,BP,2.2936337673433406e-4
GO:0008380,1.0426224122184508e-6,1,303,316,RNA splicing,BP,2.3152861347952426e-4
GO:0044451,1.0450318740710044e-6,1,635,679,NA,NA,2.3152861347952426e-4
GO:0044445,1.5481457364900106e-6,0.9999998015300489,166,169,NA,NA,3.3909669398687447e-4
GO:0005829,1.658835652671412e-6,0.9999993041810799,2452,2703,cytosol,CC,3.592590697218142e-4
GO:0051173,1.6909727325744088e-6,1,1328,1448,NA,NA,3.621499935596859e-4
GO:0007389,1.8275393241106625e-6,1,473,502,pattern specification process,BP,3.870969282662969e-4
GO:0032501,2.113210195036685e-6,0.999998809488001,3023,3344,multicellular organismal process,BP,4.427405055362186e-4
GO:0006357,2.2515012944047426e-6,1,834,900,regulation of transcription by RNA polymerase II,BP,4.6664180053388615e-4
GO:0009059,2.287684136490739e-6,1,1011,1096,macromolecule biosynthetic process,BP,4.669438976811404e-4
GO:0065003,2.3014096124362303e-6,1,842,909,protein-containing complex assembly,BP,4.669438976811404e-4
GO:0000375,2.383299153566748e-6,1,281,293,"RNA splicing, via transesterification reactions",BP,4.7852178317707363e-4
GO:0032268,2.543680308757005e-6,1,1168,1271,NA,NA,5.054581232091883e-4
GO:0003729,2.912560971980121e-6,1,202,208,mRNA binding,MF,5.728531911726207e-4
GO:0031328,3.012378174661609e-6,1,866,936,NA,NA,5.865009021879041e-4
GO:0008283,3.1289357174038616e-6,1,443,470,cell population proliferation,BP,6.031023595295944e-4
GO:0000377,3.3445623167056443e-6,1,277,289,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",BP,6.320239083774636e-4
GO:0000398,3.3445623167056443e-6,1,277,289,"mRNA splicing, via spliceosome",BP,6.320239083774636e-4
GO:0006417,3.4467137152593507e-6,1,227,235,regulation of translation,BP,6.450039501128543e-4
GO:0006396,3.6500584951117117e-6,1,615,659,RNA processing,BP,6.76489206666137e-4
GO:0006397,3.707783519289757e-6,1,334,351,mRNA processing,BP,6.806431174696197e-4
GO:0031325,3.973980025027802e-6,0.9999984143489179,1390,1518,NA,NA,7.226270281359517e-4
GO:0010557,4.960955098116844e-6,1,819,885,positive regulation of macromolecule biosynthetic process,BP,8.93667378656095e-4
GO:0097159,5.027570012561624e-6,0.9999973345054382,1514,1656,NA,NA,8.972815925196788e-4
GO:0034645,5.943660319536276e-6,0.9999977316302595,992,1076,NA,NA,0.0010510463546702909
GO:0009891,6.698681970497979e-6,0.9999974925159177,878,950,positive regulation of biosynthetic process,BP,0.001173791772557714
GO:0009888,6.797966982932328e-6,0.9999973703510732,1057,1149,tissue development,BP,0.00118045778014433
GO:0022626,7.6681274718221e-6,1,95,95,cytosolic ribosome,CC,0.0013196710448158122
GO:0006996,7.99230011146275e-6,0.9999948396567855,1979,2177,organelle organization,BP,0.0013632883597207478
GO:0010629,9.703393013814638e-6,0.9999964083825709,796,860,negative regulation of gene expression,BP,0.001638294618634193
GO:0033554,9.774520422460814e-6,0.9999962149883254,1023,1112,cellular response to stress,BP,0.001638294618634193
GO:0010605,9.884255469751259e-6,0.9999949107857324,1153,1256,negative regulation of macromolecule metabolic process,BP,0.0016424053808573751
GO:0010564,1.1168036672188961e-5,1,465,496,regulation of cell cycle process,BP,0.0018398624517644636
GO:0001654,1.1731346024593219e-5,1,361,382,eye development,BP,0.0019162855476613076
GO:0051716,1.2317732307462775e-5,0.9999916550440094,2178,2401,cellular response to stimulus,BP,0.001995162102742395
GO:0007275,1.360880671289785e-5,0.9999904362843927,2515,2779,multicellular organism development,BP,0.002185914578259217
GO:0048513,1.4535165084272531e-5,0.9999907687925073,1626,1784,animal organ development,BP,0.0023154157603252315
GO:0005730,1.4845676506010056e-5,0.9999948354673736,577,619,nucleolus,CC,0.002345495202076589
GO:0043933,1.6125936394088587e-5,0.999991821622,999,1086,protein-containing complex organization,BP,0.0025270522276102238
GO:0022412,1.6879815426228495e-5,0.9999938368258452,698,753,cellular process involved in reproduction in multicellular organism,BP,0.0026238584059722118
