category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0007056,4.299551339098749e-4,0.9999964912460819,2,12,spindle assembly involved in female meiosis,BP,1,0.9999964912460819
GO:0000278,0.0011581325508218526,0.9998069898839285,7,600,mitotic cell cycle,BP,1,0.9999964912460819
GO:0090306,0.0020805200524108202,0.9999593243051025,2,25,meiotic spindle assembly,BP,1,0.9999964912460819
GO:1903047,0.0030434886346639572,0.9994772452700877,6,522,mitotic cell cycle process,BP,1,0.9999964912460819
GO:0006338,0.004042551818575743,0.9997130866537491,3,117,chromatin remodeling,BP,1,0.9999964912460819
GO:0009646,0.0045716067836145706,0.99999493209767,1,2,response to absence of light,BP,1,0.9999964912460819
GO:0071485,0.0045716067836145706,0.99999493209767,1,2,cellular response to absence of light,BP,1,0.9999964912460819
GO:1990603,0.0045716067836145706,0.99999493209767,1,2,dark adaptation,BP,1,0.9999964912460819
GO:2000625,0.0045716067836145706,0.99999493209767,1,2,regulation of miRNA catabolic process,BP,1,0.9999964912460819
GO:2000626,0.0045716067836145706,0.99999493209767,1,2,negative regulation of miRNA catabolic process,BP,1,0.9999964912460819
GO:2000629,0.0045716067836145706,0.99999493209767,1,2,negative regulation of miRNA metabolic process,BP,1,0.9999964912460819
GO:0006334,0.004649008400481507,0.9998597152632416,2,39,nucleosome assembly,BP,1,0.9999964912460819
GO:0035044,0.007042231973740524,0.99998395165903,1,3,sperm aster formation,BP,1,0.9999964912460819
GO:1903394,0.008160482553623984,0.9999784391826296,1,3,protein localization to kinetochore involved in kinetochore assembly,BP,1,0.9999964912460819
GO:0007049,0.008343337721660198,0.9979968824667159,7,852,cell cycle,BP,1,0.9999964912460819
GO:0022414,0.009292710541457541,0.9973250854944674,9,1302,reproductive process,BP,1,0.9999964912460819
GO:0071484,0.010136898909867478,0.9999625487855593,1,4,cellular response to light intensity,BP,1,0.9999964912460819
GO:0007143,0.010961170018889995,0.9994785897429368,2,55,female meiotic nuclear division,BP,1,0.9999964912460819
GO:0000280,0.010989971398723259,0.9983396591705413,4,298,nuclear division,BP,1,0.9999964912460819
GO:0007057,0.011128125456190394,0.9999518461036018,1,5,spindle assembly involved in female meiosis I,BP,1,0.9999964912460819
GO:0019676,0.011180615819560329,0.9999594705220752,1,3,ammonia assimilation cycle,BP,1,0.9999964912460819
GO:0019740,0.011180615819560329,0.9999594705220752,1,3,nitrogen utilization,BP,1,0.9999964912460819
GO:0000212,0.011372877139336901,0.9994484968462849,2,55,meiotic spindle organization,BP,1,0.9999964912460819
GO:0048285,0.012729240478941866,0.99799126911232094,4,314,organelle fission,BP,1,0.9999964912460819
GO:0044772,0.012947217829745427,0.9985896466269296,3,183,mitotic cell cycle phase transition,BP,1,0.9999964912460819
GO:0072429,0.013336300450682985,0.9999350873855477,1,4,response to intra-S DNA damage checkpoint signaling,BP,1,0.9999964912460819
GO:0007084,0.013424749824007891,0.9999269404908788,1,6,mitotic nuclear membrane reassembly,BP,1,0.9999964912460819
GO:0030961,0.014033990713658913,0.9999233211588476,1,5,peptidyl-arginine hydroxylation,BP,1,0.9999964912460819
GO:0034728,0.014428225929496363,0.999202920542326,2,70,nucleosome organization,BP,1,0.9999964912460819
GO:0000741,0.014629563113483745,0.999913196108007,1,6,karyogamy,BP,1,0.9999964912460819
GO:0007344,0.014629563113483745,0.999913196108007,1,6,pronuclear fusion,BP,1,0.9999964912460819
GO:0044770,0.01578413361327233,0.9981480531632833,3,195,cell cycle phase transition,BP,1,0.9999964912460819
GO:0060903,0.01588270780312742,0.9998976361965013,1,6,positive regulation of meiosis I,BP,1,0.9999964912460819
GO:0006335,0.017343535729933312,0.9998778677705056,1,6,DNA replication-dependent chromatin assembly,BP,1,0.9999964912460819
GO:0140013,0.017862206966285092,0.9978061309706511,3,184,meiotic nuclear division,BP,1,0.9999964912460819
GO:0006537,0.018102921880162368,0.999872194791958,1,5,glutamate biosynthetic process,BP,1,0.9999964912460819
GO:2000628,0.02051584597733829,0.9998240232998304,1,7,regulation of miRNA metabolic process,BP,1,0.9999964912460819
GO:0022402,0.021103746477473023,0.9944909997759014,6,787,cell cycle process,BP,1,0.9999964912460819
GO:0048085,0.021528591148943135,0.9998061422968673,1,7,adult chitin-containing cuticle pigmentation,BP,1,0.9999964912460819
GO:0051382,0.02172535793228105,0.9997984809252398,1,8,kinetochore assembly,BP,1,0.9999964912460819
GO:0007144,0.02229877599980959,0.9997816302027107,1,10,female meiosis I,BP,1,0.9999964912460819
GO:0007343,0.022437411812411316,0.9997816054629588,1,9,egg activation,BP,1,0.9999964912460819
GO:0007127,0.023018195999038326,0.9983697545507237,2,76,meiosis I,BP,1,0.9999964912460819
GO:0007593,0.024045657930885672,0.9997529118113365,1,8,chitin-based cuticle sclerotization,BP,1,0.9999964912460819
GO:0007059,0.02483414909101084,0.9965393218237297,3,219,chromosome segregation,BP,1,0.9999964912460819
GO:0070925,0.02565086379663878,0.9938870686603574,5,594,organelle assembly,BP,1,0.9999964912460819
GO:0006606,0.026044485309398874,0.998027508274063,2,81,protein import into nucleus,BP,1,0.9999964912460819
GO:0034080,0.02610642523796736,0.9996972453539851,1,11,CENP-A containing chromatin assembly,BP,1,0.9999964912460819
GO:0048067,0.026171104460951333,0.9996987535135209,1,10,cuticle pigmentation,BP,1,0.9999964912460819
GO:0072396,0.02875812160160615,0.9996459156613647,1,8,response to cell cycle checkpoint signaling,BP,1,0.9999964912460819
GO:0072402,0.02875812160160615,0.9996459156613647,1,8,response to DNA integrity checkpoint signaling,BP,1,0.9999964912460819
GO:0072423,0.02875812160160615,0.9996459156613647,1,8,response to DNA damage checkpoint signaling,BP,1,0.9999964912460819
GO:0035186,0.029270485612302184,0.9996189502334231,1,11,syncytial blastoderm mitotic cell cycle,BP,1,0.9999964912460819
GO:0051225,0.0301575949204612,0.9975232326099399,2,94,spindle assembly,BP,1,0.9999964912460819
GO:0065004,0.03080080117075806,0.9974381465464712,2,103,protein-DNA complex assembly,BP,1,0.9999964912460819
GO:0031055,0.031231250612494443,0.9995622810599382,1,12,chromatin remodeling at centromere,BP,1,0.9999964912460819
GO:0007301,0.031898319825437164,0.9995470032586431,1,11,female germline ring canal formation,BP,1,0.9999964912460819
GO:1903046,0.03212473839169396,0.995055750540996,3,231,meiotic cell cycle process,BP,1,0.9999964912460819
GO:0000712,0.032178115976491665,0.9995389719714176,1,11,resolution of meiotic recombination intermediates,BP,1,0.9999964912460819
GO:0071044,0.03218556246140241,0.9995433230627703,1,10,histone mRNA catabolic process,BP,1,0.9999964912460819
GO:0043650,0.03243575075531716,0.9995315136197798,1,11,dicarboxylic acid biosynthetic process,BP,1,0.9999964912460819
GO:0031468,0.03303773366227039,0.999501025868385,1,15,nuclear membrane reassembly,BP,1,0.9999964912460819
