category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,over_represented_bh,under_represented_bh
GO:0006491,1.1879040970471795e-4,0.9999873526001993,8,16,N-glycan processing,BP,0.5724212867646097,1
GO:0035285,5.917695735298927e-4,0.9999118754496473,8,19,appendage segmentation,BP,1,1
GO:0036011,5.917695735298927e-4,0.9999118754496473,8,19,imaginal disc-derived leg segmentation,BP,1,1
GO:0070131,6.279887629228563e-4,0.9999232994255285,7,15,positive regulation of mitochondrial translation,BP,1,1
GO:0036510,6.699209746827188e-4,0.9999838534647564,4,5,trimming of terminal mannose on C branch,BP,1,1
GO:0000729,0.001005726160562113,0.9998308272264232,8,21,DNA double-strand break processing,BP,1,1
GO:0042634,0.0014886697494991062,0.9998791512779773,5,9,regulation of hair cycle,BP,1,1
GO:0008299,0.0015166981918602505,0.9997703469752193,7,17,isoprenoid biosynthetic process,BP,1,1
GO:0035977,0.0018269368419513727,0.9999124086111714,4,6,protein deglycosylation involved in glycoprotein catabolic process,BP,1,1
GO:0097466,0.0018269368419513727,0.9999124086111714,4,6,ubiquitin-dependent glycoprotein ERAD pathway,BP,1,1
GO:1904382,0.0018269368419513727,0.9999124086111714,4,6,mannose trimming involved in glycoprotein ERAD pathway,BP,1,1
GO:0051797,0.002023959069243741,0.9999000658682162,4,6,regulation of hair follicle development,BP,1,1
GO:0043124,0.0022860515771902755,0.9996187785545428,7,18,negative regulation of canonical NF-kappaB signal transduction,BP,1,1
GO:0035218,0.002305910603015322,0.9991739655019741,16,66,leg disc development,BP,1,1
GO:2000352,0.0026166420707836448,0.9997374651042856,5,10,negative regulation of endothelial cell apoptotic process,BP,1,1
GO:0071108,0.002657514973589052,0.9993826445745556,9,29,protein K48-linked deubiquitination,BP,1,1
GO:0007542,0.0030691848671801584,0.999679923712894,5,10,"primary sex determination, germ-line",BP,1,1
GO:0007480,0.004181016433514873,0.998520275305744,14,58,imaginal disc-derived leg morphogenesis,BP,1,1
GO:0051492,0.004480193834390849,0.9987473019152262,10,36,regulation of stress fiber assembly,BP,1,1
GO:0072091,0.004574342342702195,0.9982230063358932,16,71,regulation of stem cell proliferation,BP,1,1
GO:0030242,0.004585716381569266,0.9998659589069309,3,4,autophagy of peroxisome,BP,1,1
