category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,bh_adjust,gene,pattern
ko00340,0.01819578018061347,0.9988848550090129,2,20,1,Montipora_capitata_HIv3___RNAseq.g30106.t1a,1
ko00340,0.01819578018061347,0.9988848550090129,2,20,1,Montipora_capitata_HIv3___RNAseq.g30158.t1,1
ko01524,0.022614952146503622,0.9968898144701361,3,56,1,Montipora_capitata_HIv3___RNAseq.27502_t,1
ko01524,0.022614952146503622,0.9968898144701361,3,56,1,Montipora_capitata_HIv3___RNAseq.g39730.t1,1
ko01524,0.022614952146503622,0.9968898144701361,3,56,1,Montipora_capitata_HIv3___RNAseq.g18416.t1,1
ko04130,0.02862379604549508,0.9977262062509472,2,26,1,Montipora_capitata_HIv3___RNAseq.g11410.t1,1
ko04130,0.02862379604549508,0.9977262062509472,2,26,1,Montipora_capitata_HIv3___RNAseq.g23082.t1,1
ko00511,0.037036308947663264,0.996598929305228,2,29,1,Montipora_capitata_HIv3___TS.g48661.t1,2
ko00511,0.037036308947663264,0.996598929305228,2,29,1,Montipora_capitata_HIv3___RNAseq.g31500.t1,2
ko04512,0.05570374647737377,0.9935735482202492,2,32,1,Montipora_capitata_HIv3___TS.g14781.t1,1
ko04512,0.05570374647737377,0.9935735482202492,2,32,1,Montipora_capitata_HIv3___RNAseq.g40180.t1,1
ko00600,0.05911389742430588,0.9929010211347292,2,38,1,Montipora_capitata_HIv3___TS.g48661.t1,2
ko00600,0.05911389742430588,0.9929010211347292,2,38,1,Montipora_capitata_HIv3___RNAseq.g27818.t1,1
ko04390,0.06755899331530636,0.9855740641418392,3,89,1,Montipora_capitata_HIv3___RNAseq.g19903.t1,1
ko04390,0.06755899331530636,0.9855740641418392,3,89,1,Montipora_capitata_HIv3___RNAseq.g33365.t1,1
ko04390,0.06755899331530636,0.9855740641418392,3,89,1,Montipora_capitata_HIv3___RNAseq.g35580.t1,1
ko03460,0.06977610884179958,0.9908001578958819,2,39,1,Montipora_capitata_HIv3___TS.g29264.t2,3
ko03460,0.06977610884179958,0.9908001578958819,2,39,1,Montipora_capitata_HIv3___RNAseq.g17086.t1,1
ko00380,0.07674476700368749,0.9892973025723851,2,42,1,Montipora_capitata_HIv3___RNAseq.g30106.t1a,1
ko00380,0.07674476700368749,0.9892973025723851,2,42,1,Montipora_capitata_HIv3___RNAseq.g30158.t1,1
