gene,category
Montipora_capitata_HIv3___RNAseq.g4581.t1,ko04714
Montipora_capitata_HIv3___RNAseq.g4581.t1,ko05230
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko00250
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko00280
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko00410
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko00640
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko00650
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko01120
Montipora_capitata_HIv3___RNAseq.g4582.t1,ko04727
Montipora_capitata_HIv3___RNAseq.g4584.t1,ko03060
Montipora_capitata_HIv3___RNAseq.g4586.t1,ko03450
Montipora_capitata_HIv3___RNAseq.g4586.t1,ko04110
Montipora_capitata_HIv3___RNAseq.g4589.t1,ko03450
Montipora_capitata_HIv3___RNAseq.g4589.t1,ko04110
Montipora_capitata_HIv3___RNAseq.g4591.t1b,ko00513
Montipora_capitata_HIv3___RNAseq.g4591.t1b,ko01100
Montipora_capitata_HIv3___RNAseq.g4604.t1,ko00531
Montipora_capitata_HIv3___RNAseq.g4604.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4604.t1,ko04142
Montipora_capitata_HIv3___RNAseq.g4594.t1,ko05202
Montipora_capitata_HIv3___TS.g26295.t1,ko03013
Montipora_capitata_HIv3___RNAseq.g4611.t2,ko04714
Montipora_capitata_HIv3___TS.g26298.t1,ko00230
Montipora_capitata_HIv3___TS.g26298.t1,ko00240
Montipora_capitata_HIv3___RNAseq.g4620.t1,ko03060
Montipora_capitata_HIv3___RNAseq.g4638.t1,ko00010
Montipora_capitata_HIv3___RNAseq.g4638.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4638.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g4638.t1,ko01130
Montipora_capitata_HIv3___RNAseq.g4638.t1,ko01200
Montipora_capitata_HIv3___RNAseq.g4639.t1,ko00010
Montipora_capitata_HIv3___RNAseq.g4639.t1,ko01100
Montipora_capitata_HIv3___RNAseq.g4639.t1,ko01110
Montipora_capitata_HIv3___RNAseq.g4639.t1,ko01130
Montipora_capitata_HIv3___RNAseq.g4639.t1,ko01200
Montipora_capitata_HIv3___TS.g26337.t3,ko01524
Montipora_capitata_HIv3___TS.g26337.t3,ko03420
Montipora_capitata_HIv3___TS.g26337.t3,ko03460
Montipora_capitata_HIv3___RNAseq.g4642.t1,ko04144
Montipora_capitata_HIv3___RNAseq.g4643.t1,ko04144
