category,universegenes,universecount
-,,2494
GO:0000001,,2
GO:0000002,,40
GO:0000003,,1345
GO:0000009,,1
GO:0000011,,2
GO:0000012,,9
GO:0000014,,7
GO:0000018,,56
GO:0000019,,6
GO:0000022,,11
GO:0000023,,2
GO:0000026,,3
GO:0000027,,26
GO:0000028,,18
GO:0000030,,19
GO:0000032,,1
GO:0000033,,3
GO:0000035,,1
GO:0000036,,1
GO:0000038,,19
GO:0000041,,71
GO:0000045,,40
GO:0000049,,35
GO:0000050,,7
GO:0000052,,5
GO:0000053,,2
GO:0000054,,13
GO:0000055,,8
GO:0000056,,6
GO:0000060,,15
GO:0000062,,17
GO:0000064,,1
GO:0000070,,120
GO:0000075,,144
GO:0000076,,17
GO:0000077,,92
GO:0000079,,46
GO:0000082,,95
GO:0000083,,15
GO:0000086,,74
GO:0000095,,1
GO:0000096,,33
GO:0000097,,15
GO:0000098,,12
GO:0000099,,8
GO:0000101,,8
GO:0000103,,3
GO:0000104,,5
GO:0000105,,1
GO:0000109,,9
GO:0000110,,3
GO:0000111,,1
GO:0000117,,1
GO:0000118,,30
GO:0000120,,2
GO:0000122,,368
GO:0000123,,70
GO:0000124,,14
GO:0000125,,7
GO:0000126,,3
GO:0000127,,3
GO:0000132,,42
GO:0000137,,15
GO:0000138,,24
GO:0000139,,294
GO:0000145,,9
GO:0000146,,18
GO:0000147,,1
GO:0000149,,79
GO:0000150,,8
GO:0000151,,204
GO:0000152,,26
GO:0000153,,13
GO:0000154,,26
GO:0000159,,10
GO:0000160,,1
GO:0000164,,7
GO:0000165,,148
GO:0000166,,504
GO:0000170,,1
GO:0000171,,2
GO:0000172,,6
GO:0000173,,1
GO:0000175,,41
GO:0000176,,16
GO:0000177,,13
GO:0000178,,22
GO:0000179,,3
GO:0000182,,8
GO:0000183,,6
GO:0000184,,82
GO:0000185,,10
GO:0000186,,30
GO:0000187,,70
GO:0000188,,8
GO:0000209,,177
GO:0000212,,55
GO:0000213,,3
GO:0000214,,4
GO:0000215,,2
GO:0000217,,20
GO:0000220,,4
GO:0000221,,6
GO:0000224,,4
GO:0000225,,1
GO:0000226,,419
GO:0000228,,319
GO:0000229,,1
GO:0000234,,1
GO:0000235,,12
GO:0000242,,12
GO:0000243,,8
GO:0000244,,14
GO:0000245,,44
GO:0000247,,1
GO:0000253,,3
GO:0000255,,4
GO:0000257,,1
GO:0000262,,1
GO:0000266,,15
GO:0000268,,6
GO:0000270,,1
GO:0000271,,25
GO:0000272,,21
GO:0000274,,1
GO:0000275,,8
GO:0000276,,8
GO:0000278,,600
GO:0000280,,298
GO:0000281,,90
GO:0000285,,3
GO:0000287,,107
GO:0000288,,55
GO:0000289,,24
GO:0000290,,8
GO:0000291,,41
GO:0000293,,1
GO:0000294,,1
GO:0000295,,6
GO:0000296,,1
GO:0000298,,1
GO:0000301,,6
GO:0000302,,147
GO:0000303,,18
GO:0000304,,1
GO:0000305,,20
GO:0000306,,2
GO:0000307,,21
GO:0000308,,2
GO:0000309,,2
GO:0000313,,45
GO:0000314,,17
GO:0000315,,27
GO:0000320,,6
GO:0000321,,1
GO:0000322,,11
GO:0000323,,324
GO:0000324,,9
GO:0000329,,9
GO:0000331,,1
GO:0000334,,2
GO:0000335,,4
GO:0000337,,4
GO:0000338,,10
GO:0000339,,21
GO:0000340,,17
GO:0000346,,9
GO:0000347,,6
GO:0000348,,1
GO:0000349,,2
GO:0000350,,4
GO:0000354,,2
GO:0000375,,293
GO:0000377,,289
GO:0000378,,1
GO:0000379,,4
GO:0000380,,12
GO:0000381,,62
GO:0000386,,3
GO:0000387,,39
GO:0000389,,9
GO:0000390,,3
GO:0000393,,6
GO:0000394,,15
GO:0000395,,7
GO:0000398,,289
GO:0000400,,13
GO:0000403,,6
GO:0000404,,4
GO:0000405,,6
GO:0000406,,3
GO:0000407,,26
GO:0000408,,4
GO:0000413,,23
GO:0000414,,6
GO:0000415,,1
GO:0000416,,3
GO:0000421,,15
GO:0000422,,31
GO:0000423,,7
GO:0000428,,125
GO:0000429,,1
GO:0000436,,1
GO:0000438,,3
GO:0000439,,7
GO:0000444,,1
GO:0000445,,6
GO:0000447,,9
GO:0000448,,2
GO:0000451,,1
GO:0000453,,1
GO:0000454,,3
GO:0000455,,3
GO:0000459,,6
GO:0000460,,35
GO:0000461,,2
GO:0000462,,40
GO:0000463,,9
GO:0000466,,22
GO:0000467,,6
GO:0000469,,26
GO:0000470,,23
GO:0000472,,3
GO:0000478,,17
GO:0000479,,14
GO:0000480,,6
GO:0000481,,1
GO:0000491,,9
GO:0000492,,8
GO:0000493,,1
GO:0000494,,1
GO:0000495,,2
GO:0000502,,50
GO:0000506,,5
GO:0000578,,107
GO:0000700,,2
GO:0000701,,1
GO:0000702,,4
GO:0000703,,2
GO:0000706,,6
GO:0000707,,5
GO:0000710,,3
GO:0000711,,2
GO:0000712,,11
GO:0000715,,16
GO:0000717,,1
GO:0000719,,2
GO:0000720,,3
GO:0000722,,15
GO:0000723,,76
GO:0000724,,89
GO:0000725,,89
GO:0000726,,48
GO:0000727,,6
GO:0000729,,21
GO:0000730,,6
GO:0000731,,40
GO:0000732,,2
GO:0000733,,9
GO:0000737,,21
GO:0000738,,2
GO:0000740,,1
GO:0000741,,6
GO:0000749,,1
GO:0000754,,1
GO:0000768,,42
GO:0000773,,1
GO:0000774,,3
GO:0000775,,120
GO:0000776,,82
GO:0000777,,27
GO:0000778,,8
GO:0000779,,36
GO:0000780,,15
GO:0000781,,52
GO:0000782,,3
GO:0000783,,3
GO:0000784,,35
GO:0000785,,310
GO:0000786,,13
GO:0000788,,4
GO:0000790,,193
GO:0000791,,37
GO:0000792,,55
GO:0000793,,111
GO:0000794,,56
GO:0000795,,15
GO:0000796,,10
GO:0000797,,1
GO:0000798,,5
GO:0000799,,3
GO:0000800,,7
GO:0000803,,35
GO:0000805,,15
GO:0000806,,2
GO:0000808,,10
GO:0000811,,4
GO:0000812,,7
GO:0000813,,4
GO:0000814,,3
GO:0000815,,10
GO:0000818,,1
GO:0000819,,138
GO:0000820,,5
GO:0000821,,2
GO:0000822,,5
GO:0000823,,1
GO:0000824,,1
GO:0000825,,1
GO:0000827,,2
GO:0000828,,2
GO:0000829,,2
GO:0000831,,1
GO:0000832,,1
GO:0000835,,5
GO:0000836,,4
GO:0000839,,3
GO:0000900,,8
GO:0000902,,542
GO:0000904,,446
GO:0000910,,135
GO:0000912,,14
GO:0000915,,14
GO:0000916,,10
GO:0000920,,14
GO:0000921,,1
GO:0000922,,94
GO:0000923,,8
GO:0000930,,13
GO:0000931,,6
GO:0000932,,60
GO:0000938,,8
GO:0000939,,2
GO:0000940,,11
GO:0000942,,4
GO:0000956,,160
GO:0000957,,2
GO:0000958,,2
GO:0000959,,22
GO:0000960,,1
GO:0000962,,1
GO:0000963,,9
GO:0000965,,2
GO:0000966,,15
GO:0000967,,3
GO:0000968,,1
GO:0000971,,1
GO:0000972,,7
GO:0000973,,3
GO:0000974,,19
GO:0000976,,219
GO:0000977,,194
GO:0000978,,140
GO:0000979,,15
GO:0000980,,29
GO:0000981,,262
GO:0000982,,122
GO:0000983,,3
GO:0000987,,148
GO:0000988,,43
GO:0000989,,39
GO:0000990,,3
GO:0000991,,3
GO:0000992,,6
GO:0000993,,22
GO:0000995,,1
GO:0001006,,6
GO:0001011,,2
GO:0001012,,197
GO:0001013,,6
GO:0001016,,8
GO:0001018,,1
GO:0001025,,1
GO:0001030,,1
GO:0001032,,6
GO:0001034,,1
GO:0001042,,2
GO:0001046,,29
GO:0001047,,40
GO:0001054,,1
