go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0009987,109,GO:0009987,70,9117,cellular process,cellular process,0.9845329230769231,1,0
GO:0008152,9,GO:0008152,59,5539,metabolic process,metabolic process,0.9381852307692308,0.5623333333333334,0
GO:0044238,9,GO:0008152,54,4876,primary metabolic process,metabolic process,0.9304473846153847,0.583,0.609
GO:0065007,122,GO:0065007,51,4456,biological regulation,biological regulation,0.9128664615384615,0.5445,0
GO:0050789,122,GO:0065007,50,4338,regulation of biological process,biological regulation,0.9087483076923077,0.5303333333333333,0.701
GO:0043170,9,GO:0008152,48,4155,macromolecule metabolic process,metabolic process,0.925272,0.5251666666666667,0.563
GO:0050794,122,GO:0065007,47,4097,regulation of cellular process,biological regulation,0.8897267692307692,0.519,0.657
GO:0050896,26,GO:0050896,46,3329,response to stimulus,response to stimulus,0.9547310769230769,0.5507272727272727,0
GO:0071840,61,GO:0071840,40,2169,cellular component organization or biogenesis,cellular component organization or biogenesis,0.9207692307692308,0.5196363636363637,0
GO:0016043,61,GO:0071840,39,2012,cellular component organization,cellular component organization or biogenesis,0.9182381538461538,0.504,0.86
GO:0032501,134,GO:0032501,38,2388,multicellular organismal process,multicellular organismal process,0.9512596923076924,0.7635000000000001,0
GO:0019222,63,GO:0019222,35,1718,regulation of metabolic process,regulation of metabolic process,0.8522295384615385,0.3374705882352941,0
GO:0032502,86,GO:0032502,34,1861,developmental process,developmental process,0.9348418461538461,0.4244285714285715,0
GO:0060255,63,GO:0019222,34,1639,regulation of macromolecule metabolic process,regulation of metabolic process,0.8443409230769231,0.3339411764705882,0.907
GO:0080090,63,GO:0019222,34,1373,regulation of primary metabolic process,regulation of metabolic process,0.8476769230769231,0.3231176470588235,0.864
GO:0048856,86,GO:0032502,33,1625,anatomical structure development,developmental process,0.9292504615384616,0.40900000000000003,0.823
GO:0006996,61,GO:0071840,32,1175,organelle organization,cellular component organization or biogenesis,0.9122787692307692,0.42772727272727273,0.757
GO:0019538,57,GO:0019538,31,2050,protein metabolic process,protein metabolic process,0.9175421538461539,0.5344,0
GO:0048519,66,GO:0048519,31,1012,negative regulation of biological process,negative regulation of biological process,0.8919187692307693,0.2857692307692308,0
GO:0051179,117,GO:0051179,30,2286,localization,localization,0.948948923076923,0.5404166666666667,0
GO:0051716,26,GO:0050896,30,2620,cellular response to stimulus,response to stimulus,0.9380892307692308,0.5059090909090909,0.715
GO:0048518,44,GO:0048518,30,1209,positive regulation of biological process,positive regulation of biological process,0.8930283076923077,0.32492307692307687,0
GO:0048523,66,GO:0048519,30,926,negative regulation of cellular process,negative regulation of biological process,0.8770024615384615,0.2686923076923077,0.939
GO:0009058,9,GO:0008152,28,3229,biosynthetic process,metabolic process,0.9287747692307693,0.5055000000000001,0.513
GO:0007275,86,GO:0032502,28,1398,multicellular organism development,developmental process,0.9134504615384615,0.4274285714285714,0.783
GO:0048522,44,GO:0048518,28,1002,positive regulation of cellular process,positive regulation of biological process,0.8770387692307693,0.27830769230769237,0.894
GO:0042221,45,GO:0042221,27,762,response to chemical,response to chemical,0.9499821538461538,0.46405882352941175,0
GO:0022414,2,GO:0022414,27,923,reproductive process,reproductive process,0.9715667692307692,0.3954901960784314,0
GO:0006139,5,GO:0006139,26,2290,nucleobase-containing compound metabolic process,nucleobase-containing compound metabolic process,0.9205686153846154,0.45292857142857146,0
GO:0048731,70,GO:0048731,26,643,system development,system development,0.9135212307692308,0.3862083333333334,0
GO:0090304,5,GO:0006139,25,2007,nucleic acid metabolic process,nucleobase-containing compound metabolic process,0.9137341538461539,0.4243571428571429,0.83
GO:0006950,26,GO:0050896,25,1301,response to stress,response to stimulus,0.951139076923077,0.36763636363636365,0.616
GO:0009889,63,GO:0019222,25,1537,regulation of biosynthetic process,regulation of metabolic process,0.8451593846153846,0.3361764705882353,0.896
GO:0010467,9,GO:0008152,24,2460,gene expression,metabolic process,0.9176818461538462,0.4773333333333334,0.464
GO:0048869,86,GO:0032502,24,985,cellular developmental process,developmental process,0.9189489230769231,0.403,0.7
GO:0030154,86,GO:0032502,24,984,cell differentiation,developmental process,0.9189489230769231,0.403,0.7
GO:0010468,63,GO:0019222,24,1504,regulation of gene expression,regulation of metabolic process,0.8376338461538462,0.3324117647058824,0.893
GO:0010556,63,GO:0019222,24,1515,regulation of macromolecule biosynthetic process,regulation of metabolic process,0.8381144615384615,0.3321176470588235,0.894
GO:0019219,63,GO:0019222,24,1132,regulation of nucleobase-containing compound metabolic process,regulation of metabolic process,0.8399698461538462,0.32399999999999995,0.836
GO:0007154,22,GO:0007154,23,2338,cell communication,cell communication,0.9615938461538461,0.5954999999999999,0
GO:0051234,117,GO:0051179,23,2037,establishment of localization,localization,0.9465009230769231,0.5165,0.819
GO:0006810,117,GO:0051179,23,1922,transport,localization,0.9455969230769231,0.5086666666666666,0.809
GO:0009059,9,GO:0008152,22,2720,macromolecule biosynthetic process,metabolic process,0.9179661538461539,0.46799999999999997,0.477
GO:0044085,28,GO:0044085,22,929,cellular component biogenesis,cellular component biogenesis,0.9195341538461539,0.39077272727272727,0
GO:0051252,63,GO:0019222,22,1083,regulation of RNA metabolic process,regulation of metabolic process,0.8349046153846154,0.32182352941176473,0.831
GO:0043412,35,GO:0043412,21,1109,macromolecule modification,macromolecule modification,0.9253009230769231,0.4400645161290323,0
GO:0009892,66,GO:0048519,21,554,negative regulation of metabolic process,negative regulation of biological process,0.8430264615384615,0.2053846153846154,0.862
GO:0009893,44,GO:0048518,21,580,positive regulation of metabolic process,positive regulation of biological process,0.8448861538461538,0.19046153846153846,0.792
GO:0010604,44,GO:0048518,21,544,positive regulation of macromolecule metabolic process,positive regulation of biological process,0.838376,0.18784615384615388,0.784
GO:0023052,122,GO:0065007,20,2329,signaling,biological regulation,0.9045107692307692,0.47983333333333333,0.507
GO:0048468,86,GO:0032502,20,567,cell development,developmental process,0.9156264615384615,0.4265714285714286,0.615
GO:0036211,35,GO:0043412,20,982,protein modification process,macromolecule modification,0.9170843076923076,0.41787096774193544,0.932
GO:0016070,5,GO:0006139,20,1734,RNA metabolic process,nucleobase-containing compound metabolic process,0.9133827692307692,0.39321428571428574,0.79
GO:0065008,58,GO:0065008,20,489,regulation of biological quality,regulation of biological quality,0.9227550769230769,0.3853103448275862,0
GO:0048609,2,GO:0022414,20,477,multicellular organismal reproductive process,reproductive process,0.9705329230769231,0.3842941176470588,0.835
GO:0009653,19,GO:0009653,20,699,anatomical structure morphogenesis,anatomical structure morphogenesis,0.9281556923076923,0.3732727272727273,0
GO:0048583,136,GO:0048583,20,530,regulation of response to stimulus,regulation of response to stimulus,0.8910172307692308,0.33318181818181825,0
GO:2001141,63,GO:0019222,20,1007,regulation of RNA biosynthetic process,regulation of metabolic process,0.8310744615384615,0.3204117647058824,0.821
GO:0023051,111,GO:0023051,20,451,regulation of signaling,regulation of signaling,0.9116092307692307,0.3144285714285714,0
GO:0010646,104,GO:0010646,20,453,regulation of cell communication,regulation of cell communication,0.8965944615384616,0.29672727272727273,0
GO:0010605,66,GO:0048519,20,532,negative regulation of macromolecule metabolic process,negative regulation of biological process,0.8362529230769231,0.2038461538461539,0.857
GO:0044703,2,GO:0022414,19,11,multi-organism reproductive process,reproductive process,0.981112,0.6030588235294118,0.526
GO:0048513,8,GO:0048513,19,413,animal organ development,animal organ development,0.9362504615384615,0.37923076923076926,0
GO:0051239,77,GO:0051239,19,522,regulation of multicellular organismal process,regulation of multicellular organismal process,0.8844307692307692,0.3684761904761905,0
GO:0006355,63,GO:0019222,19,1006,regulation of DNA-templated transcription,regulation of metabolic process,0.8301286153846154,0.3203529411764706,0.821
GO:0007165,122,GO:0065007,18,2194,signal transduction,biological regulation,0.8575618461538461,0.4666666666666667,0.49
GO:0051641,108,GO:0051641,18,1041,cellular localization,cellular localization,0.9310596923076924,0.4216923076923077,0
GO:0007049,3,GO:0007049,18,596,cell cycle,cell cycle,0.9452203076923077,0.3761774193548387,0
GO:0022607,28,GO:0044085,18,762,cellular component assembly,cellular component biogenesis,0.9176043076923077,0.3738181818181818,0.921
GO:0019953,2,GO:0022414,18,466,sexual reproduction,reproductive process,0.9688393846153847,0.3512745098039216,0.858
GO:0051128,15,GO:0051128,18,474,regulation of cellular component organization,regulation of cellular component organization,0.8496461538461538,0.34838709677419355,0
GO:0003006,2,GO:0022414,17,487,developmental process involved in reproduction,reproductive process,0.9233846153846154,0.3800980392156863,0.84
GO:0007276,2,GO:0022414,17,282,gamete generation,reproductive process,0.9681507692307693,0.34439215686274516,0.781
GO:0050793,56,GO:0050793,17,535,regulation of developmental process,regulation of developmental process,0.8698849230769231,0.3354090909090909,0
GO:0009790,48,GO:0009790,17,510,embryo development,embryo development,0.9209563076923077,0.3094545454545454,0
GO:0009966,111,GO:0023051,17,354,regulation of signal transduction,regulation of signaling,0.8658430769230769,0.3077142857142857,0.952
GO:0065009,4,GO:0065009,17,60,regulation of molecular function,regulation of molecular function,0.9333113846153847,0.19218181818181823,0
GO:0009605,97,GO:0009605,16,661,response to external stimulus,response to external stimulus,0.9573144615384616,0.48649999999999993,0
GO:0000278,3,GO:0007049,16,327,mitotic cell cycle,cell cycle,0.9457187692307693,0.3542903225806452,0.834
GO:0022402,3,GO:0007049,16,475,cell cycle process,cell cycle,0.9423956923076923,0.3363548387096774,0.912
GO:0033554,26,GO:0050896,16,636,cellular response to stress,response to stimulus,0.9372732307692307,0.33390909090909093,0.528
GO:0009888,18,GO:0009888,16,187,tissue development,tissue development,0.9391175384615384,0.25217391304347825,0
GO:0070887,45,GO:0042221,15,255,cellular response to chemical stimulus,response to chemical,0.9390701538461539,0.44552941176470584,0.786
