go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0010467,1,GO:0010467,8.365526730513007,2460,gene expression,gene expression,0.8148593749999999,0.517,0
GO:0009987,2,GO:0009987,6.151958260787771,9117,cellular process,cellular process,0.9767734375,1,0
GO:0044238,1,GO:0010467,6.0925030692775834,4876,primary metabolic process,gene expression,0.850484375,0.5795,0.438
GO:0006412,3,GO:0006412,5.964032365370988,363,translation,translation,0.8434375000000001,0.4766666666666667,0
GO:0008152,1,GO:0010467,5.618774302658258,5539,metabolic process,gene expression,0.86259375,0.5783333333333334,0.464
GO:0006518,4,GO:0006518,5.618774302658258,28,peptide metabolic process,peptide metabolic process,0.9326953125,0.5465,0
GO:0006139,5,GO:0006139,5.139023820110194,2290,nucleobase-containing compound metabolic process,nucleobase-containing compound metabolic process,0.8225078125,0.4947272727272727,0
GO:0043043,4,GO:0006518,5.058141616230287,5,peptide biosynthetic process,peptide metabolic process,0.919046875,0.5465,0.907
GO:0016070,5,GO:0006139,4.949982193517113,1734,RNA metabolic process,nucleobase-containing compound metabolic process,0.803765625,0.43072727272727274,0.79
GO:0043170,1,GO:0010467,4.615186515910988,4155,macromolecule metabolic process,gene expression,0.8356328125,0.5026666666666666,0.647
GO:0002181,3,GO:0006412,4.324190855335326,58,cytoplasmic translation,translation,0.877171875,0.5273333333333333,0.764
GO:0048856,6,GO:0048856,4.268608332781118,1625,anatomical structure development,anatomical structure development,0.866375,0.37981818181818183,0
GO:0003002,7,GO:0003002,4.2367372563924945,107,regionalization,regionalization,0.885765625,0.34725000000000006,0
GO:0009953,7,GO:0003002,4.206109331802188,1,dorsal/ventral pattern formation,regionalization,0.92046875,0.493,0.691
GO:0007275,6,GO:0048856,4.136369433791946,1398,multicellular organism development,anatomical structure development,0.8544375,0.36609090909090913,0.847
GO:0043603,8,GO:0043603,4.128633707021956,177,amide metabolic process,amide metabolic process,0.9140234375,0.474,0
GO:0043604,8,GO:0043603,4.071284634054923,51,amide biosynthetic process,amide metabolic process,0.8971328125,0.49,0.895
GO:0010468,9,GO:0010468,3.89625743882498,1504,regulation of gene expression,regulation of gene expression,0.7457421875,0.29379999999999995,0
GO:0010557,9,GO:0010468,3.8074302940368265,445,positive regulation of macromolecule biosynthetic process,regulation of gene expression,0.7694062500000001,0.25970000000000004,0.711
GO:0006413,3,GO:0006412,3.374156329480618,70,translational initiation,translation,0.8706484375,0.5133333333333333,0.806
GO:0006614,10,GO:0006614,3.135805857097839,12,SRP-dependent cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane,0.919390625,0.27080000000000004,0
GO:0006613,10,GO:0006614,3.053550008504733,12,cotranslational protein targeting to membrane,SRP-dependent cotranslational protein targeting to membrane,0.9294765625,0.39990000000000003,1
GO:0002376,11,GO:0002376,2.977160378458756,369,immune system process,immune system process,0.975296875,0.35575,0
GO:0071705,13,GO:0071705,2.804798698210228,592,nitrogen compound transport,nitrogen compound transport,0.9413671875,0.56033333333333335,0
GO:0022613,12,GO:0022613,2.804798698210228,258,ribonucleoprotein complex biogenesis,ribonucleoprotein complex biogenesis,0.9641796875,0.4115,0
GO:0006955,11,GO:0002376,2.7644519045471,366,immune response,immune system process,0.9733984375,0.35550000000000004,0.986
GO:0009891,9,GO:0010468,2.6967585557311704,456,positive regulation of biosynthetic process,regulation of gene expression,0.7793359375,0.26280000000000003,0.709
GO:0010628,9,GO:0010468,2.52972423688769,153,positive regulation of gene expression,regulation of gene expression,0.7967500000000001,0.35135000000000005,0.607
GO:0045944,9,GO:0010468,2.48398304358605,255,positive regulation of transcription by RNA polymerase II,regulation of gene expression,0.753703125,0.27125,0.652
GO:0044248,14,GO:0044248,2.4622626913781,173,cellular catabolic process,cellular catabolic process,0.9172265625,0.634,0
GO:0000184,5,GO:0006139,2.4622626913781,18,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",nucleobase-containing compound metabolic process,0.8007265625,0.5695454545454546,0.38
GO:0016071,5,GO:0006139,2.4622626913781,320,mRNA metabolic process,nucleobase-containing compound metabolic process,0.8393671875,0.44145454545454543,0.554
