go,cluster,parent,score,size,term,parentTerm,termUniqueness,termUniquenessWithinCluster,termDispensability
GO:0009987,1,GO:0009987,6.4406588813839845,9117,cellular process,cellular process,0.9784594594594594,1,0
GO:0051234,2,GO:0051234,6.289098784465974,2037,establishment of localization,establishment of localization,0.8742972972972973,0.481375,0
GO:0045055,2,GO:0051234,5.682681687761146,48,regulated exocytosis,establishment of localization,0.8961351351351351,0.40525,0.429
GO:0006810,2,GO:0051234,5.4479527434595765,1922,transport,establishment of localization,0.8729864864864865,0.475125,0.85
GO:0016043,3,GO:0016043,5.377465900787065,2012,cellular component organization,cellular component organization,0.9235878378378378,0.4726,0
GO:0071840,3,GO:0016043,5.365314096213209,2169,cellular component organization or biogenesis,cellular component organization,0.9253581081081081,0.48519999999999996,0.86
GO:0006119,4,GO:0006119,5.164372338569791,53,oxidative phosphorylation,oxidative phosphorylation,0.893777027027027,0.17988888888888888,0
GO:0008152,5,GO:0008152,5.141916208391538,5539,metabolic process,metabolic process,0.8927027027027027,0.5696,0
GO:0051179,2,GO:0051234,4.969031326441844,2286,localization,establishment of localization,0.8797364864864865,0.504625,0.819
GO:0006887,2,GO:0051234,4.881830081132224,77,exocytosis,establishment of localization,0.8913243243243243,0.37825,0.458
GO:0006091,4,GO:0006119,4.881830081132224,143,generation of precursor metabolites and energy,oxidative phosphorylation,0.89035135135135135,0.20577777777777773,0.897
GO:0065007,6,GO:0065007,4.876958777398358,4456,biological regulation,biological regulation,0.9613648648648648,0.5505,0
GO:0031124,7,GO:0031124,4.396284799264642,17,mRNA 3'-end processing,mRNA 3'-end processing,0.8763648648648649,0.4032727272727272,0
GO:0051649,8,GO:0051649,4.197489868567264,633,establishment of localization in cell,establishment of localization in cell,0.8468310810810811,0.36424999999999996,0
GO:0046907,8,GO:0051649,4.1563100156322825,465,intracellular transport,establishment of localization in cell,0.8481418918918919,0.33899999999999997,0.922
GO:0044238,5,GO:0008152,4.148754991143145,4876,primary metabolic process,metabolic process,0.8816756756756756,0.565,0.609
GO:0006397,7,GO:0031124,4.00442094889616,233,mRNA processing,mRNA 3'-end processing,0.8433986486486487,0.2857272727272727,0.743
GO:0006996,3,GO:0016043,3.9810170980133455,1175,organelle organization,cellular component organization,0.9227837837837838,0.45619999999999994,0.782
GO:0050789,6,GO:0065007,3.9185885536127443,4338,regulation of biological process,biological regulation,0.9599594594594595,0.53925,0.701
GO:0050896,9,GO:0050896,3.8989180243955674,3329,response to stimulus,response to stimulus,0.9688310810810811,0.6719999999999999,0
GO:0000377,7,GO:0031124,3.6661707109216586,162,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",mRNA 3'-end processing,0.8481689189189189,0.2966363636363636,0.542
GO:0000398,7,GO:0031124,3.6661707109216586,162,"mRNA splicing, via spliceosome",mRNA 3'-end processing,0.8425472972972973,0.22099999999999997,0.714
GO:0022607,3,GO:0016043,3.5624406365088546,762,cellular component assembly,cellular component organization,0.9225810810810811,0.5173,0.678
GO:0016071,7,GO:0031124,3.49090825879931,320,mRNA metabolic process,mRNA 3'-end processing,0.856222972972973,0.41781818181818187,0.705
GO:0065003,10,GO:0065003,3.4782966607019845,382,protein-containing complex assembly,protein-containing complex assembly,0.9164121621621621,0.3243750000000001,0
GO:0042221,11,GO:0042221,3.459260301835108,762,response to chemical,response to chemical,0.9623716216216216,0.5078333333333334,0
GO:0046903,2,GO:0051234,3.4104199490955454,157,secretion,establishment of localization,0.8974662162162163,0.41337500000000005,0.496
GO:0000375,7,GO:0031124,3.3313239865476962,162,"RNA splicing, via transesterification reactions",mRNA 3'-end processing,0.8481148648648649,0.29654545454545456,0.543
GO:0065008,12,GO:0065008,3.307200064002208,489,regulation of biological quality,regulation of biological quality,0.9632297297297298,1,0
GO:0022900,4,GO:0006119,3.0628992970355555,49,electron transport chain,oxidative phosphorylation,0.8955,0.18900000000000006,0.815
GO:0006376,10,GO:0065003,3.062819993612672,14,mRNA splice site recognition,protein-containing complex assembly,0.8195405405405405,0.385375,0.718
GO:0009141,13,GO:0009141,3.062819993612672,73,nucleoside triphosphate metabolic process,nucleoside triphosphate metabolic process,0.8252567567567568,0.2212857142857143,0
GO:0032940,2,GO:0051234,3.0384532488450096,132,secretion by cell,establishment of localization,0.8903716216216216,0.41437500000000005,0.485
GO:0044085,3,GO:0016043,3.0088461137114804,929,cellular component biogenesis,cellular component organization,0.9238581081081081,0.5178,0.679
GO:0046034,13,GO:0009141,2.9386191293676176,60,ATP metabolic process,nucleoside triphosphate metabolic process,0.8189527027027027,0.2222857142857143,0.978
GO:0042776,13,GO:0009141,2.8807126945786274,8,proton motive force-driven mitochondrial ATP synthesis,nucleoside triphosphate metabolic process,0.798027027027027,0.3182857142857143,0.811
GO:0051641,8,GO:0051649,2.8692646588222566,1041,cellular localization,establishment of localization in cell,0.8470608108108109,0.43737499999999996,0.855
GO:0043933,10,GO:0065003,2.797689792242365,438,protein-containing complex organization,protein-containing complex assembly,0.9207702702702703,0.332125,0.965
GO:0061024,3,GO:0016043,2.7885743776443195,240,membrane organization,cellular component organization,0.9339256756756756,0.47729999999999995,0.564
GO:0006369,14,GO:0006369,2.753693057102794,7,termination of RNA polymerase II transcription,termination of RNA polymerase II transcription,0.9030202702702703,0.5195000000000001,0
GO:0002252,15,GO:0002252,2.6462929864128797,5,immune effector process,immune effector process,0.9879864864864865,0.563,0
GO:0044281,16,GO:0044281,2.6384378604767096,736,small molecule metabolic process,small molecule metabolic process,0.8567094594594594,0.4102,0
