category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0000003,0,1,9,9,reproduction,BP,0
GO:0000278,0,1,7,7,mitotic cell cycle,BP,0
GO:0006139,0,1,6,6,nucleobase-containing compound metabolic process,BP,0
GO:0006725,0,1,6,6,cellular aromatic compound metabolic process,BP,0
GO:0006807,0,1,11,11,nitrogen compound metabolic process,BP,0
GO:0006996,0,1,9,9,organelle organization,BP,0
GO:0007049,0,1,7,7,cell cycle,BP,0
GO:0008150,0,1,22,22,biological_process,BP,0
GO:0008152,0,1,11,11,metabolic process,BP,0
GO:0009987,0,1,16,16,cellular process,BP,0
GO:0016043,0,1,10,10,cellular component organization,BP,0
GO:0019222,0,1,7,7,regulation of metabolic process,BP,0
GO:0022402,0,1,6,6,cell cycle process,BP,0
GO:0022414,0,1,9,9,reproductive process,BP,0
GO:0022607,0,1,7,7,cellular component assembly,BP,0
GO:0031323,0,1,7,7,regulation of cellular metabolic process,BP,0
GO:0032501,0,1,9,9,multicellular organismal process,BP,0
GO:0032502,0,1,7,7,developmental process,BP,0
GO:0032504,0,1,6,6,multicellular organism reproduction,BP,0
GO:0033036,0,1,5,5,macromolecule localization,BP,0
GO:0034641,0,1,6,6,cellular nitrogen compound metabolic process,BP,0
GO:0043170,0,1,10,10,macromolecule metabolic process,BP,0
GO:0044085,0,1,9,9,cellular component biogenesis,BP,0
GO:0044237,0,1,10,10,cellular metabolic process,BP,0
GO:0044238,0,1,11,11,primary metabolic process,BP,0
GO:0044260,0,1,8,8,cellular macromolecule metabolic process,BP,0
GO:0046483,0,1,6,6,heterocycle metabolic process,BP,0
GO:0048519,0,1,6,6,negative regulation of biological process,BP,0
GO:0048523,0,1,6,6,negative regulation of cellular process,BP,0
GO:0048609,0,1,6,6,multicellular organismal reproductive process,BP,0
GO:0048856,0,1,6,6,anatomical structure development,BP,0
GO:0050789,0,1,13,13,regulation of biological process,BP,0
GO:0050794,0,1,12,12,regulation of cellular process,BP,0
GO:0050896,0,1,10,10,response to stimulus,BP,0
GO:0051171,0,1,7,7,regulation of nitrogen compound metabolic process,BP,0
GO:0051179,0,1,7,7,localization,BP,0
GO:0051641,0,1,6,6,cellular localization,BP,0
GO:0051716,0,1,5,5,cellular response to stimulus,BP,0
GO:0060255,0,1,7,7,regulation of macromolecule metabolic process,BP,0
GO:0065007,0,1,13,13,biological regulation,BP,0
GO:0070727,0,1,5,5,cellular macromolecule localization,BP,0
GO:0071704,0,1,11,11,organic substance metabolic process,BP,0
GO:0071840,0,1,11,11,cellular component organization or biogenesis,BP,0
GO:0080090,0,1,7,7,regulation of primary metabolic process,BP,0
GO:0090304,0,1,6,6,nucleic acid metabolic process,BP,0
GO:1901360,0,1,6,6,organic cyclic compound metabolic process,BP,0
GO:1903047,0,1,6,6,mitotic cell cycle process,BP,0
GO:0051726,8.665689773310091e-14,1,5,5,regulation of cell cycle,BP,1.0647608608667637e-12
GO:0006810,8.69381554395307e-14,1,5,5,transport,BP,1.0647608608667637e-12
GO:0046907,8.69381554395307e-14,1,5,5,intracellular transport,BP,1.0647608608667637e-12
GO:0051234,8.69381554395307e-14,1,5,5,establishment of localization,BP,1.0647608608667637e-12
GO:0051649,8.69381554395307e-14,1,5,5,establishment of localization in cell,BP,1.0647608608667637e-12
GO:0003006,8.773716147528775e-14,1,5,5,developmental process involved in reproduction,BP,1.0647608608667637e-12
GO:0070925,9.241551748982524e-14,1,5,5,organelle assembly,BP,1.1078591913719295e-12
GO:1901564,2.0878362803635038e-13,1,5,5,organonitrogen compound metabolic process,BP,2.463934293439022e-12
GO:0007275,2.1305637328821655e-13,1,5,5,multicellular organism development,BP,2.463934293439022e-12
GO:0048731,2.1305637328821655e-13,1,5,5,system development,BP,2.463934293439022e-12
GO:0007276,2.2700233466707958e-13,1,5,5,gamete generation,BP,2.5072280334577437e-12
GO:0019953,2.2700233466707958e-13,1,5,5,sexual reproduction,BP,2.5072280334577437e-12
GO:0044703,2.2700233466707958e-13,1,5,5,multi-organism reproductive process,BP,2.5072280334577437e-12
GO:0019219,3.257873517544393e-13,1,5,5,regulation of nucleobase-containing compound metabolic process,BP,3.5583218530512645e-12
GO:0009889,3.461718559162546e-13,1,5,5,regulation of biosynthetic process,BP,3.6589992942546055e-12
GO:0010468,3.461718559162546e-13,1,5,5,regulation of gene expression,BP,3.6589992942546055e-12
GO:0031326,3.461718559162546e-13,1,5,5,regulation of cellular biosynthetic process,BP,3.6589992942546055e-12
GO:0009058,6.032113990942551e-11,1,4,4,biosynthetic process,BP,6.176633388642217e-10
GO:0044249,6.032113990942551e-11,1,4,4,cellular biosynthetic process,BP,6.176633388642217e-10
GO:1901576,6.032113990942551e-11,1,4,4,organic substance biosynthetic process,BP,6.176633388642217e-10
GO:0051276,6.232019189312742e-11,1,4,4,chromosome organization,BP,6.288333514021668e-10
GO:0008104,6.333113101608801e-11,1,4,4,protein localization,BP,6.288333514021668e-10
GO:0000280,1.044845616354474e-10,1,4,4,nuclear division,BP,1.0069443538004391e-9
GO:0048285,1.044845616354474e-10,1,4,4,organelle fission,BP,1.0069443538004391e-9
GO:0030154,1.5817920003611093e-10,1,4,4,cell differentiation,BP,1.4629393380115915e-9
GO:0048869,1.5817920003611093e-10,1,4,4,cellular developmental process,BP,1.4629393380115915e-9
GO:0048518,1.585605412092293e-10,1,4,4,positive regulation of biological process,BP,1.4629393380115915e-9
GO:0022412,1.5997875285426308e-10,1,4,4,cellular process involved in reproduction in multicellular organism,BP,1.4629393380115915e-9
GO:0009790,1.6272101341959506e-10,1,4,4,embryo development,BP,1.4629393380115915e-9
GO:0048513,1.6272101341959506e-10,1,4,4,animal organ development,BP,1.4629393380115915e-9
GO:0010556,1.6519457428208205e-10,1,4,4,regulation of macromolecule biosynthetic process,BP,1.4629393380115915e-9
GO:2000112,1.6519457428208205e-10,1,4,4,regulation of cellular macromolecule biosynthetic process,BP,1.4629393380115915e-9
GO:0019538,1.669656531053036e-10,1,4,4,protein metabolic process,BP,1.4654217589510126e-9
GO:0065009,1.7838941104298552e-10,1,4,4,regulation of molecular function,BP,1.5192862637353085e-9
GO:0051252,1.7928505248555016e-10,1,4,4,regulation of RNA metabolic process,BP,1.5192862637353085e-9
GO:0010646,1.9093027103132832e-10,1,4,4,regulation of cell communication,BP,1.590546240879625e-9
GO:0023051,1.9093027103132832e-10,1,4,4,regulation of signaling,BP,1.590546240879625e-9
GO:0048583,2.0671161638732823e-10,1,4,4,regulation of response to stimulus,BP,1.7075421757037284e-9
GO:0009628,2.581387366304019e-10,1,4,4,response to abiotic stimulus,BP,2.0799211320302055e-9
GO:0009892,2.799224529082427e-10,1,4,4,negative regulation of metabolic process,BP,2.183839454038116e-9
GO:0010605,2.799224529082427e-10,1,4,4,negative regulation of macromolecule metabolic process,BP,2.183839454038116e-9
GO:0031324,2.799224529082427e-10,1,4,4,negative regulation of cellular metabolic process,BP,2.183839454038116e-9
GO:0051172,2.799224529082427e-10,1,4,4,negative regulation of nitrogen compound metabolic process,BP,2.183839454038116e-9
GO:0007059,1.3954620424973962e-8,1,3,3,chromosome segregation,BP,1.0198661568684753e-7
GO:0009719,1.4044363358109562e-8,1,3,3,response to endogenous stimulus,BP,1.0198661568684753e-7
GO:0043933,1.4055107265952975e-8,1,3,3,protein-containing complex organization,BP,1.0198661568684753e-7
GO:0065003,1.4055107265952975e-8,1,3,3,protein-containing complex assembly,BP,1.0198661568684753e-7
GO:0009059,1.7289145173614103e-8,1,3,3,macromolecule biosynthetic process,BP,1.2053354401179194e-7
GO:0034645,1.7289145173614103e-8,1,3,3,cellular macromolecule biosynthetic process,BP,1.2053354401179194e-7
GO:0007346,2.411516535305085e-8,1,3,3,regulation of mitotic cell cycle,BP,1.6505552632531875e-7
GO:0044770,2.4259757712112453e-8,1,3,3,cell cycle phase transition,BP,1.6505552632531875e-7
GO:0044772,2.4259757712112453e-8,1,3,3,mitotic cell cycle phase transition,BP,1.6505552632531875e-7
GO:0033365,2.434694945795648e-8,1,3,3,protein localization to organelle,BP,1.6505552632531875e-7
GO:0006259,2.485624750172581e-8,1,3,3,DNA metabolic process,BP,1.6621558703535015e-7
GO:0010033,2.7771371830856812e-8,1,3,3,response to organic substance,BP,1.7434943974624823e-7
GO:0042221,2.7771371830856812e-8,1,3,3,response to chemical,BP,1.7434943974624823e-7
GO:0006886,2.8198875561121247e-8,1,3,3,intracellular protein transport,BP,1.7434943974624823e-7
GO:0015031,2.8198875561121247e-8,1,3,3,protein transport,BP,1.7434943974624823e-7
