go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0032502,1,GO:0032502,0.869,307.6526555685888,13,developmental process,developmental process
GO:0032501,2,GO:0032501,0.843,307.6526555685888,2,multicellular organismal process,multicellular organismal process
GO:0046483,3,GO:0046483,0.863,307.6526555685888,0,heterocycle metabolic process,heterocycle metabolic process
GO:0051252,4,GO:0051252,0.95,307.6526555685888,2,regulation of RNA metabolic process,regulation of RNA metabolic process
GO:0044249,5,GO:0044249,0.889,307.6526555685888,5,cellular biosynthetic process,cellular biosynthetic process
GO:0048523,6,GO:0048523,0.974,307.6526555685888,0,negative regulation of cellular process,negative regulation of cellular process
GO:0010468,4,GO:0051252,0.806,307.6526555685888,103,regulation of gene expression,regulation of RNA metabolic process
GO:0019538,7,GO:0019538,0.878,307.6526555685888,7,protein metabolic process,protein metabolic process
GO:0043412,8,GO:0043412,0.927,307.6526555685888,3,macromolecule modification,macromolecule modification
GO:0006725,9,GO:0006725,0.862,307.6526555685888,0,cellular aromatic compound metabolic process,cellular aromatic compound metabolic process
GO:1901360,3,GO:0046483,0.316,307.6526555685888,0,organic cyclic compound metabolic process,heterocycle metabolic process
GO:0006139,3,GO:0046483,0.858,307.6526555685888,24,nucleobase-containing compound metabolic process,heterocycle metabolic process
GO:0071704,9,GO:0006725,0.404,307.6526555685888,30,organic substance metabolic process,cellular aromatic compound metabolic process
GO:0016070,3,GO:0046483,0.788,307.6526555685888,19,RNA metabolic process,heterocycle metabolic process
GO:0031325,4,GO:0051252,0.723,307.6526555685888,0,positive regulation of cellular metabolic process,regulation of RNA metabolic process
GO:0070887,10,GO:0070887,0.982,307.6526555685888,0,cellular response to chemical stimulus,cellular response to chemical stimulus
GO:2000112,11,GO:2000112,0.995,307.6526555685888,0,regulation of cellular macromolecule biosynthetic process,regulation of cellular macromolecule biosynthetic process
GO:0007165,12,GO:0007165,0.916,307.6526555685888,543,signal transduction,signal transduction
GO:0043170,9,GO:0006725,0.371,307.6526555685888,2,macromolecule metabolic process,cellular aromatic compound metabolic process
GO:0007154,13,GO:0007154,0.903,307.6526555685888,19,cell communication,cell communication
GO:0006950,14,GO:0006950,0.942,307.6526555685888,11,response to stress,response to stress
GO:1903506,5,GO:0044249,0.742,307.6526555685888,0,regulation of nucleic acid-templated transcription,cellular biosynthetic process
GO:0065008,15,GO:0065008,0.971,307.6526555685888,5,regulation of biological quality,regulation of biological quality
GO:0010604,4,GO:0051252,0.658,307.6526555685888,0,positive regulation of macromolecule metabolic process,regulation of RNA metabolic process
GO:0031326,4,GO:0051252,0.859,307.6526555685888,0,regulation of cellular biosynthetic process,regulation of RNA metabolic process
GO:0051716,14,GO:0006950,0.568,307.6526555685888,1,cellular response to stimulus,response to stress
GO:0048856,1,GO:0032502,0.83,307.6526555685888,191,anatomical structure development,developmental process
GO:0051241,16,GO:0051241,0.996,307.6526555685888,0,negative regulation of multicellular organismal process,negative regulation of multicellular organismal process
GO:0009059,5,GO:0044249,0.816,307.6526555685888,0,macromolecule biosynthetic process,cellular biosynthetic process
GO:0031323,4,GO:0051252,0.892,307.6526555685888,0,regulation of cellular metabolic process,regulation of RNA metabolic process
GO:0044260,11,GO:2000112,0.615,307.6526555685888,3,cellular macromolecule metabolic process,regulation of cellular macromolecule biosynthetic process
GO:0034645,11,GO:2000112,0.774,307.6526555685888,1,cellular macromolecule biosynthetic process,regulation of cellular macromolecule biosynthetic process
GO:0010605,6,GO:0048523,0.806,307.6526555685888,0,negative regulation of macromolecule metabolic process,negative regulation of cellular process
GO:0010033,10,GO:0070887,0.696,307.6526555685888,3,response to organic substance,cellular response to chemical stimulus
GO:0009892,6,GO:0048523,0.81,307.6526555685888,0,negative regulation of metabolic process,negative regulation of cellular process
GO:0009891,4,GO:0051252,0.585,307.6526555685888,0,positive regulation of biosynthetic process,regulation of RNA metabolic process
GO:0042221,10,GO:0070887,0.808,307.6526555685888,1,response to chemical,cellular response to chemical stimulus
GO:0009889,4,GO:0051252,0.748,307.6526555685888,0,regulation of biosynthetic process,regulation of RNA metabolic process
GO:0006355,5,GO:0044249,0.742,307.6526555685888,564,regulation of DNA-templated transcription,cellular biosynthetic process
GO:0034641,9,GO:0006725,0.469,307.6526555685888,0,cellular nitrogen compound metabolic process,cellular aromatic compound metabolic process
GO:0031328,4,GO:0051252,0.673,307.6526555685888,0,positive regulation of cellular biosynthetic process,regulation of RNA metabolic process
GO:1901576,5,GO:0044249,0.875,307.6526555685888,1,organic substance biosynthetic process,cellular biosynthetic process
GO:0050896,14,GO:0006950,0.626,307.6526555685888,29,response to stimulus,response to stress
GO:0048522,4,GO:0051252,0.412,307.6526555685888,0,positive regulation of cellular process,regulation of RNA metabolic process
GO:0044238,9,GO:0006725,0.393,307.6526555685888,13,primary metabolic process,cellular aromatic compound metabolic process
GO:0036211,8,GO:0043412,0.91,307.6526555685888,19,protein modification process,macromolecule modification
GO:0031324,6,GO:0048523,0.866,307.6526555685888,0,negative regulation of cellular metabolic process,negative regulation of cellular process
GO:0051239,16,GO:0051241,0.796,307.6526555685888,4,regulation of multicellular organismal process,negative regulation of multicellular organismal process
GO:0065007,4,GO:0051252,0.424,307.6526555685888,0,biological regulation,regulation of RNA metabolic process
GO:0019219,4,GO:0051252,0.942,307.6526555685888,0,regulation of nucleobase-containing compound metabolic process,regulation of RNA metabolic process
GO:0008152,9,GO:0006725,0.419,307.6526555685888,82,metabolic process,cellular aromatic compound metabolic process
GO:0016043,17,GO:0016043,0.896,307.6526555685888,5,cellular component organization,cellular component organization
GO:1901564,7,GO:0019538,0.788,307.6526555685888,0,organonitrogen compound metabolic process,protein metabolic process
GO:0071840,17,GO:0016043,0.871,307.6526555685888,0,cellular component organization or biogenesis,cellular component organization
GO:1901362,5,GO:0044249,0.779,307.6526555685888,0,organic cyclic compound biosynthetic process,cellular biosynthetic process
GO:0048519,6,GO:0048523,0.884,307.6526555685888,0,negative regulation of biological process,negative regulation of cellular process
GO:0060255,4,GO:0051252,0.832,307.6526555685888,4,regulation of macromolecule metabolic process,regulation of RNA metabolic process
GO:0009887,18,GO:0009887,0.994,307.6526555685888,20,animal organ morphogenesis,animal organ morphogenesis
GO:0048513,18,GO:0009887,0.871,307.6526555685888,1,animal organ development,animal organ morphogenesis
GO:0044271,5,GO:0044249,0.84,307.6526555685888,0,cellular nitrogen compound biosynthetic process,cellular biosynthetic process
GO:0080090,4,GO:0051252,0.879,307.6526555685888,3,regulation of primary metabolic process,regulation of RNA metabolic process
GO:0051173,4,GO:0051252,0.708,307.6526555685888,0,positive regulation of nitrogen compound metabolic process,regulation of RNA metabolic process
GO:0050794,4,GO:0051252,0.557,307.6526555685888,0,regulation of cellular process,regulation of RNA metabolic process
GO:0019222,4,GO:0051252,0.819,307.6526555685888,1,regulation of metabolic process,regulation of RNA metabolic process
GO:2001141,5,GO:0044249,0.742,307.6526555685888,0,regulation of RNA biosynthetic process,cellular biosynthetic process
