category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0006139,0,1,5,5,nucleobase-containing compound metabolic process,BP,0
GO:0006355,0,1,5,5,regulation of DNA-templated transcription,BP,0
GO:0006357,0,1,5,5,regulation of transcription by RNA polymerase II,BP,0
GO:0006725,0,1,5,5,cellular aromatic compound metabolic process,BP,0
GO:0006807,0,1,6,6,nitrogen compound metabolic process,BP,0
GO:0006950,0,1,5,5,response to stress,BP,0
GO:0007275,0,1,6,6,multicellular organism development,BP,0
GO:0007399,0,1,5,5,nervous system development,BP,0
GO:0008150,0,1,14,14,biological_process,BP,0
GO:0008152,0,1,8,8,metabolic process,BP,0
GO:0009889,0,1,5,5,regulation of biosynthetic process,BP,0
GO:0009893,0,1,5,5,positive regulation of metabolic process,BP,0
GO:0009987,0,1,12,12,cellular process,BP,0
GO:0010468,0,1,5,5,regulation of gene expression,BP,0
GO:0010556,0,1,5,5,regulation of macromolecule biosynthetic process,BP,0
GO:0010604,0,1,5,5,positive regulation of macromolecule metabolic process,BP,0
GO:0019219,0,1,5,5,regulation of nucleobase-containing compound metabolic process,BP,0
GO:0019222,0,1,7,7,regulation of metabolic process,BP,0
GO:0022008,0,1,5,5,neurogenesis,BP,0
GO:0030154,0,1,5,5,cell differentiation,BP,0
GO:0031323,0,1,7,7,regulation of cellular metabolic process,BP,0
GO:0031325,0,1,5,5,positive regulation of cellular metabolic process,BP,0
GO:0031326,0,1,5,5,regulation of cellular biosynthetic process,BP,0
GO:0032501,0,1,7,7,multicellular organismal process,BP,0
GO:0032502,0,1,6,6,developmental process,BP,0
GO:0033554,0,1,5,5,cellular response to stress,BP,0
GO:0034641,0,1,5,5,cellular nitrogen compound metabolic process,BP,0
GO:0042221,0,1,5,5,response to chemical,BP,0
GO:0043170,0,1,6,6,macromolecule metabolic process,BP,0
GO:0044237,0,1,8,8,cellular metabolic process,BP,0
GO:0044238,0,1,7,7,primary metabolic process,BP,0
GO:0044260,0,1,6,6,cellular macromolecule metabolic process,BP,0
GO:0046483,0,1,5,5,heterocycle metabolic process,BP,0
GO:0048518,0,1,5,5,positive regulation of biological process,BP,0
GO:0048519,0,1,6,6,negative regulation of biological process,BP,0
GO:0048522,0,1,5,5,positive regulation of cellular process,BP,0
GO:0048523,0,1,6,6,negative regulation of cellular process,BP,0
GO:0048731,0,1,6,6,system development,BP,0
GO:0048856,0,1,6,6,anatomical structure development,BP,0
GO:0048869,0,1,5,5,cellular developmental process,BP,0
GO:0050789,0,1,8,8,regulation of biological process,BP,0
GO:0050794,0,1,7,7,regulation of cellular process,BP,0
GO:0050896,0,1,8,8,response to stimulus,BP,0
GO:0051171,0,1,6,6,regulation of nitrogen compound metabolic process,BP,0
GO:0051173,0,1,5,5,positive regulation of nitrogen compound metabolic process,BP,0
GO:0051179,0,1,5,5,localization,BP,0
GO:0051252,0,1,5,5,regulation of RNA metabolic process,BP,0
GO:0051716,0,1,5,5,cellular response to stimulus,BP,0
GO:0060255,0,1,6,6,regulation of macromolecule metabolic process,BP,0
GO:0065007,0,1,8,8,biological regulation,BP,0
GO:0071704,0,1,7,7,organic substance metabolic process,BP,0
GO:0080090,0,1,6,6,regulation of primary metabolic process,BP,0
GO:0090304,0,1,5,5,nucleic acid metabolic process,BP,0
GO:1901360,0,1,5,5,organic cyclic compound metabolic process,BP,0
GO:1903506,0,1,5,5,regulation of nucleic acid-templated transcription,BP,0
GO:2000112,0,1,5,5,regulation of cellular macromolecule biosynthetic process,BP,0
GO:2001141,0,1,5,5,regulation of RNA biosynthetic process,BP,0
GO:0006974,1.1075813103318625e-11,1,4,4,cellular response to DNA damage stimulus,BP,8.75730285577772e-11
GO:0009058,1.1094842996607386e-11,1,4,4,biosynthetic process,BP,8.75730285577772e-11
GO:0009059,1.1094842996607386e-11,1,4,4,macromolecule biosynthetic process,BP,8.75730285577772e-11
GO:0016070,1.1094842996607386e-11,1,4,4,RNA metabolic process,BP,8.75730285577772e-11
GO:0034645,1.1094842996607386e-11,1,4,4,cellular macromolecule biosynthetic process,BP,8.75730285577772e-11
GO:0044249,1.1094842996607386e-11,1,4,4,cellular biosynthetic process,BP,8.75730285577772e-11
GO:1901576,1.1094842996607386e-11,1,4,4,organic substance biosynthetic process,BP,8.75730285577772e-11
GO:0007417,1.109945234513111e-11,1,4,4,central nervous system development,BP,8.75730285577772e-11
GO:0009888,1.109945234513111e-11,1,4,4,tissue development,BP,8.75730285577772e-11
GO:0009891,1.109945234513111e-11,1,4,4,positive regulation of biosynthetic process,BP,8.75730285577772e-11
GO:0010557,1.109945234513111e-11,1,4,4,positive regulation of macromolecule biosynthetic process,BP,8.75730285577772e-11
GO:0010628,1.109945234513111e-11,1,4,4,positive regulation of gene expression,BP,8.75730285577772e-11
GO:0030182,1.109945234513111e-11,1,4,4,neuron differentiation,BP,8.75730285577772e-11
GO:0031328,1.109945234513111e-11,1,4,4,positive regulation of cellular biosynthetic process,BP,8.75730285577772e-11
GO:0045893,1.109945234513111e-11,1,4,4,positive regulation of DNA-templated transcription,BP,8.75730285577772e-11
GO:0045935,1.109945234513111e-11,1,4,4,positive regulation of nucleobase-containing compound metabolic process,BP,8.75730285577772e-11
GO:0045944,1.109945234513111e-11,1,4,4,positive regulation of transcription by RNA polymerase II,BP,8.75730285577772e-11
GO:0048513,1.109945234513111e-11,1,4,4,animal organ development,BP,8.75730285577772e-11
GO:0048699,1.109945234513111e-11,1,4,4,generation of neurons,BP,8.75730285577772e-11
GO:0051254,1.109945234513111e-11,1,4,4,positive regulation of RNA metabolic process,BP,8.75730285577772e-11
GO:1902680,1.109945234513111e-11,1,4,4,positive regulation of RNA biosynthetic process,BP,8.75730285577772e-11
GO:1903508,1.109945234513111e-11,1,4,4,positive regulation of nucleic acid-templated transcription,BP,8.75730285577772e-11
GO:0010033,1.1603896719973395e-11,1,4,4,response to organic substance,BP,8.75730285577772e-11
GO:0009966,1.1605666109405266e-11,1,4,4,regulation of signal transduction,BP,8.75730285577772e-11
GO:0010646,1.1605666109405266e-11,1,4,4,regulation of cell communication,BP,8.75730285577772e-11
GO:0023051,1.1605666109405266e-11,1,4,4,regulation of signaling,BP,8.75730285577772e-11
GO:0048583,1.1605666109405266e-11,1,4,4,regulation of response to stimulus,BP,8.75730285577772e-11
GO:0001775,1.1610619589204102e-11,1,4,4,cell activation,BP,8.75730285577772e-11
GO:0002376,1.1610619589204102e-11,1,4,4,immune system process,BP,8.75730285577772e-11
GO:0045321,1.1610619589204102e-11,1,4,4,leukocyte activation,BP,8.75730285577772e-11
GO:0009892,1.1612389747136022e-11,1,4,4,negative regulation of metabolic process,BP,8.75730285577772e-11
GO:0031324,1.1612389747136022e-11,1,4,4,negative regulation of cellular metabolic process,BP,8.75730285577772e-11
GO:0016043,1.1769656279386062e-11,1,4,4,cellular component organization,BP,8.75730285577772e-11
GO:0071840,1.1769656279386062e-11,1,4,4,cellular component organization or biogenesis,BP,8.75730285577772e-11
GO:0006810,1.1962530491208355e-11,1,4,4,transport,BP,8.75730285577772e-11
GO:0051234,1.1962530491208355e-11,1,4,4,establishment of localization,BP,8.75730285577772e-11
GO:0006351,6.7250679204927396e-9,1,3,3,DNA-templated transcription,BP,3.5466498240533536e-8
GO:0006366,6.7250679204927396e-9,1,3,3,transcription by RNA polymerase II,BP,3.5466498240533536e-8
GO:0008284,6.7250679204927396e-9,1,3,3,positive regulation of cell population proliferation,BP,3.5466498240533536e-8
GO:0010467,6.7250679204927396e-9,1,3,3,gene expression,BP,3.5466498240533536e-8
GO:0018130,6.7250679204927396e-9,1,3,3,heterocycle biosynthetic process,BP,3.5466498240533536e-8
GO:0019438,6.7250679204927396e-9,1,3,3,aromatic compound biosynthetic process,BP,3.5466498240533536e-8
GO:0032774,6.7250679204927396e-9,1,3,3,RNA biosynthetic process,BP,3.5466498240533536e-8
GO:0034654,6.7250679204927396e-9,1,3,3,nucleobase-containing compound biosynthetic process,BP,3.5466498240533536e-8
GO:0035270,6.7250679204927396e-9,1,3,3,endocrine system development,BP,3.5466498240533536e-8
GO:0042127,6.7250679204927396e-9,1,3,3,regulation of cell population proliferation,BP,3.5466498240533536e-8
GO:0044271,6.7250679204927396e-9,1,3,3,cellular nitrogen compound biosynthetic process,BP,3.5466498240533536e-8
GO:0097659,6.7250679204927396e-9,1,3,3,nucleic acid-templated transcription,BP,3.5466498240533536e-8
GO:1901362,6.7250679204927396e-9,1,3,3,organic cyclic compound biosynthetic process,BP,3.5466498240533536e-8
GO:0031396,7.033931361347947e-9,1,3,3,regulation of protein ubiquitination,BP,3.5466498240533536e-8
GO:0031399,7.033931361347947e-9,1,3,3,regulation of protein modification process,BP,3.5466498240533536e-8
GO:0031401,7.033931361347947e-9,1,3,3,positive regulation of protein modification process,BP,3.5466498240533536e-8
GO:0032268,7.033931361347947e-9,1,3,3,regulation of cellular protein metabolic process,BP,3.5466498240533536e-8
GO:0051246,7.033931361347947e-9,1,3,3,regulation of protein metabolic process,BP,3.5466498240533536e-8
GO:0051247,7.033931361347947e-9,1,3,3,positive regulation of protein metabolic process,BP,3.5466498240533536e-8
GO:1903320,7.033931361347947e-9,1,3,3,regulation of protein modification by small protein conjugation or removal,BP,3.5466498240533536e-8
GO:0007154,7.0369483407203765e-9,1,3,3,cell communication,BP,3.5466498240533536e-8
GO:0070887,7.0369483407203765e-9,1,3,3,cellular response to chemical stimulus,BP,3.5466498240533536e-8
GO:0071310,7.0369483407203765e-9,1,3,3,cellular response to organic substance,BP,3.5466498240533536e-8
GO:1901700,7.0369483407203765e-9,1,3,3,response to oxygen-containing compound,BP,3.5466498240533536e-8
GO:1901701,7.0369483407203765e-9,1,3,3,cellular response to oxygen-containing compound,BP,3.5466498240533536e-8
GO:0000278,7.038026452692806e-9,1,3,3,mitotic cell cycle,BP,3.5466498240533536e-8
GO:0007049,7.038026452692806e-9,1,3,3,cell cycle,BP,3.5466498240533536e-8
GO:0007346,7.038026452692806e-9,1,3,3,regulation of mitotic cell cycle,BP,3.5466498240533536e-8
GO:0009653,7.038026452692806e-9,1,3,3,anatomical structure morphogenesis,BP,3.5466498240533536e-8
GO:0009790,7.038026452692806e-9,1,3,3,embryo development,BP,3.5466498240533536e-8
GO:0010564,7.038026452692806e-9,1,3,3,regulation of cell cycle process,BP,3.5466498240533536e-8
GO:0010605,7.038026452692806e-9,1,3,3,negative regulation of macromolecule metabolic process,BP,3.5466498240533536e-8
GO:0022402,7.038026452692806e-9,1,3,3,cell cycle process,BP,3.5466498240533536e-8
GO:0030111,7.038026452692806e-9,1,3,3,regulation of Wnt signaling pathway,BP,3.5466498240533536e-8
GO:0032879,7.038026452692806e-9,1,3,3,regulation of localization,BP,3.5466498240533536e-8
GO:0048468,7.038026452692806e-9,1,3,3,cell development,BP,3.5466498240533536e-8
GO:0051172,7.038026452692806e-9,1,3,3,negative regulation of nitrogen compound metabolic process,BP,3.5466498240533536e-8
GO:0051726,7.038026452692806e-9,1,3,3,regulation of cell cycle,BP,3.5466498240533536e-8
GO:0060429,7.038026452692806e-9,1,3,3,epithelium development,BP,3.5466498240533536e-8
GO:0060828,7.038026452692806e-9,1,3,3,regulation of canonical Wnt signaling pathway,BP,3.5466498240533536e-8
GO:0065008,7.038026452692806e-9,1,3,3,regulation of biological quality,BP,3.5466498240533536e-8
GO:1901987,7.038026452692806e-9,1,3,3,regulation of cell cycle phase transition,BP,3.5466498240533536e-8
GO:1901990,7.038026452692806e-9,1,3,3,regulation of mitotic cell cycle phase transition,BP,3.5466498240533536e-8
GO:1903047,7.038026452692806e-9,1,3,3,mitotic cell cycle process,BP,3.5466498240533536e-8
GO:0006996,7.1337568410845405e-9,1,3,3,organelle organization,BP,3.5466498240533536e-8
GO:0016192,7.251020772197259e-9,1,3,3,vesicle-mediated transport,BP,3.5466498240533536e-8
GO:0006811,7.47052413408527e-9,1,3,3,ion transport,BP,3.5466498240533536e-8
GO:0009605,7.47052413408527e-9,1,3,3,response to external stimulus,BP,3.5466498240533536e-8
GO:0000075,3.8906220150649196e-6,1,2,2,cell cycle checkpoint signaling,BP,8.069543441202861e-6
GO:0000077,3.8906220150649196e-6,1,2,2,DNA damage checkpoint signaling,BP,8.069543441202861e-6
GO:0001501,3.8906220150649196e-6,1,2,2,skeletal system development,BP,8.069543441202861e-6
GO:0001568,3.8906220150649196e-6,1,2,2,blood vessel development,BP,8.069543441202861e-6
GO:0001655,3.8906220150649196e-6,1,2,2,urogenital system development,BP,8.069543441202861e-6
GO:0001666,3.8906220150649196e-6,1,2,2,response to hypoxia,BP,8.069543441202861e-6
GO:0001678,3.8906220150649196e-6,1,2,2,cellular glucose homeostasis,BP,8.069543441202861e-6
GO:0001822,3.8906220150649196e-6,1,2,2,kidney development,BP,8.069543441202861e-6
GO:0001838,3.8906220150649196e-6,1,2,2,embryonic epithelial tube formation,BP,8.069543441202861e-6
GO:0001841,3.8906220150649196e-6,1,2,2,neural tube formation,BP,8.069543441202861e-6
GO:0001944,3.8906220150649196e-6,1,2,2,vasculature development,BP,8.069543441202861e-6
GO:0002009,3.8906220150649196e-6,1,2,2,morphogenesis of an epithelium,BP,8.069543441202861e-6
GO:0002065,3.8906220150649196e-6,1,2,2,columnar/cuboidal epithelial cell differentiation,BP,8.069543441202861e-6
GO:0002244,3.8906220150649196e-6,1,2,2,hematopoietic progenitor cell differentiation,BP,8.069543441202861e-6
GO:0002320,3.8906220150649196e-6,1,2,2,lymphoid progenitor cell differentiation,BP,8.069543441202861e-6
GO:0002328,3.8906220150649196e-6,1,2,2,pro-B cell differentiation,BP,8.069543441202861e-6
GO:0002520,3.8906220150649196e-6,1,2,2,immune system development,BP,8.069543441202861e-6
GO:0002521,3.8906220150649196e-6,1,2,2,leukocyte differentiation,BP,8.069543441202861e-6
GO:0002791,3.8906220150649196e-6,1,2,2,regulation of peptide secretion,BP,8.069543441202861e-6
GO:0002793,3.8906220150649196e-6,1,2,2,positive regulation of peptide secretion,BP,8.069543441202861e-6
GO:0003007,3.8906220150649196e-6,1,2,2,heart morphogenesis,BP,8.069543441202861e-6
GO:0003170,3.8906220150649196e-6,1,2,2,heart valve development,BP,8.069543441202861e-6
GO:0003171,3.8906220150649196e-6,1,2,2,atrioventricular valve development,BP,8.069543441202861e-6
GO:0003174,3.8906220150649196e-6,1,2,2,mitral valve development,BP,8.069543441202861e-6
GO:0003179,3.8906220150649196e-6,1,2,2,heart valve morphogenesis,BP,8.069543441202861e-6
GO:0003181,3.8906220150649196e-6,1,2,2,atrioventricular valve morphogenesis,BP,8.069543441202861e-6
GO:0003183,3.8906220150649196e-6,1,2,2,mitral valve morphogenesis,BP,8.069543441202861e-6
GO:0003205,3.8906220150649196e-6,1,2,2,cardiac chamber development,BP,8.069543441202861e-6
GO:0003206,3.8906220150649196e-6,1,2,2,cardiac chamber morphogenesis,BP,8.069543441202861e-6
GO:0003207,3.8906220150649196e-6,1,2,2,cardiac chamber formation,BP,8.069543441202861e-6
GO:0003208,3.8906220150649196e-6,1,2,2,cardiac ventricle morphogenesis,BP,8.069543441202861e-6
GO:0003209,3.8906220150649196e-6,1,2,2,cardiac atrium morphogenesis,BP,8.069543441202861e-6
GO:0003211,3.8906220150649196e-6,1,2,2,cardiac ventricle formation,BP,8.069543441202861e-6
GO:0003215,3.8906220150649196e-6,1,2,2,cardiac right ventricle morphogenesis,BP,8.069543441202861e-6
GO:0003230,3.8906220150649196e-6,1,2,2,cardiac atrium development,BP,8.069543441202861e-6
GO:0003231,3.8906220150649196e-6,1,2,2,cardiac ventricle development,BP,8.069543441202861e-6
GO:0003279,3.8906220150649196e-6,1,2,2,cardiac septum development,BP,8.069543441202861e-6
GO:0003281,3.8906220150649196e-6,1,2,2,ventricular septum development,BP,8.069543441202861e-6
GO:0003283,3.8906220150649196e-6,1,2,2,atrial septum development,BP,8.069543441202861e-6
GO:0003284,3.8906220150649196e-6,1,2,2,septum primum development,BP,8.069543441202861e-6
GO:0003289,3.8906220150649196e-6,1,2,2,atrial septum primum morphogenesis,BP,8.069543441202861e-6
GO:0003357,3.8906220150649196e-6,1,2,2,noradrenergic neuron differentiation,BP,8.069543441202861e-6
GO:0006417,3.8906220150649196e-6,1,2,2,regulation of translation,BP,8.069543441202861e-6
GO:0006977,3.8906220150649196e-6,1,2,2,"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",BP,8.069543441202861e-6
GO:0007093,3.8906220150649196e-6,1,2,2,mitotic cell cycle checkpoint signaling,BP,8.069543441202861e-6
GO:0007165,3.8906220150649196e-6,1,2,2,signal transduction,BP,8.069543441202861e-6
GO:0007166,3.8906220150649196e-6,1,2,2,cell surface receptor signaling pathway,BP,8.069543441202861e-6
GO:0007267,3.8906220150649196e-6,1,2,2,cell-cell signaling,BP,8.069543441202861e-6
GO:0007507,3.8906220150649196e-6,1,2,2,heart development,BP,8.069543441202861e-6
GO:0008283,3.8906220150649196e-6,1,2,2,cell population proliferation,BP,8.069543441202861e-6
GO:0008285,3.8906220150649196e-6,1,2,2,negative regulation of cell population proliferation,BP,8.069543441202861e-6
GO:0009628,3.8906220150649196e-6,1,2,2,response to abiotic stimulus,BP,8.069543441202861e-6
GO:0009743,3.8906220150649196e-6,1,2,2,response to carbohydrate,BP,8.069543441202861e-6
GO:0009746,3.8906220150649196e-6,1,2,2,response to hexose,BP,8.069543441202861e-6
GO:0009749,3.8906220150649196e-6,1,2,2,response to glucose,BP,8.069543441202861e-6
GO:0009792,3.8906220150649196e-6,1,2,2,embryo development ending in birth or egg hatching,BP,8.069543441202861e-6
GO:0009887,3.8906220150649196e-6,1,2,2,animal organ morphogenesis,BP,8.069543441202861e-6
GO:0009967,3.8906220150649196e-6,1,2,2,positive regulation of signal transduction,BP,8.069543441202861e-6
GO:0010001,3.8906220150649196e-6,1,2,2,glial cell differentiation,BP,8.069543441202861e-6
GO:0010608,3.8906220150649196e-6,1,2,2,post-transcriptional regulation of gene expression,BP,8.069543441202861e-6
GO:0010647,3.8906220150649196e-6,1,2,2,positive regulation of cell communication,BP,8.069543441202861e-6
GO:0010817,3.8906220150649196e-6,1,2,2,regulation of hormone levels,BP,8.069543441202861e-6
GO:0010941,3.8906220150649196e-6,1,2,2,regulation of cell death,BP,8.069543441202861e-6
GO:0010942,3.8906220150649196e-6,1,2,2,positive regulation of cell death,BP,8.069543441202861e-6
GO:0010948,3.8906220150649196e-6,1,2,2,negative regulation of cell cycle process,BP,8.069543441202861e-6
GO:0014009,3.8906220150649196e-6,1,2,2,glial cell proliferation,BP,8.069543441202861e-6
GO:0016055,3.8906220150649196e-6,1,2,2,Wnt signaling pathway,BP,8.069543441202861e-6
GO:0016331,3.8906220150649196e-6,1,2,2,morphogenesis of embryonic epithelium,BP,8.069543441202861e-6
GO:0019725,3.8906220150649196e-6,1,2,2,cellular homeostasis,BP,8.069543441202861e-6
GO:0019827,3.8906220150649196e-6,1,2,2,stem cell population maintenance,BP,8.069543441202861e-6
GO:0021510,3.8906220150649196e-6,1,2,2,spinal cord development,BP,8.069543441202861e-6
GO:0021515,3.8906220150649196e-6,1,2,2,cell differentiation in spinal cord,BP,8.069543441202861e-6
GO:0021517,3.8906220150649196e-6,1,2,2,ventral spinal cord development,BP,8.069543441202861e-6
GO:0021522,3.8906220150649196e-6,1,2,2,spinal cord motor neuron differentiation,BP,8.069543441202861e-6
GO:0021782,3.8906220150649196e-6,1,2,2,glial cell development,BP,8.069543441202861e-6
GO:0021915,3.8906220150649196e-6,1,2,2,neural tube development,BP,8.069543441202861e-6
GO:0021953,3.8906220150649196e-6,1,2,2,central nervous system neuron differentiation,BP,8.069543441202861e-6
GO:0023052,3.8906220150649196e-6,1,2,2,signaling,BP,8.069543441202861e-6
GO:0023056,3.8906220150649196e-6,1,2,2,positive regulation of signaling,BP,8.069543441202861e-6
GO:0030097,3.8906220150649196e-6,1,2,2,hemopoiesis,BP,8.069543441202861e-6
GO:0030098,3.8906220150649196e-6,1,2,2,lymphocyte differentiation,BP,8.069543441202861e-6
GO:0030177,3.8906220150649196e-6,1,2,2,positive regulation of Wnt signaling pathway,BP,8.069543441202861e-6
GO:0030217,3.8906220150649196e-6,1,2,2,T cell differentiation,BP,8.069543441202861e-6
GO:0030330,3.8906220150649196e-6,1,2,2,"DNA damage response, signal transduction by p53 class mediator",BP,8.069543441202861e-6
GO:0030855,3.8906220150649196e-6,1,2,2,epithelial cell differentiation,BP,8.069543441202861e-6
GO:0031016,3.8906220150649196e-6,1,2,2,pancreas development,BP,8.069543441202861e-6
