category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0000003,0,1,11,11,reproduction,BP,0
GO:0000278,0,1,7,7,mitotic cell cycle,BP,0
GO:0001775,0,1,8,8,cell activation,BP,0
GO:0002376,0,1,10,10,immune system process,BP,0
GO:0002520,0,1,6,6,immune system development,BP,0
GO:0003002,0,1,7,7,regionalization,BP,0
GO:0003006,0,1,8,8,developmental process involved in reproduction,BP,0
GO:0006139,0,1,15,15,nucleobase-containing compound metabolic process,BP,0
GO:0006351,0,1,8,8,DNA-templated transcription,BP,0
GO:0006355,0,1,14,14,regulation of DNA-templated transcription,BP,0
GO:0006357,0,1,12,12,regulation of transcription by RNA polymerase II,BP,0
GO:0006366,0,1,8,8,transcription by RNA polymerase II,BP,0
GO:0006725,0,1,15,15,cellular aromatic compound metabolic process,BP,0
GO:0006793,0,1,6,6,phosphorus metabolic process,BP,0
GO:0006796,0,1,6,6,phosphate-containing compound metabolic process,BP,0
GO:0006807,0,1,27,27,nitrogen compound metabolic process,BP,0
GO:0006810,0,1,12,12,transport,BP,0
GO:0006950,0,1,15,15,response to stress,BP,0
GO:0006974,0,1,6,6,cellular response to DNA damage stimulus,BP,0
GO:0006996,0,1,13,13,organelle organization,BP,0
GO:0007049,0,1,7,7,cell cycle,BP,0
GO:0007154,0,1,13,13,cell communication,BP,0
GO:0007165,0,1,9,9,signal transduction,BP,0
GO:0007275,0,1,20,20,multicellular organism development,BP,0
GO:0007276,0,1,7,7,gamete generation,BP,0
GO:0007292,0,1,6,6,female gamete generation,BP,0
GO:0007346,0,1,6,6,regulation of mitotic cell cycle,BP,0
GO:0007389,0,1,7,7,pattern specification process,BP,0
GO:0007399,0,1,12,12,nervous system development,BP,0
GO:0007417,0,1,7,7,central nervous system development,BP,0
GO:0008104,0,1,6,6,protein localization,BP,0
GO:0008150,0,1,37,37,biological_process,BP,0
GO:0008152,0,1,32,32,metabolic process,BP,0
GO:0008283,0,1,6,6,cell population proliferation,BP,0
