category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0000003,0,1,26,26,reproduction,BP,0
GO:0000278,0,1,16,16,mitotic cell cycle,BP,0
GO:0001654,0,1,7,7,eye development,BP,0
GO:0001775,0,1,10,10,cell activation,BP,0
GO:0001932,0,1,7,7,regulation of protein phosphorylation,BP,0
GO:0002009,0,1,7,7,morphogenesis of an epithelium,BP,0
GO:0002376,0,1,15,15,immune system process,BP,0
GO:0002520,0,1,9,9,immune system development,BP,0
GO:0003002,0,1,7,7,regionalization,BP,0
GO:0003006,0,1,17,17,developmental process involved in reproduction,BP,0
GO:0006139,0,1,26,26,nucleobase-containing compound metabolic process,BP,0
GO:0006259,0,1,8,8,DNA metabolic process,BP,0
GO:0006351,0,1,12,12,DNA-templated transcription,BP,0
GO:0006355,0,1,19,19,regulation of DNA-templated transcription,BP,0
GO:0006357,0,1,15,15,regulation of transcription by RNA polymerase II,BP,0
GO:0006366,0,1,9,9,transcription by RNA polymerase II,BP,0
GO:0006396,0,1,7,7,RNA processing,BP,0
GO:0006412,0,1,7,7,translation,BP,0
GO:0006468,0,1,8,8,protein phosphorylation,BP,0
GO:0006508,0,1,7,7,proteolysis,BP,0
GO:0006518,0,1,8,8,peptide metabolic process,BP,0
GO:0006725,0,1,27,27,cellular aromatic compound metabolic process,BP,0
GO:0006793,0,1,10,10,phosphorus metabolic process,BP,0
GO:0006796,0,1,10,10,phosphate-containing compound metabolic process,BP,0
GO:0006807,0,1,51,51,nitrogen compound metabolic process,BP,0
GO:0006810,0,1,22,22,transport,BP,0
GO:0006811,0,1,7,7,ion transport,BP,0
GO:0006812,0,1,7,7,cation transport,BP,0
GO:0006886,0,1,7,7,intracellular protein transport,BP,0
GO:0006950,0,1,24,24,response to stress,BP,0
GO:0006955,0,1,7,7,immune response,BP,0
GO:0006974,0,1,10,10,cellular response to DNA damage stimulus,BP,0
GO:0006996,0,1,31,31,organelle organization,BP,0
GO:0007010,0,1,10,10,cytoskeleton organization,BP,0
GO:0007017,0,1,8,8,microtubule-based process,BP,0
GO:0007049,0,1,17,17,cell cycle,BP,0
GO:0007154,0,1,22,22,cell communication,BP,0
GO:0007165,0,1,17,17,signal transduction,BP,0
GO:0007166,0,1,8,8,cell surface receptor signaling pathway,BP,0
GO:0007267,0,1,7,7,cell-cell signaling,BP,0
GO:0007275,0,1,28,28,multicellular organism development,BP,0
GO:0007276,0,1,16,16,gamete generation,BP,0
GO:0007281,0,1,12,12,germ cell development,BP,0
GO:0007292,0,1,11,11,female gamete generation,BP,0
GO:0007346,0,1,9,9,regulation of mitotic cell cycle,BP,0
GO:0007389,0,1,8,8,pattern specification process,BP,0
GO:0007399,0,1,15,15,nervous system development,BP,0
GO:0007417,0,1,9,9,central nervous system development,BP,0
GO:0007423,0,1,7,7,sensory organ development,BP,0
GO:0007507,0,1,7,7,heart development,BP,0
GO:0008104,0,1,12,12,protein localization,BP,0
GO:0008150,0,1,77,77,biological_process,BP,0
GO:0008152,0,1,57,57,metabolic process,BP,0
GO:0008283,0,1,12,12,cell population proliferation,BP,0
GO:0008284,0,1,7,7,positive regulation of cell population proliferation,BP,0
GO:0008285,0,1,8,8,negative regulation of cell population proliferation,BP,0
GO:0009056,0,1,12,12,catabolic process,BP,0
GO:0009057,0,1,9,9,macromolecule catabolic process,BP,0
GO:0009058,0,1,28,28,biosynthetic process,BP,0
GO:0009059,0,1,22,22,macromolecule biosynthetic process,BP,0
GO:0009605,0,1,16,16,response to external stimulus,BP,0
GO:0009628,0,1,12,12,response to abiotic stimulus,BP,0
GO:0009653,0,1,20,20,anatomical structure morphogenesis,BP,0
GO:0009719,0,1,13,13,response to endogenous stimulus,BP,0
GO:0009725,0,1,9,9,response to hormone,BP,0
GO:0009790,0,1,17,17,embryo development,BP,0
GO:0009792,0,1,12,12,embryo development ending in birth or egg hatching,BP,0
GO:0009887,0,1,11,11,animal organ morphogenesis,BP,0
GO:0009888,0,1,16,16,tissue development,BP,0
GO:0009889,0,1,25,25,regulation of biosynthetic process,BP,0
GO:0009890,0,1,10,10,negative regulation of biosynthetic process,BP,0
GO:0009891,0,1,15,15,positive regulation of biosynthetic process,BP,0
GO:0009892,0,1,21,21,negative regulation of metabolic process,BP,0
GO:0009893,0,1,21,21,positive regulation of metabolic process,BP,0
GO:0009966,0,1,16,16,regulation of signal transduction,BP,0
GO:0009968,0,1,7,7,negative regulation of signal transduction,BP,0
GO:0009987,0,1,69,69,cellular process,BP,0
GO:0009991,0,1,7,7,response to extracellular stimulus,BP,0
GO:0010033,0,1,20,20,response to organic substance,BP,0
GO:0010243,0,1,7,7,response to organonitrogen compound,BP,0
GO:0010467,0,1,24,24,gene expression,BP,0
GO:0010468,0,1,24,24,regulation of gene expression,BP,0
GO:0010556,0,1,24,24,regulation of macromolecule biosynthetic process,BP,0
GO:0010557,0,1,15,15,positive regulation of macromolecule biosynthetic process,BP,0
GO:0010558,0,1,10,10,negative regulation of macromolecule biosynthetic process,BP,0
GO:0010564,0,1,10,10,regulation of cell cycle process,BP,0
GO:0010604,0,1,21,21,positive regulation of macromolecule metabolic process,BP,0
GO:0010605,0,1,20,20,negative regulation of macromolecule metabolic process,BP,0
GO:0010628,0,1,12,12,positive regulation of gene expression,BP,0
GO:0010629,0,1,12,12,negative regulation of gene expression,BP,0
GO:0010646,0,1,19,19,regulation of cell communication,BP,0
GO:0010647,0,1,9,9,positive regulation of cell communication,BP,0
GO:0010648,0,1,7,7,negative regulation of cell communication,BP,0
GO:0010941,0,1,16,16,regulation of cell death,BP,0
GO:0015031,0,1,7,7,protein transport,BP,0
GO:0015833,0,1,7,7,peptide transport,BP,0
GO:0016043,0,1,38,38,cellular component organization,BP,0
GO:0016070,0,1,20,20,RNA metabolic process,BP,0
GO:0016192,0,1,13,13,vesicle-mediated transport,BP,0
GO:0016310,0,1,9,9,phosphorylation,BP,0
GO:0018130,0,1,13,13,heterocycle biosynthetic process,BP,0
GO:0019219,0,1,24,24,regulation of nucleobase-containing compound metabolic process,BP,0
GO:0019220,0,1,7,7,regulation of phosphate metabolic process,BP,0
GO:0019222,0,1,35,35,regulation of metabolic process,BP,0
GO:0019438,0,1,13,13,aromatic compound biosynthetic process,BP,0
GO:0019538,0,1,30,30,protein metabolic process,BP,0
GO:0019953,0,1,17,17,sexual reproduction,BP,0
GO:0022008,0,1,13,13,neurogenesis,BP,0
GO:0022402,0,1,15,15,cell cycle process,BP,0
GO:0022412,0,1,14,14,cellular process involved in reproduction in multicellular organism,BP,0
GO:0022414,0,1,26,26,reproductive process,BP,0
GO:0022603,0,1,7,7,regulation of anatomical structure morphogenesis,BP,0
GO:0022607,0,1,18,18,cellular component assembly,BP,0
GO:0023051,0,1,19,19,regulation of signaling,BP,0
GO:0023052,0,1,19,19,signaling,BP,0
GO:0023056,0,1,9,9,positive regulation of signaling,BP,0
GO:0023057,0,1,7,7,negative regulation of signaling,BP,0
GO:0030030,0,1,10,10,cell projection organization,BP,0
GO:0030154,0,1,24,24,cell differentiation,BP,0
GO:0030182,0,1,9,9,neuron differentiation,BP,0
GO:0030855,0,1,8,8,epithelial cell differentiation,BP,0
GO:0031323,0,1,34,34,regulation of cellular metabolic process,BP,0
GO:0031324,0,1,20,20,negative regulation of cellular metabolic process,BP,0
GO:0031325,0,1,20,20,positive regulation of cellular metabolic process,BP,0
GO:0031326,0,1,25,25,regulation of cellular biosynthetic process,BP,0
GO:0031327,0,1,10,10,negative regulation of cellular biosynthetic process,BP,0
GO:0031328,0,1,15,15,positive regulation of cellular biosynthetic process,BP,0
GO:0031399,0,1,10,10,regulation of protein modification process,BP,0
GO:0031400,0,1,7,7,negative regulation of protein modification process,BP,0
GO:0031401,0,1,7,7,positive regulation of protein modification process,BP,0
GO:0031667,0,1,7,7,response to nutrient levels,BP,0
GO:0032268,0,1,12,12,regulation of cellular protein metabolic process,BP,0
GO:0032386,0,1,7,7,regulation of intracellular transport,BP,0
GO:0032501,0,1,37,37,multicellular organismal process,BP,0
GO:0032502,0,1,34,34,developmental process,BP,0
GO:0032504,0,1,19,19,multicellular organism reproduction,BP,0
GO:0032774,0,1,12,12,RNA biosynthetic process,BP,0
GO:0032879,0,1,14,14,regulation of localization,BP,0
GO:0032880,0,1,8,8,regulation of protein localization,BP,0
GO:0032989,0,1,7,7,cellular component morphogenesis,BP,0
GO:0033036,0,1,13,13,macromolecule localization,BP,0
GO:0033043,0,1,10,10,regulation of organelle organization,BP,0
GO:0033554,0,1,16,16,cellular response to stress,BP,0
GO:0034641,0,1,33,33,cellular nitrogen compound metabolic process,BP,0
GO:0034645,0,1,22,22,cellular macromolecule biosynthetic process,BP,0
GO:0034654,0,1,12,12,nucleobase-containing compound biosynthetic process,BP,0
GO:0035239,0,1,9,9,tube morphogenesis,BP,0
GO:0035295,0,1,9,9,tube development,BP,0
GO:0035556,0,1,10,10,intracellular signal transduction,BP,0
GO:0036211,0,1,20,20,protein modification process,BP,0
GO:0040008,0,1,10,10,regulation of growth,BP,0
GO:0040011,0,1,10,10,locomotion,BP,0
GO:0042127,0,1,12,12,regulation of cell population proliferation,BP,0
GO:0042221,0,1,26,26,response to chemical,BP,0
GO:0042325,0,1,7,7,regulation of phosphorylation,BP,0
GO:0042592,0,1,8,8,homeostatic process,BP,0
GO:0042886,0,1,7,7,amide transport,BP,0
GO:0042981,0,1,13,13,regulation of apoptotic process,BP,0
GO:0043009,0,1,8,8,chordate embryonic development,BP,0
GO:0043043,0,1,8,8,peptide biosynthetic process,BP,0
GO:0043066,0,1,8,8,negative regulation of apoptotic process,BP,0
GO:0043067,0,1,13,13,regulation of programmed cell death,BP,0
GO:0043069,0,1,8,8,negative regulation of programmed cell death,BP,0
GO:0043085,0,1,7,7,positive regulation of catalytic activity,BP,0
