category,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust
GO:0008150,0,1,7,7,biological_process,BP,0
GO:0009987,0,1,6,6,cellular process,BP,0
GO:0050896,0,1,5,5,response to stimulus,BP,0
GO:0051179,6.04468778129376e-13,1,4,4,localization,BP,8.764316491372312e-12
GO:0016043,6.329922121324492e-13,1,4,4,cellular component organization,BP,8.764316491372312e-12
GO:0022607,6.329922121324492e-13,1,4,4,cellular component assembly,BP,8.764316491372312e-12
GO:0044085,6.329922121324492e-13,1,4,4,cellular component biogenesis,BP,8.764316491372312e-12
GO:0071840,6.329922121324492e-13,1,4,4,cellular component organization or biogenesis,BP,8.764316491372312e-12
GO:0032501,6.336254277913075e-13,1,4,4,multicellular organismal process,BP,8.764316491372312e-12
GO:0050789,6.419428653995902e-13,1,4,4,regulation of biological process,BP,8.764316491372312e-12
GO:0065007,6.419428653995902e-13,1,4,4,biological regulation,BP,8.764316491372312e-12
GO:0006807,6.712046810876518e-13,1,4,4,nitrogen compound metabolic process,BP,8.764316491372312e-12
GO:0008152,6.712046810876518e-13,1,4,4,metabolic process,BP,8.764316491372312e-12
GO:0043170,6.712046810876518e-13,1,4,4,macromolecule metabolic process,BP,8.764316491372312e-12
GO:0044237,6.712046810876518e-13,1,4,4,cellular metabolic process,BP,8.764316491372312e-12
GO:0044238,6.712046810876518e-13,1,4,4,primary metabolic process,BP,8.764316491372312e-12
GO:0044260,6.712046810876518e-13,1,4,4,cellular macromolecule metabolic process,BP,8.764316491372312e-12
GO:0071704,6.712046810876518e-13,1,4,4,organic substance metabolic process,BP,8.764316491372312e-12
GO:0051641,9.272310407951002e-10,1,3,3,cellular localization,BP,8.618553777756592e-9
GO:0048583,9.280394190505765e-10,1,3,3,regulation of response to stimulus,BP,8.618553777756592e-9
GO:0050794,9.280394190505765e-10,1,3,3,regulation of cellular process,BP,8.618553777756592e-9
GO:0007275,9.705186217583843e-10,1,3,3,multicellular organism development,BP,8.618553777756592e-9
GO:0032502,9.705186217583843e-10,1,3,3,developmental process,BP,8.618553777756592e-9
GO:0048731,9.705186217583843e-10,1,3,3,system development,BP,8.618553777756592e-9
GO:0048856,9.705186217583843e-10,1,3,3,anatomical structure development,BP,8.618553777756592e-9
GO:0006996,9.709022452646699e-10,1,3,3,organelle organization,BP,8.618553777756592e-9
GO:0048518,9.858002147994708e-10,1,3,3,positive regulation of biological process,BP,8.618553777756592e-9
GO:0009058,1.0292867145308581e-9,1,3,3,biosynthetic process,BP,8.618553777756592e-9
GO:0009059,1.0292867145308581e-9,1,3,3,macromolecule biosynthetic process,BP,8.618553777756592e-9
GO:0034645,1.0292867145308581e-9,1,3,3,cellular macromolecule biosynthetic process,BP,8.618553777756592e-9
GO:0044249,1.0292867145308581e-9,1,3,3,cellular biosynthetic process,BP,8.618553777756592e-9
GO:1901576,1.0292867145308581e-9,1,3,3,organic substance biosynthetic process,BP,8.618553777756592e-9
GO:0006139,1.0300106524422374e-9,1,3,3,nucleobase-containing compound metabolic process,BP,8.618553777756592e-9
