go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0031325,1,GO:0031325,0.983,9.230682678088801,0,positive regulation of cellular metabolic process,positive regulation of cellular metabolic process
GO:0031323,2,GO:0031323,0.935,9.230682678088801,0,regulation of cellular metabolic process,regulation of cellular metabolic process
GO:0031326,2,GO:0031323,0.899,9.230682678088801,0,regulation of cellular biosynthetic process,regulation of cellular metabolic process
GO:0048522,1,GO:0031325,0.849,9.230682678088801,0,positive regulation of cellular process,positive regulation of cellular metabolic process
GO:2000112,3,GO:2000112,0.995,9.230682678088801,0,regulation of cellular macromolecule biosynthetic process,regulation of cellular macromolecule biosynthetic process
GO:0051171,2,GO:0031323,0.819,9.230682678088801,3,regulation of nitrogen compound metabolic process,regulation of cellular metabolic process
GO:0010604,1,GO:0031325,0.935,9.230682678088801,0,positive regulation of macromolecule metabolic process,positive regulation of cellular metabolic process
GO:0080090,2,GO:0031323,0.822,9.230682678088801,3,regulation of primary metabolic process,regulation of cellular metabolic process
GO:0010556,2,GO:0031323,0.78,9.230682678088801,0,regulation of macromolecule biosynthetic process,regulation of cellular metabolic process
GO:0048518,1,GO:0031325,0.773,9.230682678088801,0,positive regulation of biological process,positive regulation of cellular metabolic process
GO:0065007,1,GO:0031325,0.339,9.230682678088801,0,biological regulation,positive regulation of cellular metabolic process
GO:0060255,2,GO:0031323,0.852,9.230682678088801,4,regulation of macromolecule metabolic process,regulation of cellular metabolic process
GO:0051173,1,GO:0031325,0.916,9.230682678088801,0,positive regulation of nitrogen compound metabolic process,positive regulation of cellular metabolic process
GO:0019222,2,GO:0031323,0.86,9.230682678088801,1,regulation of metabolic process,regulation of cellular metabolic process
GO:0009893,1,GO:0031325,0.948,9.230682678088801,0,positive regulation of metabolic process,positive regulation of cellular metabolic process
GO:0009889,2,GO:0031323,0.782,9.230682678088801,0,regulation of biosynthetic process,regulation of cellular metabolic process
GO:0050794,1,GO:0031325,0.451,9.230682678088801,0,regulation of cellular process,positive regulation of cellular metabolic process
GO:0050789,1,GO:0031325,0.373,9.230682678088801,0,regulation of biological process,positive regulation of cellular metabolic process
GO:2001141,2,GO:0031323,0.88,6.099648291352698,0,regulation of RNA biosynthetic process,regulation of cellular metabolic process
GO:0048856,4,GO:0048856,0.892,6.099648291352698,191,anatomical structure development,anatomical structure development
GO:0065009,5,GO:0065009,0.983,6.099648291352698,0,regulation of molecular function,regulation of molecular function
GO:0010646,6,GO:0010646,0.986,6.099648291352698,1,regulation of cell communication,regulation of cell communication
GO:0050877,7,GO:0050877,0.982,6.099648291352698,100,nervous system process,nervous system process
GO:0007154,6,GO:0010646,0.64,6.099648291352698,19,cell communication,regulation of cell communication
GO:0044237,8,GO:0044237,0.714,6.099648291352698,12,cellular metabolic process,cellular metabolic process
GO:0043405,5,GO:0065009,0.66,6.099648291352698,2,regulation of MAP kinase activity,regulation of molecular function
GO:0048523,1,GO:0031325,0.332,6.099648291352698,0,negative regulation of cellular process,positive regulation of cellular metabolic process
GO:0009968,9,GO:0009968,0.995,6.099648291352698,13,negative regulation of signal transduction,negative regulation of signal transduction
GO:0009891,1,GO:0031325,0.863,6.099648291352698,0,positive regulation of biosynthetic process,positive regulation of cellular metabolic process
GO:0050790,5,GO:0065009,0.97,6.099648291352698,142,regulation of catalytic activity,regulation of molecular function
GO:0006950,10,GO:0006950,0.942,6.099648291352698,11,response to stress,response to stress
GO:0071900,2,GO:0031323,0.545,6.099648291352698,1,regulation of protein serine/threonine kinase activity,regulation of cellular metabolic process
GO:0048513,11,GO:0048513,0.983,6.099648291352698,1,animal organ development,animal organ development
GO:0051338,5,GO:0065009,0.827,6.099648291352698,1,regulation of transferase activity,regulation of molecular function
GO:0001932,2,GO:0031323,0.607,6.099648291352698,2,regulation of protein phosphorylation,regulation of cellular metabolic process
GO:0019219,2,GO:0031323,0.898,6.099648291352698,0,regulation of nucleobase-containing compound metabolic process,regulation of cellular metabolic process
GO:0023057,9,GO:0009968,0.99,6.099648291352698,0,negative regulation of signaling,negative regulation of signal transduction
GO:0016043,12,GO:0016043,0.896,6.099648291352698,5,cellular component organization,cellular component organization
GO:0023051,9,GO:0009968,0.874,6.099648291352698,2,regulation of signaling,negative regulation of signal transduction
GO:0003008,7,GO:0050877,0.95,6.099648291352698,0,system process,nervous system process
GO:0009966,6,GO:0010646,0.956,6.099648291352698,14,regulation of signal transduction,regulation of cell communication
GO:0031401,2,GO:0031323,0.511,6.099648291352698,0,positive regulation of protein modification process,regulation of cellular metabolic process
GO:1903506,2,GO:0031323,0.88,6.099648291352698,0,regulation of nucleic acid-templated transcription,regulation of cellular metabolic process
GO:0007626,13,GO:0007626,0.998,6.099648291352698,22,locomotory behavior,locomotory behavior
GO:0007613,7,GO:0050877,0.705,6.099648291352698,1,memory,nervous system process
GO:0010468,2,GO:0031323,0.823,6.099648291352698,103,regulation of gene expression,regulation of cellular metabolic process
GO:0009987,14,GO:0009987,0.337,6.099648291352698,0,cellular process,cellular process
GO:0060548,15,GO:0060548,0.998,6.099648291352698,2,negative regulation of cell death,negative regulation of cell death
