go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0010604,1,GO:0010604,0.98,307.6526555685888,0,positive regulation of macromolecule metabolic process,positive regulation of macromolecule metabolic process
GO:0050794,1,GO:0010604,0.366,307.6526555685888,0,regulation of cellular process,positive regulation of macromolecule metabolic process
GO:0010564,2,GO:0010564,0.993,307.6526555685888,2,regulation of cell cycle process,regulation of cell cycle process
GO:0050789,1,GO:0010604,0.383,307.6526555685888,0,regulation of biological process,positive regulation of macromolecule metabolic process
GO:0022402,2,GO:0010564,0.834,307.6526555685888,0,cell cycle process,regulation of cell cycle process
GO:0034641,3,GO:0034641,0.84,307.6526555685888,0,cellular nitrogen compound metabolic process,cellular nitrogen compound metabolic process
GO:0023051,4,GO:0023051,0.986,307.6526555685888,2,regulation of signaling,regulation of signaling
GO:0090304,3,GO:0034641,0.774,307.6526555685888,2,nucleic acid metabolic process,cellular nitrogen compound metabolic process
GO:0016310,5,GO:0016310,0.959,307.6526555685888,483,phosphorylation,phosphorylation
GO:0031326,1,GO:0010604,0.646,307.6526555685888,0,regulation of cellular biosynthetic process,positive regulation of macromolecule metabolic process
GO:0008104,6,GO:0008104,0.971,307.6526555685888,83,protein localization,protein localization
GO:0022414,7,GO:0022414,0.958,307.6526555685888,11,reproductive process,reproductive process
GO:0045935,1,GO:0010604,0.885,307.6526555685888,0,positive regulation of nucleobase-containing compound metabolic process,positive regulation of macromolecule metabolic process
GO:0009628,8,GO:0009628,0.987,307.6526555685888,0,response to abiotic stimulus,response to abiotic stimulus
GO:0051050,9,GO:0051050,0.995,307.6526555685888,0,positive regulation of transport,positive regulation of transport
GO:0009893,1,GO:0010604,0.965,307.6526555685888,0,positive regulation of metabolic process,positive regulation of macromolecule metabolic process
GO:0010941,10,GO:0010941,0.995,307.6526555685888,1,regulation of cell death,regulation of cell death
GO:0003006,7,GO:0022414,0.859,307.6526555685888,1,developmental process involved in reproduction,reproductive process
GO:0044237,3,GO:0034641,0.58,307.6526555685888,12,cellular metabolic process,cellular nitrogen compound metabolic process
GO:0040011,11,GO:0040011,0.977,307.6526555685888,108,locomotion,locomotion
GO:0042981,10,GO:0010941,0.961,307.6526555685888,15,regulation of apoptotic process,regulation of cell death
GO:0023052,4,GO:0023051,0.643,307.6526555685888,4,signaling,regulation of signaling
GO:0032504,7,GO:0022414,0.829,307.6526555685888,24,multicellular organism reproduction,reproductive process
GO:0051247,12,GO:0051247,0.994,307.6526555685888,0,positive regulation of protein metabolic process,positive regulation of protein metabolic process
GO:0022008,13,GO:0022008,0.979,307.6526555685888,3,neurogenesis,neurogenesis
GO:0000278,2,GO:0010564,0.694,307.6526555685888,54,mitotic cell cycle,regulation of cell cycle process
GO:0007166,14,GO:0007166,0.983,307.6526555685888,11,cell surface receptor signaling pathway,cell surface receptor signaling pathway
GO:0010605,15,GO:0010605,0.977,307.6526555685888,0,negative regulation of macromolecule metabolic process,negative regulation of macromolecule metabolic process
GO:0070727,6,GO:0008104,0.971,307.6526555685888,0,cellular macromolecule localization,protein localization
GO:0070887,16,GO:0070887,0.982,307.6526555685888,0,cellular response to chemical stimulus,cellular response to chemical stimulus
GO:0050793,17,GO:0050793,0.976,307.6526555685888,4,regulation of developmental process,regulation of developmental process
GO:0051252,1,GO:0010604,0.658,307.6526555685888,2,regulation of RNA metabolic process,positive regulation of macromolecule metabolic process
GO:0043603,18,GO:0043603,0.972,307.6526555685888,0,cellular amide metabolic process,cellular amide metabolic process
GO:0009888,19,GO:0009888,0.993,307.6526555685888,30,tissue development,tissue development
GO:0044238,3,GO:0034641,0.412,307.6526555685888,13,primary metabolic process,cellular nitrogen compound metabolic process
GO:0043412,20,GO:0043412,0.927,307.6526555685888,3,macromolecule modification,macromolecule modification
GO:0051172,15,GO:0010605,0.903,307.6526555685888,0,negative regulation of nitrogen compound metabolic process,negative regulation of macromolecule metabolic process
GO:0042221,16,GO:0070887,0.808,307.6526555685888,1,response to chemical,cellular response to chemical stimulus
GO:0010243,16,GO:0070887,0.599,307.6526555685888,0,response to organonitrogen compound,cellular response to chemical stimulus
GO:0006355,21,GO:0006355,0.954,307.6526555685888,564,regulation of DNA-templated transcription,regulation of DNA-templated transcription
GO:0034654,21,GO:0006355,0.891,307.6526555685888,1,nucleobase-containing compound biosynthetic process,regulation of DNA-templated transcription
GO:0043170,3,GO:0034641,0.388,307.6526555685888,2,macromolecule metabolic process,cellular nitrogen compound metabolic process
GO:0045595,17,GO:0050793,0.818,307.6526555685888,9,regulation of cell differentiation,regulation of developmental process
GO:1901564,22,GO:1901564,0.842,307.6526555685888,0,organonitrogen compound metabolic process,organonitrogen compound metabolic process
GO:0048856,13,GO:0022008,0.651,307.6526555685888,191,anatomical structure development,neurogenesis
GO:0018130,21,GO:0006355,0.882,307.6526555685888,0,heterocycle biosynthetic process,regulation of DNA-templated transcription
GO:0010556,1,GO:0010604,0.661,307.6526555685888,0,regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process
GO:0051128,23,GO:0051128,0.98,307.6526555685888,2,regulation of cellular component organization,regulation of cellular component organization
GO:0070647,20,GO:0043412,0.69,307.6526555685888,0,protein modification by small protein conjugation or removal,macromolecule modification
GO:0006396,24,GO:0006396,0.971,307.6526555685888,49,RNA processing,RNA processing
GO:0019222,1,GO:0010604,0.698,307.6526555685888,1,regulation of metabolic process,positive regulation of macromolecule metabolic process
GO:0006518,18,GO:0043603,0.952,307.6526555685888,9,peptide metabolic process,cellular amide metabolic process
GO:0010648,14,GO:0007166,0.449,307.6526555685888,0,negative regulation of cell communication,cell surface receptor signaling pathway
GO:0006366,21,GO:0006355,0.858,307.6526555685888,19,transcription by RNA polymerase II,regulation of DNA-templated transcription
GO:0046903,25,GO:0046903,0.992,307.6526555685888,2,secretion,secretion
GO:0051171,1,GO:0010604,0.671,307.6526555685888,3,regulation of nitrogen compound metabolic process,positive regulation of macromolecule metabolic process
GO:0007276,7,GO:0022414,0.796,307.6526555685888,19,gamete generation,reproductive process
GO:0006351,21,GO:0006355,0.934,307.6526555685888,38,DNA-templated transcription,regulation of DNA-templated transcription
GO:0006810,26,GO:0006810,0.871,307.6526555685888,32,transport,transport
GO:0045184,6,GO:0008104,0.903,307.6526555685888,5,establishment of protein localization,protein localization
GO:0060255,1,GO:0010604,0.71,307.6526555685888,4,regulation of macromolecule metabolic process,positive regulation of macromolecule metabolic process
GO:0045321,27,GO:0045321,1,307.6526555685888,1,leukocyte activation,leukocyte activation
GO:0035239,28,GO:0035239,0.998,307.6526555685888,0,tube morphogenesis,tube morphogenesis
GO:0033036,6,GO:0008104,0.928,307.6526555685888,4,macromolecule localization,protein localization
GO:0006468,5,GO:0016310,0.893,307.6526555685888,541,protein phosphorylation,phosphorylation
GO:0042127,29,GO:0042127,0.999,307.6526555685888,14,regulation of cell population proliferation,regulation of cell population proliferation
GO:0031323,1,GO:0010604,0.667,307.6526555685888,0,regulation of cellular metabolic process,positive regulation of macromolecule metabolic process
GO:0009725,30,GO:0009725,0.999,307.6526555685888,1,response to hormone,response to hormone
GO:0044271,21,GO:0006355,0.814,307.6526555685888,0,cellular nitrogen compound biosynthetic process,regulation of DNA-templated transcription
GO:0010557,1,GO:0010604,0.901,307.6526555685888,0,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule metabolic process
GO:0010033,16,GO:0070887,0.696,307.6526555685888,3,response to organic substance,cellular response to chemical stimulus
GO:0001775,27,GO:0045321,0.907,307.6526555685888,0,cell activation,leukocyte activation
GO:0034645,31,GO:0034645,0.97,307.6526555685888,1,cellular macromolecule biosynthetic process,cellular macromolecule biosynthetic process
GO:0031401,12,GO:0051247,0.924,307.6526555685888,0,positive regulation of protein modification process,positive regulation of protein metabolic process
GO:0045892,15,GO:0010605,0.816,307.6526555685888,62,negative regulation of DNA-templated transcription,negative regulation of macromolecule metabolic process
GO:0033554,32,GO:0033554,0.97,307.6526555685888,1,cellular response to stress,cellular response to stress
GO:1903047,2,GO:0010564,0.767,307.6526555685888,0,mitotic cell cycle process,regulation of cell cycle process
GO:0007049,2,GO:0010564,0.773,307.6526555685888,179,cell cycle,regulation of cell cycle process
GO:0009968,14,GO:0007166,0.481,307.6526555685888,13,negative regulation of signal transduction,cell surface receptor signaling pathway
GO:0048869,13,GO:0022008,0.835,307.6526555685888,0,cellular developmental process,neurogenesis
GO:0031328,1,GO:0010604,0.877,307.6526555685888,0,positive regulation of cellular biosynthetic process,positive regulation of macromolecule metabolic process
GO:0019438,21,GO:0006355,0.885,307.6526555685888,0,aromatic compound biosynthetic process,regulation of DNA-templated transcription
GO:0010629,15,GO:0010605,0.902,307.6526555685888,66,negative regulation of gene expression,negative regulation of macromolecule metabolic process
GO:1902680,1,GO:0010604,0.889,307.6526555685888,0,positive regulation of RNA biosynthetic process,positive regulation of macromolecule metabolic process
GO:0051241,33,GO:0051241,0.996,307.6526555685888,0,negative regulation of multicellular organismal process,negative regulation of multicellular organismal process
GO:0120036,23,GO:0051128,0.513,307.6526555685888,1,plasma membrane bounded cell projection organization,regulation of cellular component organization
GO:0043066,10,GO:0010941,0.902,307.6526555685888,38,negative regulation of apoptotic process,regulation of cell death
GO:0009790,13,GO:0022008,0.582,307.6526555685888,62,embryo development,neurogenesis
GO:0009059,21,GO:0006355,0.822,307.6526555685888,0,macromolecule biosynthetic process,regulation of DNA-templated transcription
GO:0008284,29,GO:0042127,0.943,307.6526555685888,17,positive regulation of cell population proliferation,regulation of cell population proliferation
GO:0048584,34,GO:0048584,0.993,307.6526555685888,0,positive regulation of response to stimulus,positive regulation of response to stimulus
GO:0010467,24,GO:0006396,0.66,307.6526555685888,1,gene expression,RNA processing
GO:0007399,13,GO:0022008,0.94,307.6526555685888,112,nervous system development,neurogenesis
GO:0007275,13,GO:0022008,0.714,307.6526555685888,57,multicellular organism development,neurogenesis
GO:0006807,3,GO:0034641,0.599,307.6526555685888,14,nitrogen compound metabolic process,cellular nitrogen compound metabolic process
GO:1902679,15,GO:0010605,0.816,307.6526555685888,0,negative regulation of RNA biosynthetic process,negative regulation of macromolecule metabolic process
GO:0070201,9,GO:0051050,0.688,307.6526555685888,0,regulation of establishment of protein localization,positive regulation of transport
GO:0046483,3,GO:0034641,0.468,307.6526555685888,0,heterocycle metabolic process,cellular nitrogen compound metabolic process
GO:0042325,5,GO:0016310,0.716,307.6526555685888,1,regulation of phosphorylation,phosphorylation
GO:0006950,32,GO:0033554,0.841,307.6526555685888,11,response to stress,cellular response to stress
GO:0044265,35,GO:0044265,0.983,307.6526555685888,0,cellular macromolecule catabolic process,cellular macromolecule catabolic process
GO:0035556,14,GO:0007166,0.561,307.6526555685888,169,intracellular signal transduction,cell surface receptor signaling pathway
GO:0010647,14,GO:0007166,0.448,307.6526555685888,0,positive regulation of cell communication,cell surface receptor signaling pathway
GO:0006996,36,GO:0006996,0.939,307.6526555685888,11,organelle organization,organelle organization
GO:0051716,32,GO:0033554,0.684,307.6526555685888,1,cellular response to stimulus,cellular response to stress
GO:0048522,1,GO:0010604,0.745,307.6526555685888,0,positive regulation of cellular process,positive regulation of macromolecule metabolic process
GO:0007346,2,GO:0010564,0.85,307.6526555685888,8,regulation of mitotic cell cycle,regulation of cell cycle process
GO:0002009,19,GO:0009888,0.869,307.6526555685888,23,morphogenesis of an epithelium,tissue development
GO:0051130,23,GO:0051128,0.862,307.6526555685888,0,positive regulation of cellular component organization,regulation of cellular component organization
GO:0048731,13,GO:0022008,0.894,307.6526555685888,1,system development,neurogenesis
