go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0071840,1,GO:0071840,0.887,307.6526555685888,0,cellular component organization or biogenesis,cellular component organization or biogenesis
GO:0050789,2,GO:0050789,0.744,307.6526555685888,0,regulation of biological process,regulation of biological process
GO:0006996,1,GO:0071840,0.778,307.6526555685888,11,organelle organization,cellular component organization or biogenesis
GO:0065007,2,GO:0050789,0.688,307.6526555685888,0,biological regulation,regulation of biological process
GO:0009987,3,GO:0009987,0.337,307.6526555685888,0,cellular process,cellular process
GO:0016043,1,GO:0071840,0.871,307.6526555685888,5,cellular component organization,cellular component organization or biogenesis
GO:0044260,4,GO:0044260,0.928,307.6526555685888,3,cellular macromolecule metabolic process,cellular macromolecule metabolic process
GO:0071704,5,GO:0071704,0.668,307.6526555685888,30,organic substance metabolic process,organic substance metabolic process
GO:0050896,6,GO:0050896,0.824,307.6526555685888,29,response to stimulus,response to stimulus
GO:0048519,2,GO:0050789,0.451,307.6526555685888,0,negative regulation of biological process,regulation of biological process
GO:0044238,5,GO:0071704,0.543,307.6526555685888,13,primary metabolic process,organic substance metabolic process
GO:0044237,5,GO:0071704,0.529,307.6526555685888,12,cellular metabolic process,organic substance metabolic process
GO:0050794,2,GO:0050789,0.683,307.6526555685888,0,regulation of cellular process,regulation of biological process
GO:0048523,2,GO:0050789,0.405,307.6526555685888,0,negative regulation of cellular process,regulation of biological process
GO:0008152,5,GO:0071704,0.595,307.6526555685888,82,metabolic process,organic substance metabolic process
GO:0043170,5,GO:0071704,0.593,307.6526555685888,2,macromolecule metabolic process,organic substance metabolic process
GO:0031323,2,GO:0050789,0.495,307.6526555685888,0,regulation of cellular metabolic process,regulation of biological process
GO:0019222,2,GO:0050789,0.534,307.6526555685888,1,regulation of metabolic process,regulation of biological process
GO:0006807,5,GO:0071704,0.52,307.6526555685888,14,nitrogen compound metabolic process,organic substance metabolic process
GO:0006139,7,GO:0006139,0.865,10.312313240516408,24,nucleobase-containing compound metabolic process,nucleobase-containing compound metabolic process
GO:0010604,2,GO:0050789,0.383,10.312313240516408,0,positive regulation of macromolecule metabolic process,regulation of biological process
GO:0043412,8,GO:0043412,0.927,10.312313240516408,3,macromolecule modification,macromolecule modification
GO:0065009,9,GO:0065009,0.983,10.312313240516408,0,regulation of molecular function,regulation of molecular function
GO:0051716,6,GO:0050896,0.727,10.312313240516408,1,cellular response to stimulus,response to stimulus
GO:0080090,2,GO:0050789,0.502,10.312313240516408,3,regulation of primary metabolic process,regulation of biological process
GO:0006725,5,GO:0071704,0.404,10.312313240516408,0,cellular aromatic compound metabolic process,organic substance metabolic process
GO:0051173,2,GO:0050789,0.371,10.312313240516408,0,positive regulation of nitrogen compound metabolic process,regulation of biological process
GO:1901360,7,GO:0006139,0.848,10.312313240516408,0,organic cyclic compound metabolic process,nucleobase-containing compound metabolic process
GO:0050790,9,GO:0065009,0.97,10.312313240516408,142,regulation of catalytic activity,regulation of molecular function
GO:0048583,6,GO:0050896,0.504,10.312313240516408,0,regulation of response to stimulus,response to stimulus
GO:0009893,2,GO:0050789,0.391,10.312313240516408,0,positive regulation of metabolic process,regulation of biological process
GO:0090304,7,GO:0006139,0.837,10.312313240516408,2,nucleic acid metabolic process,nucleobase-containing compound metabolic process
GO:0034641,5,GO:0071704,0.424,10.312313240516408,0,cellular nitrogen compound metabolic process,organic substance metabolic process
GO:1901564,5,GO:0071704,0.499,10.312313240516408,0,organonitrogen compound metabolic process,organic substance metabolic process
GO:0031325,2,GO:0050789,0.373,10.312313240516408,0,positive regulation of cellular metabolic process,regulation of biological process
GO:0046483,7,GO:0006139,0.858,10.312313240516408,0,heterocycle metabolic process,nucleobase-containing compound metabolic process
GO:0048522,2,GO:0050789,0.441,10.312313240516408,0,positive regulation of cellular process,regulation of biological process
GO:0019538,5,GO:0071704,0.459,10.312313240516408,7,protein metabolic process,organic substance metabolic process
