go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0009987,1,GO:0009987,0.337,307.6526555685888,0,cellular process,cellular process
GO:0050896,2,GO:0050896,0.824,307.6526555685888,29,response to stimulus,response to stimulus
GO:0044238,3,GO:0044238,0.696,11.057281947864553,13,primary metabolic process,primary metabolic process
GO:0044260,4,GO:0044260,0.928,11.057281947864553,3,cellular macromolecule metabolic process,cellular macromolecule metabolic process
GO:0044085,5,GO:0044085,0.964,11.057281947864553,0,cellular component biogenesis,cellular component biogenesis
GO:0022607,5,GO:0044085,0.925,11.057281947864553,0,cellular component assembly,cellular component biogenesis
GO:0043170,3,GO:0044238,0.485,11.057281947864553,2,macromolecule metabolic process,primary metabolic process
GO:0006807,3,GO:0044238,0.502,11.057281947864553,14,nitrogen compound metabolic process,primary metabolic process
GO:0032501,6,GO:0032501,0.843,11.057281947864553,2,multicellular organismal process,multicellular organismal process
GO:0071704,3,GO:0044238,0.543,11.057281947864553,30,organic substance metabolic process,primary metabolic process
GO:0050789,7,GO:0050789,0.744,11.057281947864553,0,regulation of biological process,regulation of biological process
GO:0065007,7,GO:0050789,0.688,11.057281947864553,0,biological regulation,regulation of biological process
GO:0044237,3,GO:0044238,0.51,11.057281947864553,12,cellular metabolic process,primary metabolic process
GO:0016043,5,GO:0044085,0.694,11.057281947864553,5,cellular component organization,cellular component biogenesis
GO:0051179,8,GO:0051179,0.85,11.057281947864553,7,localization,localization
GO:0071840,5,GO:0044085,0.704,11.057281947864553,0,cellular component organization or biogenesis,cellular component biogenesis
GO:0008152,3,GO:0044238,0.571,11.057281947864553,82,metabolic process,primary metabolic process
GO:0034645,4,GO:0044260,0.793,8.064565604132882,1,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process
GO:0048731,9,GO:0048731,0.965,8.064565604132882,1,system development,system development
GO:0006139,3,GO:0044238,0.518,8.064565604132882,24,nucleobase-containing compound metabolic process,primary metabolic process
GO:0048583,10,GO:0048583,0.981,8.064565604132882,0,regulation of response to stimulus,regulation of response to stimulus
GO:0032502,9,GO:0048731,0.657,8.064565604132882,13,developmental process,system development
GO:1901576,3,GO:0044238,0.369,8.064565604132882,1,organic substance biosynthetic process,primary metabolic process
GO:0050794,7,GO:0050789,0.683,8.064565604132882,0,regulation of cellular process,regulation of biological process
GO:0044249,3,GO:0044238,0.367,8.064565604132882,5,cellular biosynthetic process,primary metabolic process
GO:0009059,3,GO:0044238,0.338,8.064565604132882,0,macromolecule biosynthetic process,primary metabolic process
GO:0007275,9,GO:0048731,0.779,8.064565604132882,57,multicellular organism development,system development
GO:1901360,11,GO:1901360,0.859,8.064565604132882,0,organic cyclic compound metabolic process,organic cyclic compound metabolic process
GO:0048856,9,GO:0048731,0.713,8.064565604132882,191,anatomical structure development,system development
GO:0009058,3,GO:0044238,0.371,8.064565604132882,31,biosynthetic process,primary metabolic process
GO:0090304,3,GO:0044238,0.497,8.064565604132882,2,nucleic acid metabolic process,primary metabolic process
GO:0006725,3,GO:0044238,0.393,8.064565604132882,0,cellular aromatic compound metabolic process,primary metabolic process
GO:0006996,5,GO:0044085,0.633,8.064565604132882,11,organelle organization,cellular component biogenesis
GO:0034641,3,GO:0044238,0.412,8.064565604132882,0,cellular nitrogen compound metabolic process,primary metabolic process
GO:0051641,8,GO:0051179,0.663,8.064565604132882,0,cellular localization,localization
GO:0046483,3,GO:0044238,0.392,8.064565604132882,0,heterocycle metabolic process,primary metabolic process
