go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0031324,1,GO:0031324,0.99,307.6526555685888,0,negative regulation of cellular metabolic process,negative regulation of cellular metabolic process
GO:0031323,2,GO:0031323,0.935,307.6526555685888,0,regulation of cellular metabolic process,regulation of cellular metabolic process
GO:0065008,3,GO:0065008,0.971,307.6526555685888,5,regulation of biological quality,regulation of biological quality
GO:0032501,4,GO:0032501,0.843,307.6526555685888,2,multicellular organismal process,multicellular organismal process
GO:0046483,5,GO:0046483,0.863,307.6526555685888,0,heterocycle metabolic process,heterocycle metabolic process
GO:0033554,6,GO:0033554,0.97,307.6526555685888,1,cellular response to stress,cellular response to stress
GO:0031328,1,GO:0031324,0.558,307.6526555685888,0,positive regulation of cellular biosynthetic process,negative regulation of cellular metabolic process
GO:0042221,7,GO:0042221,0.949,307.6526555685888,1,response to chemical,response to chemical
GO:0051716,6,GO:0033554,0.684,307.6526555685888,1,cellular response to stimulus,cellular response to stress
GO:0010468,2,GO:0031323,0.823,307.6526555685888,103,regulation of gene expression,regulation of cellular metabolic process
GO:0019222,2,GO:0031323,0.86,307.6526555685888,1,regulation of metabolic process,regulation of cellular metabolic process
GO:0050896,6,GO:0033554,0.545,307.6526555685888,29,response to stimulus,cellular response to stress
GO:0034641,5,GO:0046483,0.468,307.6526555685888,0,cellular nitrogen compound metabolic process,heterocycle metabolic process
GO:0006139,5,GO:0046483,0.858,307.6526555685888,24,nucleobase-containing compound metabolic process,heterocycle metabolic process
GO:0008152,5,GO:0046483,0.418,307.6526555685888,82,metabolic process,heterocycle metabolic process
GO:0048869,8,GO:0048869,0.952,307.6526555685888,0,cellular developmental process,cellular developmental process
GO:0010646,9,GO:0010646,0.986,307.6526555685888,1,regulation of cell communication,regulation of cell communication
GO:0048856,8,GO:0048869,0.673,307.6526555685888,191,anatomical structure development,cellular developmental process
GO:1903506,5,GO:0046483,0.677,307.6526555685888,0,regulation of nucleic acid-templated transcription,heterocycle metabolic process
GO:0030154,8,GO:0048869,0.95,307.6526555685888,305,cell differentiation,cellular developmental process
GO:0006725,5,GO:0046483,0.451,307.6526555685888,0,cellular aromatic compound metabolic process,heterocycle metabolic process
GO:0048731,10,GO:0048731,0.965,307.6526555685888,1,system development,system development
GO:0051247,2,GO:0031323,0.562,307.6526555685888,0,positive regulation of protein metabolic process,regulation of cellular metabolic process
GO:0031399,2,GO:0031323,0.558,307.6526555685888,0,regulation of protein modification process,regulation of cellular metabolic process
GO:1901564,11,GO:1901564,0.842,307.6526555685888,0,organonitrogen compound metabolic process,organonitrogen compound metabolic process
GO:0006807,5,GO:0046483,0.38,307.6526555685888,14,nitrogen compound metabolic process,heterocycle metabolic process
GO:0031401,2,GO:0031323,0.511,307.6526555685888,0,positive regulation of protein modification process,regulation of cellular metabolic process
GO:1902680,1,GO:0031324,0.55,307.6526555685888,0,positive regulation of RNA biosynthetic process,negative regulation of cellular metabolic process
GO:0006996,12,GO:0006996,0.939,307.6526555685888,11,organelle organization,organelle organization
GO:0051246,2,GO:0031323,0.651,307.6526555685888,0,regulation of protein metabolic process,regulation of cellular metabolic process
