go,cluster,parent,parentSimScore,score,size,term,parentTerm
GO:0010646,1,GO:0010646,0.986,307.6526555685888,1,regulation of cell communication,regulation of cell communication
GO:0010629,2,GO:0010629,0.988,307.6526555685888,66,negative regulation of gene expression,negative regulation of gene expression
GO:0051128,3,GO:0051128,0.98,307.6526555685888,2,regulation of cellular component organization,regulation of cellular component organization
GO:0023052,4,GO:0023052,0.904,307.6526555685888,4,signaling,signaling
GO:0035295,5,GO:0035295,0.997,307.6526555685888,1,tube development,tube development
GO:0030182,6,GO:0030182,0.983,307.6526555685888,47,neuron differentiation,neuron differentiation
GO:1902679,2,GO:0010629,0.762,307.6526555685888,0,negative regulation of RNA biosynthetic process,negative regulation of gene expression
GO:0022402,7,GO:0022402,0.974,307.6526555685888,0,cell cycle process,cell cycle process
GO:0031327,2,GO:0010629,0.787,307.6526555685888,0,negative regulation of cellular biosynthetic process,negative regulation of gene expression
GO:0009628,8,GO:0009628,0.987,307.6526555685888,0,response to abiotic stimulus,response to abiotic stimulus
GO:0030111,4,GO:0023052,0.474,307.6526555685888,2,regulation of Wnt signaling pathway,signaling
GO:0048519,2,GO:0010629,0.794,307.6526555685888,0,negative regulation of biological process,negative regulation of gene expression
GO:0009889,9,GO:0009889,0.948,307.6526555685888,0,regulation of biosynthetic process,regulation of biosynthetic process
GO:0051179,10,GO:0051179,0.85,307.6526555685888,7,localization,localization
GO:0010557,11,GO:0010557,0.99,307.6526555685888,0,positive regulation of macromolecule biosynthetic process,positive regulation of macromolecule biosynthetic process
GO:0019219,9,GO:0009889,0.753,307.6526555685888,0,regulation of nucleobase-containing compound metabolic process,regulation of biosynthetic process
GO:0006355,12,GO:0006355,0.954,307.6526555685888,564,regulation of DNA-templated transcription,regulation of DNA-templated transcription
GO:0045595,13,GO:0045595,0.994,307.6526555685888,9,regulation of cell differentiation,regulation of cell differentiation
GO:0042592,14,GO:0042592,0.991,307.6526555685888,1,homeostatic process,homeostatic process
GO:0043412,15,GO:0043412,0.927,307.6526555685888,3,macromolecule modification,macromolecule modification
GO:0030855,16,GO:0030855,0.999,307.6526555685888,0,epithelial cell differentiation,epithelial cell differentiation
GO:0051716,17,GO:0051716,0.889,307.6526555685888,1,cellular response to stimulus,cellular response to stimulus
GO:0023051,4,GO:0023052,0.643,307.6526555685888,2,regulation of signaling,signaling
GO:0000278,7,GO:0022402,0.802,307.6526555685888,54,mitotic cell cycle,cell cycle process
GO:0007417,6,GO:0030182,0.627,307.6526555685888,10,central nervous system development,neuron differentiation
GO:0031328,11,GO:0010557,0.987,307.6526555685888,0,positive regulation of cellular biosynthetic process,positive regulation of macromolecule biosynthetic process
GO:0010647,1,GO:0010646,0.877,307.6526555685888,0,positive regulation of cell communication,regulation of cell communication
GO:0090087,18,GO:0090087,1,307.6526555685888,6,regulation of peptide transport,regulation of peptide transport
GO:0090304,19,GO:0090304,0.883,307.6526555685888,2,nucleic acid metabolic process,nucleic acid metabolic process
GO:0051172,2,GO:0010629,0.838,307.6526555685888,0,negative regulation of nitrogen compound metabolic process,negative regulation of gene expression
GO:0051960,20,GO:0051960,0.998,307.6526555685888,0,regulation of nervous system development,regulation of nervous system development
GO:0044260,21,GO:0044260,0.928,307.6526555685888,3,cellular macromolecule metabolic process,cellular macromolecule metabolic process
GO:0009987,22,GO:0009987,0.337,307.6526555685888,0,cellular process,cellular process
GO:0045597,13,GO:0045595,0.92,307.6526555685888,1,positive regulation of cell differentiation,regulation of cell differentiation
GO:0044249,12,GO:0006355,0.742,307.6526555685888,5,cellular biosynthetic process,regulation of DNA-templated transcription
GO:0051246,9,GO:0009889,0.631,307.6526555685888,0,regulation of protein metabolic process,regulation of biosynthetic process
GO:0010604,11,GO:0010557,0.901,307.6526555685888,0,positive regulation of macromolecule metabolic process,positive regulation of macromolecule biosynthetic process
GO:0036211,15,GO:0043412,0.91,307.6526555685888,19,protein modification process,macromolecule modification
GO:0044248,23,GO:0044248,0.966,307.6526555685888,2,cellular catabolic process,cellular catabolic process
GO:0046483,19,GO:0090304,0.829,307.6526555685888,0,heterocycle metabolic process,nucleic acid metabolic process
GO:1903508,11,GO:0010557,0.978,307.6526555685888,0,positive regulation of nucleic acid-templated transcription,positive regulation of macromolecule biosynthetic process
GO:0051049,24,GO:0051049,0.99,307.6526555685888,2,regulation of transport,regulation of transport
GO:0022412,25,GO:0022412,0.992,307.6526555685888,0,cellular process involved in reproduction in multicellular organism,cellular process involved in reproduction in multicellular organism
GO:0051234,10,GO:0051179,0.825,307.6526555685888,0,establishment of localization,localization
GO:0080090,9,GO:0009889,0.79,307.6526555685888,3,regulation of primary metabolic process,regulation of biosynthetic process
GO:0006793,26,GO:0006793,0.924,307.6526555685888,0,phosphorus metabolic process,phosphorus metabolic process
GO:0022607,27,GO:0022607,0.972,307.6526555685888,0,cellular component assembly,cellular component assembly
GO:0018130,12,GO:0006355,0.882,307.6526555685888,0,heterocycle biosynthetic process,regulation of DNA-templated transcription
GO:0006725,19,GO:0090304,0.827,307.6526555685888,0,cellular aromatic compound metabolic process,nucleic acid metabolic process
GO:0048583,28,GO:0048583,0.981,307.6526555685888,0,regulation of response to stimulus,regulation of response to stimulus
GO:0051240,20,GO:0051960,0.692,307.6526555685888,0,positive regulation of multicellular organismal process,regulation of nervous system development
GO:0008283,29,GO:0008283,0.998,307.6526555685888,1,cell population proliferation,cell population proliferation
GO:0006366,12,GO:0006355,0.858,307.6526555685888,19,transcription by RNA polymerase II,regulation of DNA-templated transcription
GO:0065009,30,GO:0065009,0.983,307.6526555685888,0,regulation of molecular function,regulation of molecular function
GO:0045944,11,GO:0010557,0.958,307.6526555685888,250,positive regulation of transcription by RNA polymerase II,positive regulation of macromolecule biosynthetic process
GO:0040008,31,GO:0040008,0.993,307.6526555685888,6,regulation of growth,regulation of growth
GO:0034645,21,GO:0044260,0.793,307.6526555685888,1,cellular macromolecule biosynthetic process,cellular macromolecule metabolic process
GO:0006807,19,GO:0090304,0.545,307.6526555685888,14,nitrogen compound metabolic process,nucleic acid metabolic process
GO:0042981,32,GO:0042981,0.997,307.6526555685888,15,regulation of apoptotic process,regulation of apoptotic process
GO:0009891,11,GO:0010557,0.987,307.6526555685888,0,positive regulation of biosynthetic process,positive regulation of macromolecule biosynthetic process
GO:0045934,2,GO:0010629,0.771,307.6526555685888,0,negative regulation of nucleobase-containing compound metabolic process,negative regulation of gene expression
GO:0010605,2,GO:0010629,0.902,307.6526555685888,0,negative regulation of macromolecule metabolic process,negative regulation of gene expression
GO:0010564,7,GO:0022402,0.834,307.6526555685888,2,regulation of cell cycle process,cell cycle process
GO:0002376,33,GO:0002376,0.99,307.6526555685888,24,immune system process,immune system process
GO:0035556,1,GO:0010646,0.511,307.6526555685888,169,intracellular signal transduction,regulation of cell communication
GO:0032502,6,GO:0030182,0.579,307.6526555685888,13,developmental process,neuron differentiation
GO:0048468,6,GO:0030182,0.744,307.6526555685888,6,cell development,neuron differentiation
GO:0035239,5,GO:0035295,0.938,307.6526555685888,0,tube morphogenesis,tube development
GO:0007346,7,GO:0022402,0.675,307.6526555685888,8,regulation of mitotic cell cycle,cell cycle process
GO:0051094,13,GO:0045595,0.743,307.6526555685888,1,positive regulation of developmental process,regulation of cell differentiation
GO:0031400,9,GO:0009889,0.466,307.6526555685888,0,negative regulation of protein modification process,regulation of biosynthetic process
GO:0016043,3,GO:0051128,0.653,307.6526555685888,5,cellular component organization,regulation of cellular component organization
GO:0051276,3,GO:0051128,0.481,307.6526555685888,11,chromosome organization,regulation of cellular component organization
GO:1903047,7,GO:0022402,0.884,307.6526555685888,0,mitotic cell cycle process,cell cycle process
GO:0044085,27,GO:0022607,0.925,307.6526555685888,0,cellular component biogenesis,cellular component assembly
GO:0009892,2,GO:0010629,0.896,307.6526555685888,0,negative regulation of metabolic process,negative regulation of gene expression
GO:0009725,17,GO:0051716,0.32,307.6526555685888,1,response to hormone,cellular response to stimulus
GO:0050767,20,GO:0051960,0.974,307.6526555685888,10,regulation of neurogenesis,regulation of nervous system development
GO:0009058,12,GO:0006355,0.732,307.6526555685888,31,biosynthetic process,regulation of DNA-templated transcription
GO:0008152,19,GO:0090304,0.397,307.6526555685888,82,metabolic process,nucleic acid metabolic process
GO:0071840,3,GO:0051128,0.632,307.6526555685888,0,cellular component organization or biogenesis,regulation of cellular component organization
GO:0048523,2,GO:0010629,0.743,307.6526555685888,0,negative regulation of cellular process,negative regulation of gene expression
GO:0043067,32,GO:0042981,0.983,307.6526555685888,3,regulation of programmed cell death,regulation of apoptotic process
GO:0007154,1,GO:0010646,0.64,307.6526555685888,19,cell communication,regulation of cell communication
GO:0042221,34,GO:0042221,0.949,307.6526555685888,1,response to chemical,response to chemical
GO:0016192,35,GO:0016192,0.974,307.6526555685888,139,vesicle-mediated transport,vesicle-mediated transport
GO:0007276,25,GO:0022412,0.838,307.6526555685888,19,gamete generation,cellular process involved in reproduction in multicellular organism
GO:0065007,11,GO:0010557,0.307,307.6526555685888,0,biological regulation,positive regulation of macromolecule biosynthetic process
GO:0048731,6,GO:0030182,0.87,307.6526555685888,1,system development,neuron differentiation
GO:0008544,16,GO:0030855,0.681,307.6526555685888,9,epidermis development,epithelial cell differentiation
GO:0003006,25,GO:0022412,0.7,307.6526555685888,1,developmental process involved in reproduction,cellular process involved in reproduction in multicellular organism
GO:0051239,20,GO:0051960,0.751,307.6526555685888,4,regulation of multicellular organismal process,regulation of nervous system development
GO:0050896,17,GO:0051716,0.727,307.6526555685888,29,response to stimulus,cellular response to stimulus
GO:0045893,11,GO:0010557,0.978,307.6526555685888,50,positive regulation of DNA-templated transcription,positive regulation of macromolecule biosynthetic process
GO:0010941,32,GO:0042981,0.961,307.6526555685888,1,regulation of cell death,regulation of apoptotic process
GO:0006810,10,GO:0051179,0.818,307.6526555685888,32,transport,localization
GO:1901987,7,GO:0022402,0.761,307.6526555685888,0,regulation of cell cycle phase transition,cell cycle process
GO:1901360,36,GO:1901360,0.859,307.6526555685888,0,organic cyclic compound metabolic process,organic cyclic compound metabolic process
GO:0071310,34,GO:0042221,0.769,307.6526555685888,0,cellular response to organic substance,response to chemical
GO:0022414,25,GO:0022412,0.765,307.6526555685888,11,reproductive process,cellular process involved in reproduction in multicellular organism
GO:0019438,12,GO:0006355,0.885,307.6526555685888,0,aromatic compound biosynthetic process,regulation of DNA-templated transcription
GO:0010628,11,GO:0010557,0.766,307.6526555685888,104,positive regulation of gene expression,positive regulation of macromolecule biosynthetic process
GO:0003002,6,GO:0030182,0.46,307.6526555685888,0,regionalization,neuron differentiation
GO:1901700,34,GO:0042221,0.682,307.6526555685888,0,response to oxygen-containing compound,response to chemical
GO:0070201,24,GO:0051049,0.733,307.6526555685888,0,regulation of establishment of protein localization,regulation of transport
GO:0045935,11,GO:0010557,0.818,307.6526555685888,0,positive regulation of nucleobase-containing compound metabolic process,positive regulation of macromolecule biosynthetic process
GO:0032880,24,GO:0051049,0.831,307.6526555685888,35,regulation of protein localization,regulation of transport
GO:1901564,37,GO:1901564,0.842,307.6526555685888,0,organonitrogen compound metabolic process,organonitrogen compound metabolic process
GO:0051247,9,GO:0009889,0.547,307.6526555685888,0,positive regulation of protein metabolic process,regulation of biosynthetic process
GO:0031325,11,GO:0010557,0.86,307.6526555685888,0,positive regulation of cellular metabolic process,positive regulation of macromolecule biosynthetic process
GO:0019538,37,GO:1901564,0.788,307.6526555685888,7,protein metabolic process,organonitrogen compound metabolic process
GO:0016070,19,GO:0090304,0.841,307.6526555685888,19,RNA metabolic process,nucleic acid metabolic process
GO:0010558,2,GO:0010629,0.792,307.6526555685888,0,negative regulation of macromolecule biosynthetic process,negative regulation of gene expression
GO:1903506,12,GO:0006355,0.954,307.6526555685888,0,regulation of nucleic acid-templated transcription,regulation of DNA-templated transcription
GO:0051173,11,GO:0010557,0.858,307.6526555685888,0,positive regulation of nitrogen compound metabolic process,positive regulation of macromolecule biosynthetic process
GO:0048598,6,GO:0030182,0.503,307.6526555685888,43,embryonic morphogenesis,neuron differentiation
GO:0034654,12,GO:0006355,0.891,307.6526555685888,1,nucleobase-containing compound biosynthetic process,regulation of DNA-templated transcription
GO:2001141,12,GO:0006355,0.954,307.6526555685888,0,regulation of RNA biosynthetic process,regulation of DNA-templated transcription
GO:0044238,19,GO:0090304,0.497,307.6526555685888,13,primary metabolic process,nucleic acid metabolic process
GO:0010033,34,GO:0042221,0.797,307.6526555685888,3,response to organic substance,response to chemical
GO:0007049,7,GO:0022402,0.911,307.6526555685888,179,cell cycle,cell cycle process
GO:0048584,28,GO:0048583,0.868,307.6526555685888,0,positive regulation of response to stimulus,regulation of response to stimulus
GO:0009966,1,GO:0010646,0.956,307.6526555685888,14,regulation of signal transduction,regulation of cell communication
GO:0051223,24,GO:0051049,0.795,307.6526555685888,1,regulation of protein transport,regulation of transport
GO:0051171,9,GO:0009889,0.788,307.6526555685888,3,regulation of nitrogen compound metabolic process,regulation of biosynthetic process
