GO,GO:0009987,GO:0006508,GO:0006807,GO:0008152,GO:0019538,GO:0043170,GO:0044237,GO:0044238,GO:0071704,GO:1901564,GO:0000209,GO:0006511,GO:0009056,GO:0009057,GO:0010498,GO:0016567,GO:0019941,GO:0030163,GO:0032446,GO:0036211,GO:0043161,GO:0043412,GO:0043632,GO:0044248,GO:0044260,GO:0044265,GO:0051603,GO:0051865,GO:0070647,GO:1901565,GO:1901575,GO:0006996,GO:0016043,GO:0071840,GO:0003341,GO:0007017,GO:0007018,GO:0030030,GO:0044782,GO:0120036,GO:0006810,GO:0006892,GO:0006895,GO:0007010,GO:0008582,GO:0010033,GO:0010941,GO:0016192,GO:0016482,GO:0034097,GO:0040008,GO:0042221,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043687,GO:0044087,GO:0045926,GO:0046907,GO:0048193,GO:0048519,GO:0048523,GO:0048638,GO:0048640,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0051093,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051641,GO:0051649,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0060548,GO:0065007,GO:0065008,GO:1904396,GO:1905809,GO:2000026,GO:0006518,GO:0034641,GO:0043603
GO:0009987,0.337,0,0,0,0,0,0.167,0,0,0,0,0.054,0,0,0,0,0.055,0,0,0,0.05,0,0.055,0.073,0.091,0.061,0,0,0,0,0,0.087,0.104,0.107,0.032,0.062,0.048,0.065,0.049,0.064,0,0,0.028,0.065,0.036,0,0.048,0,0.042,0,0,0,0.045,0.04,0.046,0.041,0,0.048,0,0.066,0,0,0.068,0,0,0,0,0.138,0,0.042,0,0,0.064,0.046,0,0,0,0,0.082,0.071,0,0,0.039,0.028,0.042,0,0,0.036,0.028,0,0.067,0.124,0.069
GO:0006508,0,0.966,0.399,0.284,0.672,0.432,0.268,0.362,0.327,0.594,0.387,0.812,0.19,0.285,0.784,0.451,0.814,0.484,0.46,0.606,0.768,0.343,0.258,0.183,0.342,0.275,0.841,0.307,0.474,0.429,0.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437,0.358,0.268
GO:0006807,0,0.399,0.725,0.546,0.551,0.466,0.49,0.502,0.52,0.596,0.252,0.313,0.28,0.243,0.299,0.307,0.314,0.338,0.315,0.468,0.291,0.319,0.211,0.266,0.318,0.231,0.328,0.189,0.329,0.362,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.372,0.599,0.384
GO:0008152,0,0.284,0.546,0.628,0.402,0.526,0.555,0.571,0.595,0.438,0.175,0.22,0.3,0.258,0.209,0.215,0.22,0.238,0.221,0.337,0.203,0.345,0.222,0.284,0.344,0.244,0.231,0.129,0.231,0.256,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,0.441,0.272
GO:0019538,0,0.672,0.551,0.402,0.878,0.592,0.371,0.503,0.459,0.788,0.448,0.545,0.236,0.347,0.522,0.535,0.546,0.582,0.548,0.768,0.51,0.437,0.307,0.226,0.436,0.332,0.568,0.344,0.568,0.521,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.533,0.475,0.329
GO:0043170,0,0.432,0.466,0.526,0.592,0.748,0.473,0.485,0.593,0.456,0.274,0.34,0.274,0.395,0.325,0.333,0.341,0.366,0.342,0.504,0.316,0.516,0.344,0.261,0.515,0.376,0.356,0.206,0.357,0.28,0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288,0.388,0.251
GO:0044237,0.167,0.268,0.49,0.555,0.371,0.473,0.714,0.51,0.529,0.401,0.168,0.301,0.282,0.245,0.2,0.206,0.302,0.226,0.211,0.314,0.279,0.322,0.305,0.385,0.461,0.334,0.22,0.126,0.22,0.243,0.271,0.069,0.079,0.081,0.029,0.052,0.042,0.054,0.043,0.053,0,0,0.026,0.054,0.032,0,0.042,0,0.037,0,0,0,0.04,0.036,0.04,0.036,0.131,0.042,0,0.055,0,0,0.057,0,0,0,0,0.097,0,0.037,0,0,0.053,0.041,0,0,0,0,0.066,0.058,0,0,0.035,0.026,0.037,0,0,0.032,0.026,0,0.358,0.58,0.369
GO:0044238,0,0.362,0.502,0.571,0.503,0.485,0.51,0.696,0.543,0.41,0.226,0.282,0.286,0.248,0.269,0.277,0.283,0.305,0.284,0.425,0.262,0.327,0.215,0.271,0.326,0.235,0.296,0.169,0.296,0.246,0.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253,0.412,0.261
GO:0071704,0,0.327,0.52,0.595,0.459,0.593,0.529,0.543,0.668,0.499,0.203,0.255,0.292,0.298,0.242,0.249,0.255,0.275,0.256,0.386,0.235,0.396,0.258,0.277,0.395,0.283,0.267,0.151,0.267,0.296,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,0.424,0.266
GO:1901564,0,0.594,0.596,0.438,0.788,0.456,0.401,0.41,0.499,0.842,0.39,0.477,0.248,0.259,0.457,0.468,0.479,0.511,0.48,0.684,0.445,0.33,0.228,0.237,0.329,0.247,0.498,0.297,0.498,0.545,0.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.558,0.508,0.344
GO:0000209,0,0.387,0.252,0.175,0.448,0.274,0.168,0.226,0.203,0.39,0.998,0.341,0.134,0.206,0.333,0.87,0.342,0.356,0.853,0.571,0.327,0.553,0.192,0.131,0.235,0.201,0.35,0.645,0.825,0.311,0.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315,0.235,0.192
GO:0006511,0.054,0.812,0.313,0.22,0.545,0.34,0.301,0.282,0.255,0.477,0.341,0.991,0.772,0.882,0.902,0.39,0.988,0.938,0.396,0.5,0.944,0.283,0.982,0.813,0.667,0.919,0.958,0.278,0.407,0.887,0.803,0.037,0.04,0.04,0.021,0.032,0.028,0.032,0.028,0.032,0,0,0.02,0.032,0.023,0,0.028,0,0.025,0,0,0,0.027,0.025,0.027,0.025,0.285,0.028,0,0.033,0,0,0.033,0,0,0,0,0.044,0,0.025,0,0,0.032,0.027,0,0,0,0,0.036,0.034,0,0,0.024,0.02,0.025,0,0,0.023,0.02,0,0.37,0.287,0.226
GO:0009056,0,0.19,0.28,0.3,0.236,0.274,0.282,0.286,0.292,0.248,0.134,0.772,0.958,0.865,0.745,0.156,0.774,0.817,0.16,0.212,0.729,0.216,0.779,0.924,0.215,0.833,0.8,0.106,0.165,0.861,0.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,0.249,0.184
