GO,GO:0000003,GO:0000280,GO:0003006,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0007049,GO:0007140,GO:0007276,GO:0007281,GO:0007283,GO:0008152,GO:0008283,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0016043,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0032504,GO:0034248,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044703,GO:0048137,GO:0048232,GO:0048285,GO:0048468,GO:0048515,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051301,GO:0051321,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0140013,GO:1901564,GO:1901566,GO:1901576,GO:1903046,GO:2000112
GO:0000003,0.955,0,0.844,0,0,0,0,0,0,0,0.521,0.781,0.727,0.646,0,0,0,0,0,0,0,0,0,0,0,0,0,0.794,0,0.75,0.943,0,0,0,0,0,0.839,0,0,0,0,0,0,0,0,0,0,0,0,0.537,0.433,0.653,0,0,0.549,0.788,0,0,0,0,0,0,0,0.775,0,0,0,0,0,0.713,0,0,0,0.739,0
GO:0000280,0,0.989,0,0.033,0.027,0.028,0.034,0,0.72,0.036,0.696,0,0.029,0,0,0.026,0,0,0,0.057,0,0,0,0,0.6,0,0,0,0.034,0.03,0,0.037,0.038,0.037,0,0,0,0.028,0.044,0.035,0.033,0,0.034,0.033,0.048,0,0.041,0.039,0.04,0,0.018,0,0.982,0.034,0.023,0,0,0.037,0,0.046,0,0,0.03,0.031,0,0,0,0.58,0,0.916,0,0,0,0.03,0.028
GO:0003006,0.844,0,0.98,0,0,0,0,0,0,0,0.5,0.726,0.857,0.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715,0,0.7,0.859,0.508,0,0,0,0.594,0.752,0,0,0,0,0,0,0,0,0,0,0,0,0.515,0.53,0.617,0,0.464,0.662,0.732,0.575,0.509,0,0,0,0,0,0.721,0,0,0,0,0,0.669,0,0,0,0.691,0
GO:0006412,0,0.033,0,0.981,0.798,0.838,0.947,0.356,0.041,0.038,0.023,0,0.031,0,0.251,0.028,0.626,0.709,0.555,0.063,0.613,0.562,0.66,0.421,0.045,0.195,0.609,0,0.036,0.032,0,0.04,0.267,0.566,0,0,0,0.752,0.531,0.912,0.979,0.386,0.924,0.966,0.343,0.322,0.635,0.739,0.701,0,0.019,0,0.033,0.036,0.024,0,0,0.04,0,0.05,0.281,0.458,0.032,0.033,0.319,0,0.291,0.045,0.25,0.03,0.536,0.836,0.629,0.031,0.736
GO:0006413,0,0.027,0,0.798,0.997,0.701,0.767,0.265,0.032,0.031,0.02,0,0.026,0,0.184,0.023,0.483,0.553,0.439,0.045,0.472,0.442,0.523,0.35,0.035,0.152,0.469,0,0.029,0.026,0,0.031,0.21,0.449,0,0,0,0.629,0.404,0.734,0.796,0.288,0.745,0.785,0.254,0.238,0.491,0.58,0.547,0,0.017,0,0.027,0.029,0.021,0,0,0.032,0,0.038,0.221,0.374,0.027,0.027,0.249,0,0.214,0.035,0.196,0.025,0.409,0.665,0.486,0.026,0.616
GO:0006417,0,0.028,0,0.838,0.701,0.995,0.805,0.283,0.034,0.032,0.02,0,0.027,0,0.197,0.024,0.512,0.586,0.676,0.048,0.501,0.621,0.679,0.951,0.037,0.573,0.498,0,0.031,0.027,0,0.033,0.635,0.677,0,0,0,0.994,0.43,0.772,0.835,0.308,0.783,0.824,0.272,0.255,0.521,0.613,0.579,0,0.017,0,0.028,0.031,0.021,0,0,0.033,0.303,0.37,0.627,0.855,0.028,0.028,0.584,0.274,0.229,0.037,0.624,0.026,0.435,0.701,0.515,0.027,0.993
GO:0006518,0,0.034,0,0.947,0.767,0.805,0.976,0.372,0.042,0.039,0.023,0,0.032,0,0.263,0.028,0.211,0.236,0.186,0.067,0.251,0.23,0.22,0.171,0.046,0.202,0.533,0,0.037,0.033,0,0.041,0.276,0.267,0,0,0,0.771,0.553,0.246,0.949,0.288,0.952,0.918,0.358,0.253,0.301,0.281,0.496,0,0.019,0,0.034,0.037,0.024,0,0,0.041,0,0.052,0.291,0.398,0.033,0.034,0.236,0,0.304,0.047,0.194,0.031,0.558,0.457,0.249,0.032,0.198
GO:0006807,0,0,0,0.356,0.265,0.283,0.372,0.725,0,0,0,0,0,0,0.546,0,0.36,0.329,0.294,0,0.365,0.315,0.293,0.201,0,0.334,0.551,0,0,0,0,0,0.309,0.293,0,0,0,0.283,0.599,0.259,0.357,0.466,0.384,0.363,0.49,0.502,0.356,0.318,0.498,0,0,0,0,0,0,0,0,0,0,0,0.47,0.347,0,0,0.329,0,0.52,0,0.314,0,0.596,0.427,0.359,0,0.189
GO:0006996,0,0.72,0,0.041,0.032,0.034,0.042,0,0.939,0.046,0.474,0,0.035,0,0,0.031,0,0,0,0.087,0,0,0,0,0.801,0,0,0,0.043,0.037,0,0.048,0.05,0.048,0,0,0,0.034,0.06,0.044,0.041,0,0.043,0.042,0.069,0,0.056,0.051,0.053,0,0.021,0,0.726,0.043,0.026,0,0,0.048,0,0.063,0,0,0.037,0.038,0,0,0,0.778,0,0.656,0,0,0,0.036,0.034
GO:0007049,0,0.036,0,0.038,0.031,0.032,0.039,0,0.046,0.963,0.548,0,0.033,0,0,0.03,0,0,0,0.075,0,0,0,0,0.05,0,0,0,0.911,0.034,0,0.044,0.046,0.044,0,0,0,0.032,0.054,0.041,0.038,0,0.04,0.039,0.061,0,0.05,0.047,0.048,0,0.02,0,0.036,0.04,0.025,0,0,0.044,0,0.057,0,0,0.035,0.809,0,0,0,0.051,0,0.746,0,0,0,0.773,0.032
GO:0007140,0.521,0.696,0.5,0.023,0.02,0.02,0.023,0,0.474,0.548,1,0.695,0.714,0.83,0,0.019,0,0,0,0.032,0,0,0,0,0.384,0,0,0.682,0.599,0.728,0.533,0.025,0.025,0.025,0.308,0,0.635,0.02,0.027,0.024,0.023,0,0.023,0.023,0.029,0,0.026,0.025,0.026,0.376,0.632,0.836,0.69,0.023,0.746,0.687,0,0.025,0,0.028,0,0,0.021,0.701,0,0,0,0.37,0,0.768,0,0,0,0.739,0.02
GO:0007276,0.781,0,0.726,0,0,0,0,0,0,0,0.695,0.989,0.93,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0.974,0,0.838,0.796,0,0,0,0.493,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0.491,0.589,0.848,0,0,0.729,0.98,0,0,0,0,0,0,0,0.676,0,0,0,0,0,0.63,0,0,0,0.65,0
GO:0007281,0.727,0.029,0.857,0.031,0.026,0.027,0.032,0,0.035,0.033,0.714,0.93,0.994,0.797,0,0.025,0,0,0,0.051,0,0,0,0,0.038,0,0,0.915,0.032,0.966,0.741,0.715,0.036,0.035,0.452,0.499,0.862,0.027,0.04,0.032,0.031,0,0.032,0.031,0.044,0,0.038,0.036,0.037,0.47,0.608,0.804,0.029,0.825,0.747,0.921,0.546,0.713,0,0.042,0,0,0.029,0.636,0,0,0,0.038,0,0.595,0,0,0,0.613,0.027
GO:0007283,0.646,0,0.769,0,0,0,0,0,0,0,0.83,0.84,0.797,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,0,0.715,0.659,0.388,0,0,0.394,0.436,0.775,0,0,0,0,0,0,0,0,0,0,0,0,0.436,0.728,0.989,0,0.362,0.881,0.832,0.426,0.388,0,0,0,0,0,0.575,0,0,0,0,0,0.541,0,0,0,0.556,0
GO:0008152,0,0,0,0.251,0.184,0.197,0.263,0.546,0,0,0,0,0,0,0.628,0,0.394,0.357,0.316,0,0.4,0.34,0.315,0.212,0,0.363,0.402,0,0,0,0,0,0.334,0.316,0,0,0,0.198,0.441,0.276,0.252,0.526,0.272,0.257,0.555,0.571,0.39,0.344,0.36,0,0,0,0,0,0,0,0,0,0,0,0.338,0.245,0,0,0.358,0,0.595,0,0.339,0,0.438,0.305,0.393,0,0.198
GO:0008283,0,0.026,0,0.028,0.023,0.024,0.028,0,0.031,0.03,0.019,0,0.025,0,0,0.998,0,0,0,0.043,0,0,0,0,0.033,0,0,0,0.028,0.025,0,0.03,0.031,0.031,0,0,0,0.024,0.035,0.029,0.028,0,0.029,0.028,0.038,0,0.033,0.032,0.032,0,0.017,0,0.026,0.028,0.02,0,0,0.03,0,0.036,0,0,0.026,0.026,0,0,0,0.034,0,0.025,0,0,0,0.025,0.024
