GO,GO:0009987,GO:0050896,GO:0051179,GO:0016043,GO:0022607,GO:0044085,GO:0071840,GO:0032501,GO:0050789,GO:0065007,GO:0006807,GO:0008152,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0071704,GO:0051641,GO:0048583,GO:0050794,GO:0007275,GO:0032502,GO:0048731,GO:0048856,GO:0006996,GO:0048518,GO:0009058,GO:0009059,GO:0034645,GO:0044249,GO:1901576,GO:0006139,GO:0006725,GO:0034641,GO:0046483,GO:0090304,GO:1901360,GO:0006810,GO:0007399,GO:0009628,GO:0021700,GO:0022008,GO:0030154,GO:0046907,GO:0048519,GO:0048523,GO:0048699,GO:0048869,GO:0051128,GO:0051234,GO:0051649,GO:0009966,GO:0010646,GO:0023051,GO:0051056,GO:0065009,GO:1902531,GO:0009056,GO:0033036,GO:0044248,GO:0070727,GO:0070925,GO:0048522,GO:0051716,GO:0003008,GO:0050877,GO:0000003,GO:0000278,GO:0003006,GO:0007049,GO:0009790,GO:0009792,GO:0022402,GO:0022414,GO:0048513,GO:1903047,GO:0051239,GO:0002376,GO:0010467,GO:0016070,GO:0006811,GO:0006812,GO:0006816,GO:0009581,GO:0009582,GO:0009605,GO:0009612,GO:0010721,GO:0010975,GO:0010977,GO:0016192,GO:0016197,GO:0016482,GO:0022404,GO:0030001,GO:0031344,GO:0031345,GO:0032483,GO:0034220,GO:0042147,GO:0042303,GO:0042335,GO:0043473,GO:0045595,GO:0045596,GO:0045664,GO:0046578,GO:0050767,GO:0050768,GO:0050793,GO:0050982,GO:0051093,GO:0051129,GO:0051241,GO:0051606,GO:0051960,GO:0051961,GO:0055085,GO:0060284,GO:0070588,GO:0098655,GO:0098660,GO:0098662,GO:0120035,GO:2000026,GO:0000045,GO:0000422,GO:0006497,GO:0006914,GO:0007005,GO:0007033,GO:0008104,GO:0016236,GO:0019538,GO:0022411,GO:0034497,GO:0036211,GO:0042157,GO:0042158,GO:0043412,GO:0044804,GO:0061726,GO:0061919,GO:1901564,GO:1901566,GO:1903008,GO:1905037,GO:0000212,GO:0000226,GO:0000280,GO:0000956,GO:0001556,GO:0001654,GO:0001775,GO:0002682,GO:0002697,GO:0002700,GO:0002759,GO:0002784,GO:0002831,GO:0002920,GO:0006378,GO:0006396,GO:0006397,GO:0006401,GO:0006402,GO:0006403,GO:0006997,GO:0007010,GO:0007017,GO:0007051,GO:0007052,GO:0007097,GO:0007143,GO:0007276,GO:0007281,GO:0007292,GO:0007338,GO:0007343,GO:0007417,GO:0007420,GO:0007423,GO:0007610,GO:0007611,GO:0007613,GO:0007616,GO:0008298,GO:0008334,GO:0009057,GO:0009314,GO:0009416,GO:0009566,GO:0009889,GO:0009892,GO:0009894,GO:0009895,GO:0009994,GO:0010468,GO:0010564,GO:0010605,GO:0010608,GO:0010629,GO:0010638,GO:0016071,GO:0019219,GO:0019222,GO:0019439,GO:0019953,GO:0022412,GO:0030182,GO:0031123,GO:0031124,GO:0031323,GO:0031324,GO:0031326,GO:0031329,GO:0031330,GO:0032101,GO:0032504,GO:0033043,GO:0034248,GO:0034655,GO:0035046,GO:0040020,GO:0043010,GO:0043487,GO:0043489,GO:0043631,GO:0044265,GO:0044270,GO:0044703,GO:0045787,GO:0045836,GO:0045934,GO:0046700,GO:0048284,GO:0048285,GO:0048468,GO:0048469,GO:0048477,GO:0048599,GO:0048609,GO:0050776,GO:0050890,GO:0051130,GO:0051171,GO:0051172,GO:0051225,GO:0051252,GO:0051253,GO:0051302,GO:0051321,GO:0051445,GO:0051446,GO:0051640,GO:0051647,GO:0051656,GO:0051726,GO:0051783,GO:0051785,GO:0060255,GO:0060322,GO:0060631,GO:0060903,GO:0065008,GO:0071044,GO:0071214,GO:0071478,GO:0071482,GO:0071695,GO:0080090,GO:0090068,GO:0090306,GO:0104004,GO:0140013,GO:1901361,GO:1901575,GO:1902369,GO:1902850,GO:1903046,GO:2000241,GO:2000243,GO:2000625,GO:2000628,GO:2000629,GO:0007154,GO:0007165,GO:0007186,GO:0010941,GO:0010942,GO:0016477,GO:0023052,GO:0030030,GO:0030031,GO:0030032,GO:0030334,GO:0032879,GO:0040011,GO:0040012,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0046847,GO:0048870,GO:0097581,GO:0120031,GO:0120036,GO:2000145,GO:0007600,GO:0019233,GO:0000082,GO:0006259,GO:0006260,GO:0006325,GO:0006334,GO:0006335,GO:0006338,GO:0007548,GO:0008283,GO:0008406,GO:0008584,GO:0009719,GO:0009725,GO:0010033,GO:0014070,GO:0033993,GO:0034728,GO:0042221,GO:0043486,GO:0043933,GO:0044770,GO:0044772,GO:0044843,GO:0045137,GO:0046546,GO:0046661,GO:0048608,GO:0051276,GO:0061458,GO:0065003,GO:0065004,GO:0071103,GO:0071824,GO:1901700,GO:0001817,GO:0001819,GO:0006351,GO:0006950,GO:0006952,GO:0006955,GO:0018130,GO:0019438,GO:0032479,GO:0032481,GO:0032648,GO:0032728,GO:0032774,GO:0034654,GO:0044271,GO:0045087,GO:0051240,GO:0097659,GO:1901362
GO:0009987,0.337,0,0,0.104,0.069,0.074,0.107,0,0,0,0,0,0,0.167,0,0.091,0,0.082,0,0.138,0,0,0,0,0.087,0,0,0,0.071,0.106,0,0.115,0.116,0.124,0.116,0.109,0,0,0,0,0,0.065,0.08,0.066,0,0.068,0.064,0.081,0.064,0,0.071,0.056,0.06,0,0.04,0,0.049,0,0,0.073,0.07,0.057,0.076,0.106,0,0,0,0.06,0,0.075,0,0,0.068,0,0,0.057,0,0,0,0.1,0,0,0,0,0,0,0,0.037,0.048,0.037,0,0.045,0.042,0,0,0.049,0.038,0.027,0.068,0.037,0,0,0,0.05,0.039,0.035,0.039,0.041,0.036,0,0,0,0.046,0,0,0,0,0.078,0.044,0.041,0.059,0.06,0.057,0.049,0,0.039,0.037,0.042,0.05,0.051,0.043,0.07,0.044,0,0.049,0.03,0,0,0.042,0,0.034,0.037,0.05,0,0,0.039,0.039,0.034,0.056,0.057,0.045,0.038,0,0.03,0,0,0,0,0,0,0,0.036,0.07,0.057,0.049,0.047,0,0.043,0.065,0.062,0.045,0.041,0.038,0.036,0,0.051,0,0,0.03,0,0,0,0,0,0,0,0.027,0.03,0,0,0,0,0,0,0,0,0.044,0,0.052,0,0,0,0.042,0.061,0.082,0,0.054,0,0.053,0.062,0.045,0.039,0.088,0.056,0.082,0.047,0.036,0,0,0.053,0.049,0.053,0.032,0.034,0,0.04,0.032,0.037,0.061,0.054,0,0.044,0.032,0.051,0.054,0.041,0.057,0.067,0.04,0.048,0.044,0,0,0,0.051,0,0,0.04,0.081,0.049,0.041,0.056,0.039,0.037,0,0,0,0.056,0.04,0.034,0,0,0.03,0.028,0,0.025,0.037,0.036,0.033,0,0,0.041,0.027,0.037,0.049,0,0,0.033,0.047,0.052,0,0,0.025,0.027,0.025,0.101,0.096,0.067,0.048,0.042,0.054,0,0.065,0.048,0.03,0.045,0,0,0,0.045,0.039,0.046,0.04,0.03,0.054,0.03,0.047,0.064,0.046,0,0,0.035,0.065,0.049,0.05,0.035,0.03,0.045,0,0.043,0,0,0,0,0,0,0,0.037,0,0.031,0.06,0.047,0.043,0.037,0,0,0,0,0.057,0,0.058,0.041,0.04,0.042,0,0,0,0.082,0,0,0,0.088,0.088,0,0,0,0,0.082,0.087,0.097,0,0,0.082,0
GO:0050896,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469,0,0,0,0,0,0,0,0,0,0,0,0.459,0,0,0.345,0,0.412,0,0,0,0,0,0,0.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351,0.351,0.563,0.372,0,0,0,0,0,0,0,0,0,0,0.247,0,0,0,0,0,0,0,0,0.341,0,0,0,0.324,0,0,0,0.431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268,0.268,0.317,0.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374,0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.322,0.314,0.292,0,0,0,0,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0.68,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411,0.338,0.491,0.354,0.268,0,0.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408,0,0,0,0.626,0.491,0.447,0,0,0,0,0,0,0,0,0,0.444,0,0,0
GO:0051179,0,0,0.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818,0,0,0,0,0,0.569,0,0,0,0,0,0.825,0.599,0,0,0,0,0,0,0,0.621,0,0.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664,0.571,0.424,0,0,0,0,0,0,0,0.583,0.421,0.397,0,0.539,0,0,0,0.583,0.358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642,0,0.395,0.523,0.527,0.512,0,0,0,0,0,0,0,0,0.592,0,0,0,0.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.404,0,0,0,0,0,0.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497,0.374,0.472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0016043,0.104,0,0,0.896,0.692,0.694,0.871,0,0,0,0,0,0,0.079,0,0.057,0,0.053,0,0.072,0,0,0,0,0.801,0,0,0,0.048,0.062,0,0.065,0.065,0.068,0.065,0.063,0,0,0,0,0,0.045,0.052,0.046,0,0.047,0.045,0.052,0.653,0,0.048,0.041,0.043,0,0.031,0,0.037,0,0,0.049,0.048,0.602,0.051,0.062,0,0,0,0.043,0,0.05,0,0,0.047,0,0,0.042,0,0,0,0.06,0,0,0,0,0,0,0,0.029,0.529,0.434,0,0.034,0.033,0,0,0.541,0.44,0.023,0.047,0.03,0,0,0,0.037,0.031,0.028,0.031,0.032,0.029,0,0,0,0.516,0,0,0,0,0.051,0.034,0.032,0.042,0.043,0.042,0.538,0,0.447,0.435,0.033,0.038,0.552,0.485,0.048,0.034,0,0.536,0.361,0,0,0.033,0,0.028,0.435,0.038,0,0,0.454,0.447,0.407,0.599,0.6,0.034,0.03,0,0.025,0,0,0,0,0,0,0,0.029,0.048,0.041,0.037,0.036,0,0.485,0.662,0.044,0.507,0.471,0.03,0.424,0,0.038,0,0,0.025,0,0,0,0,0,0,0,0.023,0.025,0,0,0,0,0,0,0,0,0.034,0,0.039,0,0,0,0.478,0.043,0.053,0,0.04,0,0.039,0.044,0.035,0.031,0.056,0.041,0.053,0.036,0.029,0,0,0.571,0.037,0.039,0.027,0.405,0,0.032,0.026,0.029,0.044,0.039,0,0.034,0.384,0.038,0.039,0.473,0.605,0.047,0.032,0.036,0.034,0,0,0,0.557,0,0,0.462,0.053,0.037,0.032,0.041,0.031,0.03,0,0,0,0.041,0.457,0.407,0,0,0.361,0.345,0,0.022,0.029,0.029,0.027,0,0,0.032,0.333,0.029,0.542,0,0,0.027,0.521,0.039,0,0,0.022,0.023,0.022,0.06,0.059,0.046,0.036,0.033,0.04,0,0.66,0.529,0.361,0.035,0,0,0,0.035,0.031,0.035,0.032,0.361,0.04,0.361,0.526,0.652,0.035,0,0,0.028,0.045,0.037,0.548,0.417,0.361,0.507,0,0.033,0,0,0,0,0,0,0,0.435,0,0.372,0.624,0.036,0.034,0.029,0,0,0,0,0.601,0,0.608,0.47,0.465,0.479,0,0,0,0.053,0,0,0,0.055,0.055,0,0,0,0,0.053,0.055,0.059,0,0,0.053,0
GO:0022607,0.069,0,0,0.692,0.972,0.925,0.67,0,0,0,0,0,0,0.057,0,0.045,0,0.042,0,0.053,0,0,0,0,0.634,0,0,0,0.039,0.048,0,0.05,0.05,0.051,0.05,0.048,0,0,0,0,0,0.037,0.042,0.038,0,0.038,0.037,0.042,0.538,0,0.039,0.034,0.035,0,0.027,0,0.031,0,0,0.04,0.039,0.866,0.041,0.048,0,0,0,0.035,0,0.04,0,0,0.038,0,0,0.035,0,0,0,0.047,0,0,0,0,0,0,0,0.026,0.451,0.38,0,0.03,0.028,0,0,0.459,0.385,0.021,0.038,0.026,0,0,0,0.032,0.027,0.025,0.027,0.028,0.025,0,0,0,0.441,0,0,0,0,0.041,0.029,0.028,0.035,0.035,0.035,0.458,0,0.673,0.381,0.028,0.032,0.467,0.418,0.039,0.029,0,0.456,0.556,0,0,0.028,0,0.025,0.381,0.032,0,0,0.395,0.39,0.359,0.5,0.501,0.03,0.026,0,0.022,0,0,0,0,0,0,0,0.025,0.039,0.034,0.032,0.03,0,0.419,0.544,0.036,0.435,0.408,0.027,0.373,0,0.032,0,0,0.022,0,0,0,0,0,0,0,0.021,0.022,0,0,0,0,0,0,0,0,0.029,0,0.033,0,0,0,0.413,0.036,0.042,0,0.033,0,0.033,0.036,0.03,0.027,0.044,0.034,0.042,0.031,0.026,0,0,0.481,0.031,0.033,0.024,0.357,0,0.028,0.023,0.026,0.036,0.033,0,0.029,0.341,0.032,0.033,0.41,0.505,0.038,0.028,0.031,0.029,0,0,0,0.471,0,0,0.691,0.042,0.032,0.028,0.034,0.027,0.026,0,0,0,0.034,0.397,0.359,0,0,0.322,0.31,0,0.02,0.026,0.025,0.024,0,0,0.028,0.518,0.026,0.46,0,0,0.024,0.445,0.033,0,0,0.02,0.021,0.02,0.047,0.046,0.038,0.031,0.028,0.033,0,0.542,0.777,0.556,0.03,0,0,0,0.03,0.027,0.03,0.028,0.556,0.034,0.322,0.773,0.537,0.03,0,0,0.025,0.037,0.031,0.464,0.633,0.322,0.435,0,0.029,0,0,0,0,0,0,0,0.381,0,0.331,0.518,0.031,0.029,0.026,0,0,0,0,0.502,0,0.873,0.702,0.403,0.414,0,0,0,0.042,0,0,0,0.044,0.044,0,0,0,0,0.042,0.044,0.046,0,0,0.042,0
GO:0044085,0.074,0,0,0.694,0.925,0.964,0.704,0,0,0,0,0,0,0.061,0,0.047,0,0.044,0,0.056,0,0,0,0,0.633,0,0,0,0.041,0.05,0,0.052,0.052,0.054,0.052,0.051,0,0,0,0,0,0.039,0.044,0.039,0,0.04,0.038,0.044,0.533,0,0.041,0.035,0.037,0,0.028,0,0.033,0,0,0.041,0.04,0.821,0.042,0.05,0,0,0,0.037,0,0.042,0,0,0.04,0,0,0.036,0,0,0,0.049,0,0,0,0,0,0,0,0.026,0.444,0.372,0,0.03,0.029,0,0,0.453,0.377,0.021,0.04,0.027,0,0,0,0.033,0.028,0.025,0.028,0.029,0.026,0,0,0,0.434,0,0,0,0,0.043,0.03,0.029,0.037,0.037,0.036,0.451,0,0.632,0.373,0.029,0.033,0.461,0.411,0.04,0.03,0,0.449,0.52,0,0,0.029,0,0.025,0.373,0.033,0,0,0.388,0.383,0.352,0.495,0.496,0.03,0.027,0,0.023,0,0,0,0,0,0,0,0.026,0.041,0.036,0.033,0.031,0,0.412,0.539,0.038,0.428,0.401,0.027,0.365,0,0.033,0,0,0.023,0,0,0,0,0,0,0,0.021,0.023,0,0,0,0,0,0,0,0,0.03,0,0.034,0,0,0,0.406,0.037,0.044,0,0.035,0,0.034,0.038,0.031,0.028,0.046,0.035,0.044,0.032,0.026,0,0,0.475,0.032,0.034,0.024,0.35,0,0.028,0.024,0.026,0.037,0.034,0,0.03,0.334,0.033,0.034,0.402,0.499,0.04,0.028,0.032,0.03,0,0,0,0.464,0,0,0.65,0.044,0.033,0.029,0.035,0.028,0.027,0,0,0,0.035,0.39,0.352,0,0,0.315,0.302,0,0.02,0.026,0.026,0.024,0,0,0.029,0.484,0.026,0.454,0,0,0.024,0.438,0.034,0,0,0.02,0.021,0.02,0.049,0.048,0.04,0.032,0.029,0.034,0,0.538,0.733,0.52,0.031,0,0,0,0.031,0.028,0.031,0.028,0.52,0.035,0.315,0.73,0.532,0.031,0,0,0.025,0.039,0.032,0.458,0.594,0.315,0.428,0,0.029,0,0,0,0,0,0,0,0.373,0,0.324,0.513,0.032,0.03,0.026,0,0,0,0,0.497,0,0.828,0.661,0.396,0.407,0,0,0,0.044,0,0,0,0.046,0.046,0,0,0,0,0.044,0.046,0.048,0,0,0.044,0
GO:0071840,0.107,0,0,0.871,0.67,0.704,0.887,0,0,0,0,0,0,0.081,0,0.058,0,0.054,0,0.073,0,0,0,0,0.778,0,0,0,0.049,0.063,0,0.066,0.067,0.069,0.067,0.064,0,0,0,0,0,0.046,0.053,0.047,0,0.048,0.046,0.053,0.632,0,0.049,0.042,0.043,0,0.032,0,0.037,0,0,0.05,0.048,0.582,0.051,0.063,0,0,0,0.043,0,0.051,0,0,0.047,0,0,0.042,0,0,0,0.061,0,0,0,0,0,0,0,0.03,0.51,0.418,0,0.035,0.033,0,0,0.522,0.424,0.023,0.048,0.03,0,0,0,0.038,0.031,0.028,0.031,0.033,0.029,0,0,0,0.498,0,0,0,0,0.052,0.034,0.033,0.043,0.043,0.042,0.52,0,0.431,0.419,0.033,0.038,0.533,0.467,0.048,0.034,0,0.517,0.347,0,0,0.033,0,0.028,0.419,0.038,0,0,0.437,0.431,0.392,0.579,0.58,0.035,0.03,0,0.025,0,0,0,0,0,0,0,0.029,0.049,0.042,0.038,0.036,0,0.468,0.64,0.044,0.489,0.454,0.031,0.409,0,0.038,0,0,0.025,0,0,0,0,0,0,0,0.023,0.025,0,0,0,0,0,0,0,0,0.034,0,0.039,0,0,0,0.461,0.044,0.054,0,0.04,0,0.04,0.044,0.035,0.031,0.056,0.041,0.054,0.036,0.029,0,0,0.552,0.037,0.039,0.027,0.39,0,0.032,0.026,0.03,0.044,0.04,0,0.034,0.37,0.038,0.04,0.456,0.585,0.047,0.032,0.037,0.034,0,0,0,0.538,0,0,0.445,0.054,0.038,0.033,0.041,0.031,0.03,0,0,0,0.041,0.44,0.392,0,0,0.347,0.332,0,0.022,0.03,0.029,0.027,0,0,0.033,0.321,0.03,0.524,0,0,0.027,0.503,0.039,0,0,0.022,0.023,0.022,0.062,0.06,0.047,0.037,0.033,0.04,0,0.639,0.51,0.347,0.035,0,0,0,0.035,0.031,0.036,0.032,0.347,0.04,0.347,0.508,0.631,0.035,0,0,0.028,0.046,0.037,0.529,0.402,0.347,0.49,0,0.034,0,0,0,0,0,0,0,0.419,0,0.358,0.603,0.036,0.034,0.03,0,0,0,0,0.581,0,0.587,0.453,0.448,0.462,0,0,0,0.054,0,0,0,0.056,0.056,0,0,0,0,0.054,0.056,0.06,0,0,0.054,0
GO:0032501,0,0,0,0,0,0,0,0.843,0,0,0,0,0,0,0,0,0,0,0,0,0.721,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.545,0,0,0,0,0.542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554,0.533,0,0,0,0,0.542,0.469,0,0,0,0,0.554,0,0,0,0,0,0,0,0,0,0,0,0.43,0.349,0,0,0,0.325,0,0,0,0,0,0,0.418,0.379,0,0,0,0.331,0,0.38,0.337,0,0,0,0,0.424,0,0.394,0.342,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342,0.493,0.452,0.449,0,0,0.346,0.283,0,0.557,0.389,0.347,0.298,0,0,0,0,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0.469,0.526,0,0,0,0,0,0,0,0,0.537,0,0,0,0,0,0.251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431,0.4,0.498,0,0.395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502,0.251,0,0,0,0,0,0,0,0,0,0.427,0.293,0,0,0,0,0,0,0,0,0,0,0,0,0.427,0.293,0.426,0.442,0,0.442,0,0,0,0,0,0.266,0.251,0,0,0,0,0,0,0.266,0.251,0.251,0.251,0,0,0,0,0.482,0,0
GO:0050789,0,0,0,0,0,0,0,0,0.744,0.688,0,0,0,0,0,0,0,0,0.381,0.683,0,0,0,0,0,0.483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451,0.405,0,0,0.383,0,0,0.346,0.362,0.362,0.256,0.332,0.308,0,0,0,0,0,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394,0,0,0,0,0,0,0,0,0,0,0.238,0.3,0.24,0,0,0,0,0,0.308,0.244,0.18,0,0,0,0,0,0.31,0.251,0.227,0.253,0.263,0.232,0.397,0,0.295,0.292,0.295,0,0.273,0.235,0,0.278,0,0,0,0,0.306,0.322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283,0,0,0,0.229,0.196,0.196,0.196,0.196,0.234,0.196,0,0,0,0,0.294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,0.397,0.305,0.238,0,0.503,0.323,0.394,0.324,0.351,0.268,0,0.469,0.534,0,0,0,0,0,0,0.495,0.342,0.47,0.297,0.236,0.306,0,0.327,0.304,0,0,0.223,0,0.259,0.208,0,0,0,0,0.277,0.21,0.315,0,0,0,0,0,0,0,0,0.229,0,0.318,0.5,0.357,0,0.465,0.309,0.265,0,0.251,0.238,0,0,0,0.342,0.255,0.224,0.527,0,0.196,0.187,0.369,0.17,0,0,0,0,0.502,0.265,0,0,0,0,0,0.215,0,0,0.325,0.3,0.17,0.18,0.17,0,0.528,0.4,0.301,0.269,0,0,0,0,0,0.287,0.363,0,0.348,0.285,0.25,0.291,0.259,0,0,0,0,0,0.289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.17,0,0,0,0,0,0,0.18,0.17,0.17,0.17,0,0,0,0,0.339,0,0
GO:0065007,0,0,0,0,0,0,0,0,0.688,0.716,0,0,0,0,0,0,0,0,0.346,0.63,0,0,0,0,0,0.441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411,0.368,0,0,0.347,0,0,0.313,0.328,0.328,0.231,0.338,0.279,0,0,0,0,0,0.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358,0,0,0,0,0,0,0,0,0,0,0.214,0.271,0.217,0,0,0,0,0,0.278,0.22,0.162,0,0,0,0,0,0.28,0.226,0.204,0.228,0.237,0.209,0.361,0,0.267,0.264,0.267,0,0.247,0.212,0,0.251,0,0,0,0,0.277,0.292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.256,0,0,0,0.207,0.177,0.177,0.177,0.177,0.211,0.177,0,0,0,0,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.361,0.276,0.215,0,0.46,0.293,0.358,0.294,0.318,0.242,0,0.428,0.488,0,0,0,0,0,0,0.452,0.31,0.428,0.268,0.212,0.277,0,0.296,0.275,0,0,0.201,0,0.234,0.187,0,0,0,0,0.251,0.189,0.285,0,0,0,0,0,0,0,0,0.207,0,0.288,0.457,0.324,0,0.424,0.279,0.239,0,0.226,0.215,0,0,0,0.31,0.23,0.202,0.482,0,0.177,0.168,0.376,0.153,0,0,0,0,0.458,0.239,0,0,0,0,0,0.193,0,0,0.295,0.271,0.153,0.162,0.153,0,0.484,0.363,0.272,0.243,0,0,0,0,0,0.259,0.329,0,0.316,0.258,0.226,0.263,0.233,0,0,0,0,0,0.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0.153,0,0,0,0,0,0,0.162,0.153,0.153,0.153,0,0,0,0,0.307,0,0
