gene_id,101112C14,101112C4,101112C9,101112H14,101112H4,101112H9,101112L14,101112L4,101112L9,101112M14,101112M4,101112M9,123C14,123C4,123C9,123H14,123H4,123H9,123L14,123L4,123L9,123M4,123M9,131415C14,131415C4,131415C9,131415H14,131415H4,131415H9,131415L14,131415L9,131415M14,131415M4,131415M9,13M14,456C4,456H4,456H9,456L14,456L4,456L9,456M14,456M4,456M9,45C14,45C9,45H14,67C9,6C14,789H14,789H4,789H9,789L14,789L4,789L9,789M14,789M4,7C14,89C14,89C9,89M9
Montipora_capitata_HIv3___RNAseq.g11828.t1,12970,56,269,10106,15,149,15951,23,278,11325,2728,595,10016,41,616,12511,4,326,14101,24,852,40,689,8155,68,528,9231,21,108,11535,468,10473,150,441,9336,13,18,258,13004,29,762,9223,9,1278,6087,836,1442,117,12199,16135,7,243,13968,18,422,14044,27,5209,16518,574,295
Montipora_capitata_HIv3___RNAseq.g44004.t1,446,5948,2131,681,3607,2315,302,4267,1662,425,4054,1831,203,10472,2924,296,6120,1302,373,3708,1392,15328,793,607,5939,2351,448,2997,2552,452,2788,682,5017,2338,130,3494,5041,1983,411,1113,1902,472,6831,990,73,1299,4199,1609,177,240,9718,1965,432,3865,1465,457,8058,405,547,1623,2855
Montipora_capitata_HIv3___RNAseq.g19903.t1,7675,80,589,10896,17,514,12495,23,539,10461,2279,1958,5138,52,1525,9668,19,331,6406,16,2033,28,2541,10583,65,1640,8035,0,335,8799,1758,11208,263,1542,3932,42,77,565,8258,79,1464,6901,105,2645,2281,1954,240,158,8869,9943,36,402,11162,54,777,11050,17,9482,16358,833,560
Montipora_capitata_HIv3___RNAseq.g22595.t1,1631,8220,2775,1822,6478,3468,1376,7254,2070,1256,6738,2217,1232,17696,3583,959,12919,4317,1170,8761,1789,17054,949,985,10147,3859,1377,9871,5287,1307,3950,1367,8813,4668,1233,6885,9547,2655,933,5074,3713,1283,10806,1868,697,1997,6109,2583,914,1664,15923,2851,1603,6941,2037,1545,13741,823,1670,3256,4459
Montipora_capitata_HIv3___RNAseq.g22906.t1,495,1194,320,360,1000,579,410,1011,435,313,880,315,324,2839,678,350,1854,528,257,1432,345,3033,211,301,1381,351,280,840,667,541,596,400,1198,517,264,984,1436,476,319,625,529,204,1477,266,165,411,1341,389,232,491,2609,454,422,761,296,544,2126,197,442,341,427
Montipora_capitata_HIv3___RNAseq.g28322.t1,923,9200,3403,1445,6156,3910,860,6914,2494,876,7245,2730,658,21915,6213,841,11225,4841,1014,7378,2987,24773,2246,890,9540,3813,899,6880,4555,765,4686,968,8446,4064,820,6651,9873,3774,1030,5207,4263,731,12074,2598,517,4158,8781,2654,662,808,15511,2862,941,5804,2175,1016,13736,958,1349,3935,5463
Montipora_capitata_HIv3___RNAseq.g29121.t1,264,2227,817,292,1598,1124,168,1794,877,166,1611,768,61,4874,993,71,3697,1024,210,2173,465,4412,299,299,2169,1035,182,2112,1397,175,1162,335,2198,952,90,1747,2726,703,130,1463,1010,180,3037,602,35,597,1581,659,130,107,4824,822,249,1896,668,224,4083,255,208,897,1123
Montipora_capitata_HIv3___RNAseq.g47569.t1,24881,175,3337,36920,25,3073,28183,34,4460,36697,6580,9169,9943,42,7261,28574,12,2058,31556,18,11473,23,9076,29030,92,7203,20910,39,2142,20569,8614,31707,1073,7248,17777,24,21,3630,32085,11,7514,29014,57,12049,6102,10985,463,373,28836,23235,78,3010,31649,23,6010,37323,92,42181,52712,5989,3986
Montipora_capitata_HIv3___RNAseq.g39019.t1,28699,96,182,20626,16,274,29183,17,269,22414,7187,625,24742,30,516,30263,18,291,31880,53,1546,72,939,15030,13,714,18829,19,184,23901,695,21072,100,811,27864,34,50,373,26675,33,1113,18311,30,1725,13319,1054,3599,61,13113,35838,38,263,33867,18,424,34031,47,6890,34730,1079,571
Montipora_capitata_HIv3___RNAseq.g35661.t1,7362,64,463,7412,33,560,9265,34,574,8964,1663,873,5193,33,682,5727,12,349,6690,0,1028,33,855,5909,28,440,5525,14,226,6314,361,7445,143,548,4097,38,26,355,7361,15,804,5916,19,1024,2452,796,608,373,7725,8496,33,413,8202,31,492,8225,52,3726,11285,543,410
Montipora_capitata_HIv3___RNAseq.g36979.t1,286,2077,1190,235,1613,1258,174,1568,1036,179,1563,1162,100,6413,2225,154,3253,1924,229,2039,1083,7924,827,333,2933,1457,368,1833,1702,281,1573,401,2576,1486,109,1606,2769,1104,188,1151,1149,173,2564,715,21,950,2605,981,121,106,3443,1218,234,1502,965,215,3307,385,261,949,1626
Montipora_capitata_HIv3___RNAseq.g15509.t1,260,1718,1045,249,1316,1185,156,1327,936,171,1290,918,68,4735,1796,107,2424,1496,177,1534,772,5928,647,249,2026,1143,227,1231,1240,183,1145,330,1837,1191,42,1191,1959,912,122,733,850,132,2040,623,21,711,1833,860,111,138,3146,981,192,1272,891,243,2628,400,241,711,1310
