gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Montipora_capitata_HIv3___RNAseq.g4581.t1,284.20381149787437,0.7968662303195272,0.2867991360122149,159.32685961799723,1.837962840010804e-28,7.772575358737644e-28
Montipora_capitata_HIv3___RNAseq.g4629.t1,545.8463420807267,-0.5169735718177304,0.4383763165221064,22.622490182641286,0.019970708058415363,0.02271426531323021
Montipora_capitata_HIv3___RNAseq.g4842.t1,609.0110116514952,-0.5196579861206867,0.22163221116836102,28.213696249683608,0.003002004082184278,0.003561643742275879
Montipora_capitata_HIv3___RNAseq.g4919.t1,977.553821142534,0.5809897857844701,0.3338406445022291,97.17975602289596,6.44959931033536e-16,1.4345754778337956e-15
Montipora_capitata_HIv3___TS.g26676.t2,15555.923604984786,0.5323736374979748,0.26893289835554857,156.11040841107433,8.383869608515263e-28,3.409440307462873e-27
Montipora_capitata_HIv3___RNAseq.g5133.t3,12959.276912200592,0.7397366628445146,0.3134530134336174,171.655726063854,5.38274998905335e-31,2.5993175077833432e-30
Montipora_capitata_HIv3___RNAseq.g5744.t1,4171.761424616315,1.2025446208655115,0.3497078304289955,278.63291340677233,2.7475104338504524e-53,4.5089853972784325e-52
Montipora_capitata_HIv3___TS.g27679.t3,6419.596530511778,0.942951805372464,0.3639181931523967,109.31915954271562,2.505275858048619e-18,6.3401619170811636e-18
Montipora_capitata_HIv3___TS.g27722.t1,1307.272150944174,-0.5049281160441136,0.206052123791497,170.7934315847017,8.100751139487025e-31,3.877087851067587e-30
Montipora_capitata_HIv3___TS.g27931.t1,971.3108682812903,0.6561243358014796,0.3518829099486717,93.7357390656066,3.0791315636660714e-15,6.616704782540651e-15
Montipora_capitata_HIv3___RNAseq.g6185.t1,1705.497970941874,0.5470572760345535,0.24121935925418647,264.0609606468345,3.155077749885492e-50,4.340581432076508e-49
Montipora_capitata_HIv3___RNAseq.g6387.t1,4984.281847759754,0.5292644096875021,0.2290633841318682,281.06132566400845,8.481096403525723e-54,1.4280929516978472e-52
Montipora_capitata_HIv3___RNAseq.g6644.t1,1212.8828957272306,0.5419853652490145,0.2016118897112898,115.35254931515328,1.5550988863441557e-19,4.1671236631169957e-19
Montipora_capitata_HIv3___RNAseq.g6701.t1b,2422.8473283722847,0.9811848004908805,0.30370997728648924,324.5784368576583,5.731516748097347e-63,1.8078042582047536e-61
Montipora_capitata_HIv3___RNAseq.g6714.t1,13080.020185872472,0.8815418322128012,0.3550600719696995,165.84412083560346,8.442824225570038e-30,3.8229202690851447e-29
Montipora_capitata_HIv3___RNAseq.g6715.t1,2345.1208020499653,0.5387061387051822,0.2427004828295586,254.1067311335754,3.855124589745167e-48,4.703251999489103e-47
Montipora_capitata_HIv3___RNAseq.g6858.t1,2812.2799258671325,1.2551403786834243,0.5439174608427535,106.06125540875632,1.1176901911520714e-17,2.7395696648935912e-17
Montipora_capitata_HIv3___RNAseq.g6859.t1,7388.9177102444555,1.0089772893585467,0.4919103772701398,98.17115488874629,4.1083068578598865e-16,9.22051792534607e-16
Montipora_capitata_HIv3___RNAseq.g6860.t1,4469.202811638651,0.7049179978073883,0.36424339714733744,126.00650568796914,1.116718621650841e-21,3.336738728093502e-21
Montipora_capitata_HIv3___RNAseq.g6921.t1,1016.6330061476546,0.7403084995736838,0.2775124783174362,211.18109638943508,3.538267293192659e-39,2.544876119886956e-38
Montipora_capitata_HIv3___RNAseq.g6961.t1,1606.9458635868364,0.6393078767081791,0.2274525242087037,407.08103440093976,1.919593431321075e-80,2.955259792124303e-78
Montipora_capitata_HIv3___RNAseq.2757_t,989.1826632078021,0.8794151267919982,0.667433247669531,42.635810830933906,1.2565827604139983e-5,1.6836021816902017e-5
Montipora_capitata_HIv3___TS.g28917.t1,888.9781351455198,0.6073798777437394,0.22051017744153484,281.5120790781094,6.818380368356855e-54,1.15715610135946e-52
Montipora_capitata_HIv3___RNAseq.g7321.t1,1268.8289412826562,0.5917138720817623,0.2816146578230523,271.26897493876913,9.68368562583328e-52,1.462960543379392e-50
Montipora_capitata_HIv3___RNAseq.g7326.t1,12421.835675893426,0.8080226678682242,0.32166914662177115,157.85176962923765,3.687287077267127e-28,1.52345036687599e-27
Montipora_capitata_HIv3___RNAseq.g7415.t1,3966.77545145049,0.5505104155521563,0.40909532049219655,117.24736060040505,6.480006791911147e-20,1.774660055760164e-19
Montipora_capitata_HIv3___TS.g29264.t2,2553.5172071343563,1.19896934360171,0.34362736431142143,326.44041079078863,2.3176959091499944e-63,7.530764697770785e-62
Montipora_capitata_HIv3___RNAseq.g8688.t1,7030.250480296728,0.7772452996636077,0.32236322121798466,215.72365741001045,4.014019828082698e-40,3.042749379646275e-39
Montipora_capitata_HIv3___TS.g41591.t1,936.218194729102,0.5882443409705213,0.30687198725709536,265.14595911461095,1.8679170742500248e-50,2.619946160976282e-49
Montipora_capitata_HIv3___RNAseq.g8851.t1,1742.0611505121562,0.5349747998689273,0.28945342197459967,297.65552553070063,2.731407362894428e-57,5.734181820933562e-56
Montipora_capitata_HIv3___RNAseq.g9055.t1,2951.2304192551255,0.7320166026185077,0.29346735733012963,242.7072168078829,9.385292490471123e-46,1.0014076112770013e-44
