gene_id,GOs
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0000151
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0000209
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0003674
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0003779
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0003824
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0004842
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005488
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005515
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005575
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005622
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005623
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005634
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005654
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005737
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005794
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005802
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005829
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005856
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006464
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006508
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006511
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006807
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006810
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006892
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006895
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006996
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0007010
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0008092
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0008150
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0008152
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0008582
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0009056
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0009057
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0009987
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0010033
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0010498
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0010941
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0012505
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0015629
