gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,transcript_lengths
Montipora_capitata_HIv3___RNAseq.g5198.t1,153.19189505731873,-2.9333303156256365,0.6233198387932934,-4.705979391421862,2.5265004225683196e-6,0.00793636945239273,45351.EDO32632,1.3699999999999999e-257,729,"COG0514@1|root,KOG0353@2759|Eukaryota,39KMJ@33154|Opisthokonta,3CNVK@33208|Metazoa",33208|Metazoa,L,Belongs to the helicase family. RecQ subfamily,RECQL,"GO:0000724,GO:0000725,GO:0000733,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003824,GO:0004003,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006302,GO:0006310,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008026,GO:0008094,GO:0008150,GO:0008152,GO:0009378,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0031974,GO:0031981,GO:0032392,GO:0032508,GO:0033554,GO:0034641,GO:0036310,GO:0042623,GO:0043138,GO:0043140,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0070013,GO:0070035,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:0097617,GO:0140097,GO:1901360,GO:1901363",3.6.4.12,ko:K10899,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,"DEAD,Helicase_C,RQC,RecQ_Zn_bind",13493
Montipora_capitata_HIv3___RNAseq.g6841.t1a,74.56504122085937,-3.0160100124736715,0.6582012619571473,-4.582200288564671,4.6010888294863535e-6,0.0090335042294254,45351.EDO42649,4.49e-91,276,"COG2042@1|root,KOG3154@2759|Eukaryota,38FB5@33154|Opisthokonta,3BIFK@33208|Metazoa",33208|Metazoa,T,rRNA processing,TSR3,"GO:0000154,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016740,GO:0022613,GO:0030490,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042274,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360",-,ko:K09140,-,-,-,-,"ko00000,ko03009",-,-,-,"RLI,Ribo_biogen_C",9265
Montipora_capitata_HIv3___TS.g28731.t1,408.6376100591298,-1.197696625512274,0.29596266903729584,-4.046782756109508,5.192639121984532e-5,0.03837971209866803,45351.EDO48004,7.54e-230,661,"KOG0274@1|root,KOG0297@1|root,KOG0274@2759|Eukaryota,KOG0297@2759|Eukaryota,38GT5@33154|Opisthokonta,3BBVY@33208|Metazoa",33208|Metazoa,T,E3 ubiquitin-protein ligase TRAF7,TRAF7,"GO:0000122,GO:0000151,GO:0000185,GO:0001932,GO:0001934,GO:0003674,GO:0003824,GO:0004842,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0005886,GO:0006355,GO:0006357,GO:0006464,GO:0006807,GO:0006915,GO:0008150,GO:0008152,GO:0008219,GO:0008270,GO:0009889,GO:0009890,GO:0009892,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010558,GO:0010562,GO:0010604,GO:0010605,GO:0010629,GO:0010646,GO:0010647,GO:0010941,GO:0010942,GO:0012501,GO:0016020,GO:0016567,GO:0016740,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019787,GO:0023051,GO:0023056,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031399,GO:0031401,GO:0032147,GO:0032268,GO:0032270,GO:0032446,GO:0032879,GO:0032880,GO:0032991,GO:0033233,GO:0033235,GO:0033674,GO:0034097,GO:0036211,GO:0042221,GO:0042325,GO:0042327,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043169,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043412,GO:0043549,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0045859,GO:0045860,GO:0045892,GO:0045934,GO:0045937,GO:0046872,GO:0046914,GO:0048471,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051246,GO:0051247,GO:0051252,GO:0051253,GO:0051338,GO:0051347,GO:0051716,GO:0060255,GO:0065007,GO:0065009,GO:0070647,GO:0070741,GO:0070887,GO:0071310,GO:0071345,GO:0071354,GO:0071704,GO:0071900,GO:0071902,GO:0071944,GO:0080090,GO:0140096,GO:1901564,GO:1902494,GO:1902531,GO:1902533,GO:1902679,GO:1903320,GO:1903322,GO:1903506,GO:1903507,GO:1990234,GO:2000112,GO:2000113,GO:2001141,GO:2001233,GO:2001235",2.3.2.27,ko:K10646,-,-,-,-,"ko00000,ko01000,ko04121",-,-,-,"WD40,zf-RING_UBOX",36657
Montipora_capitata_HIv3___RNAseq.g11129.t1,31.186563458367633,-6.2228158405826575,1.092387861076504,-5.696525988901346,1.2227326034980383e-8,1.5363635162952854e-4,45351.EDO45846,1.1999999999999999e-70,222,"KOG0578@1|root,KOG0578@2759|Eukaryota,38BDT@33154|Opisthokonta,3BA4Y@33208|Metazoa",33208|Metazoa,T,serine threonine-protein kinase PAK,PAK7,"GO:0000166,GO:0000187,GO:0001558,GO:0001650,GO:0001654,GO:0001745,GO:0001751,GO:0001754,GO:0001932,GO:0001934,GO:0003008,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005730,GO:0005737,GO:0005739,GO:0005794,GO:0005911,GO:0005912,GO:0005913,GO:0006355,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006915,GO:0006928,GO:0006950,GO:0006996,GO:0007010,GO:0007030,GO:0007154,GO:0007165,GO:0007264,GO:0007265,GO:0007266,GO:0007275,GO:0007346,GO:0007399,GO:0007417,GO:0007420,GO:0007423,GO:0007610,GO:0007611,GO:0007612,GO:0007613,GO:0007626,GO:0008144,GO:0008150,GO:0008152,GO:0008219,GO:0008283,GO:0008361,GO:0009653,GO:0009887,GO:0009889,GO:0009893,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0010256,GO:0010468,GO:0010556,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0010720,GO:0010941,GO:0012501,GO:0012505,GO:0016043,GO:0016301,GO:0016310,GO:0016319,GO:0016477,GO:0016740,GO:0016772,GO:0016773,GO:0017016,GO:0017048,GO:0017076,GO:0018105,GO:0018193,GO:0018209,GO:0019219,GO:0019220,GO:0019222,GO:0019538,GO:0019899,GO:0022008,GO:0022407,GO:0022603,GO:0023014,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030029,GO:0030036,GO:0030054,GO:0030154,GO:0030155,GO:0030182,GO:0030554,GO:0031098,GO:0031267,GO:0031323,GO:0031325,GO:0031326,GO:0031399,GO:0031401,GO:0031974,GO:0031981,GO:0032147,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032535,GO:0032553,GO:0032555,GO:0032559,GO:0033554,GO:0033674,GO:0035556,GO:0035639,GO:0036094,GO:0036211,GO:0040008,GO:0040011,GO:0042325,GO:0042327,GO:0042478,GO:0042479,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043085,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043412,GO:0043549,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044452,GO:0044464,GO:0045314,GO:0045315,GO:0045595,GO:0045597,GO:0045664,GO:0045666,GO:0045765,GO:0045766,GO:0045792,GO:0045859,GO:0045860,GO:0045937,GO:0046530,GO:0046532,GO:0046534,GO:0048365,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048585,GO:0048592,GO:0048699,GO:0048731,GO:0048749,GO:0048856,GO:0048869,GO:0048870,GO:0050767,GO:0050769,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050877,GO:0050890,GO:0050896,GO:0051020,GO:0051094,GO:0051128,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051239,GO:0051240,GO:0051246,GO:0051247,GO:0051252,GO:0051338,GO:0051347,GO:0051674,GO:0051716,GO:0051726,GO:0051960,GO:0051962,GO:0060255,GO:0060284,GO:0060322,GO:0060548,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070161,GO:0071704,GO:0071840,GO:0071900,GO:0071902,GO:0080090,GO:0090066,GO:0090596,GO:0097159,GO:0097367,GO:0140096,GO:1901265,GO:1901342,GO:1901363,GO:1901564,GO:1902531,GO:1902533,GO:1903506,GO:1904018,GO:1904035,GO:1904036,GO:2000026,GO:2000027,GO:2000047,GO:2000112,GO:2000351,GO:2000352,GO:2001141,GO:2001233,GO:2001234,GO:2001236,GO:2001237",2.7.11.1,"ko:K05734,ko:K05735,ko:K05736","ko04012,ko04014,ko04360,ko04510,ko04660,ko04810,ko05206,ko05211,map04012,map04014,map04360,map04510,map04660,map04810,map05206,map05211",-,-,-,"ko00000,ko00001,ko01000,ko01001",-,-,-,"PBD,Pkinase",5419
Montipora_capitata_HIv3___RNAseq.g41271.t2,118.66262418529408,2.5911808356534594,0.6398037234294288,4.049962106760496,5.1225927205350515e-5,0.03837971209866803,45351.EDO35837,1.52e-142,420,"COG5157@1|root,KOG3786@2759|Eukaryota,38GJ4@33154|Opisthokonta,3BD4B@33208|Metazoa",33208|Metazoa,K,Cell division cycle 73,CDC73,"GO:0000122,GO:0000428,GO:0000988,GO:0000989,GO:0000993,GO:0001076,GO:0001098,GO:0001099,GO:0001558,GO:0001654,GO:0001704,GO:0001706,GO:0001711,GO:0001745,GO:0002009,GO:0002165,GO:0002237,GO:0002682,GO:0002683,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005737,GO:0005829,GO:0006139,GO:0006325,GO:0006351,GO:0006354,GO:0006355,GO:0006357,GO:0006366,GO:0006368,GO:0006378,GO:0006396,GO:0006397,GO:0006464,GO:0006513,GO:0006725,GO:0006807,GO:0006996,GO:0007275,GO:0007346,GO:0007369,GO:0007423,GO:0007444,GO:0007472,GO:0007476,GO:0007478,GO:0007480,GO:0007492,GO:0007552,GO:0007560,GO:0008023,GO:0008134,GO:0008150,GO:0008152,GO:0008285,GO:0008407,GO:0008586,GO:0008587,GO:0008589,GO:0009058,GO:0009059,GO:0009605,GO:0009607,GO:0009617,GO:0009653,GO:0009790,GO:0009791,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010390,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010564,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0010646,GO:0010647,GO:0010941,GO:0010948,GO:0016043,GO:0016070,GO:0016071,GO:0016567,GO:0016569,GO:0016570,GO:0016574,GO:0016591,GO:0016593,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019538,GO:0019827,GO:0019899,GO:0022416,GO:0022607,GO:0022613,GO:0022618,GO:0023051,GO:0023056,GO:0030111,GO:0030154,GO:0030177,GO:0030880,GO:0031123,GO:0031124,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031440,GO:0031442,GO:0031647,GO:0031648,GO:0031974,GO:0031981,GO:0032446,GO:0032496,GO:0032501,GO:0032502,GO:0032774,GO:0032784,GO:0032786,GO:0032968,GO:0032991,GO:0033523,GO:0033993,GO:0034243,GO:0034402,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0035107,GO:0035114,GO:0035120,GO:0035218,GO:0035220,GO:0035239,GO:0035295,GO:0035987,GO:0036211,GO:0040008,GO:0042127,GO:0042221,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043170,GO:0043175,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043631,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044877,GO:0045165,GO:0045595,GO:0045596,GO:0045637,GO:0045638,GO:0045786,GO:0045787,GO:0045880,GO:0045892,GO:0045893,GO:0045930,GO:0045934,GO:0045935,GO:0045944,GO:0046483,GO:0048145,GO:0048147,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048563,GO:0048569,GO:0048583,GO:0048584,GO:0048592,GO:0048598,GO:0048646,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048749,GO:0048856,GO:0048869,GO:0050678,GO:0050680,GO:0050684,GO:0050685,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051128,GO:0051171,GO:0051172,GO:0051173,GO:0051239,GO:0051241,GO:0051252,GO:0051253,GO:0051254,GO:0051276,GO:0051704,GO:0051707,GO:0051716,GO:0051726,GO:0055029,GO:0060255,GO:0060429,GO:0060548,GO:0060562,GO:0060795,GO:0060828,GO:0061695,GO:0065003,GO:0065007,GO:0065008,GO:0070013,GO:0070063,GO:0070647,GO:0070887,GO:0071216,GO:0071219,GO:0071222,GO:0071310,GO:0071396,GO:0071704,GO:0071826,GO:0071840,GO:0080090,GO:0090068,GO:0090263,GO:0090304,GO:0090596,GO:0097659,GO:0098727,GO:0140110,GO:1901360,GO:1901362,GO:1901564,GO:1901576,GO:1901700,GO:1901701,GO:1901987,GO:1901988,GO:1901989,GO:1901990,GO:1901991,GO:1902494,GO:1902679,GO:1902680,GO:1902806,GO:1902807,GO:1902808,GO:1903311,GO:1903313,GO:1903506,GO:1903507,GO:1903508,GO:1903706,GO:1903707,GO:1904837,GO:1990234,GO:2000026,GO:2000045,GO:2000112,GO:2000113,GO:2000134,GO:2001141",-,ko:K15175,-,-,-,-,"ko00000,ko03021",-,-,-,"CDC73_C,CDC73_N",8598
Montipora_capitata_HIv3___RNAseq.g44142.t1,115.77499638259006,-2.227654721140107,0.5541367481263825,-4.020045103798176,5.818700033772633e-5,0.04061775884686285,244447.XP_008306260.1,2.4299999999999994e-168,485,"COG0016@1|root,KOG2783@2759|Eukaryota,38BR2@33154|Opisthokonta,3BD42@33208|Metazoa,3CVJ8@33213|Bilateria,485SJ@7711|Chordata,495X0@7742|Vertebrata,49YG9@7898|Actinopterygii",33208|Metazoa,J,"phenylalanyl-tRNA synthetase 2, mitochondrial",FARS2,"GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004812,GO:0004826,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006412,GO:0006418,GO:0006432,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0031974,GO:0034470,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0070013,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:0140101,GO:1901360,GO:1901363,GO:1901564,GO:1901566,GO:1901576",6.1.1.20,ko:K01889,"ko00970,map00970","M00359,M00360",R03660,"RC00055,RC00523","ko00000,ko00001,ko00002,ko01000,ko01007,ko03016",-,-,-,"FDX-ACB,tRNA-synt_2d",2977
Montipora_capitata_HIv3___RNAseq.g20279.t1,151.32492779119568,5.7297238670703425,1.1969605276094708,4.786894584162733,1.6938174319710771e-6,0.00709427201090552,45351.EDO31145,3.2299999999999994e-216,605,"KOG0680@1|root,KOG0680@2759|Eukaryota,38D34@33154|Opisthokonta,3BDJC@33208|Metazoa",33208|Metazoa,Z,chromatin remodeling,ACTR6,"GO:0000785,GO:0003674,GO:0003682,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005694,GO:0006325,GO:0006996,GO:0008150,GO:0009987,GO:0016043,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0051276,GO:0070828,GO:0071840",-,ko:K11662,-,-,-,-,"ko00000,ko03036,ko04812",-,-,-,Actin,19097
Montipora_capitata_HIv3___RNAseq.g20522.t1,39.96513423693028,2.894250814514705,0.700009266613298,4.134589286963766,3.555899882822801e-5,0.02978658801844565,45351.EDO42357,1.31e-136,395,"KOG0765@1|root,KOG0765@2759|Eukaryota,38CV4@33154|Opisthokonta,3BGVF@33208|Metazoa",33208|Metazoa,C,transmembrane transport,-,"GO:0003674,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005743,GO:0006810,GO:0006839,GO:0008150,GO:0016020,GO:0016021,GO:0019866,GO:0019867,GO:0022857,GO:0031090,GO:0031224,GO:0031300,GO:0031301,GO:0031306,GO:0031307,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0032592,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0098573,GO:0098588,GO:0098805",-,ko:K15121,-,-,-,-,"ko00000,ko02000",2.A.29,-,-,Mito_carr,4970
Montipora_capitata_HIv3___RNAseq.g21373.t1,61.28498581614823,-4.176269871470652,0.9151613950896804,-4.563424434070892,5.032592885473765e-6,0.0090335042294254,45351.EDO37093,1.7599999999999998e-61,189,"KOG4753@1|root,KOG4753@2759|Eukaryota,3A72A@33154|Opisthokonta,3BT5G@33208|Metazoa",33208|Metazoa,S,establishment of synaptic vesicle localization,TMEM230,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005769,GO:0005770,GO:0005783,GO:0005794,GO:0005802,GO:0006810,GO:0008021,GO:0008150,GO:0012505,GO:0016192,GO:0030133,GO:0031410,GO:0031982,GO:0031984,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044456,GO:0044464,GO:0045202,GO:0046907,GO:0048489,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0055037,GO:0070382,GO:0097458,GO:0097479,GO:0097480,GO:0097708,GO:0098791,GO:0098793,GO:0099003,GO:0099503",-,-,-,-,-,-,-,-,-,-,DUF872,2571
Montipora_capitata_HIv3___RNAseq.g21376.t1,56.83495261882141,-3.745828028019652,0.8445038480121301,-4.435536956802415,9.184307313097716e-6,0.01154008213890728,7668.SPU_002747-tr,2.89e-26,125,"KOG4775@1|root,KOG4775@2759|Eukaryota,39RJC@33154|Opisthokonta,3BD2Q@33208|Metazoa,3CV9R@33213|Bilateria",33208|Metazoa,D,Sfi1 homolog,SFI1,"GO:0000086,GO:0000278,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006996,GO:0007049,GO:0007346,GO:0008150,GO:0009892,GO:0009987,GO:0010389,GO:0010563,GO:0010564,GO:0010921,GO:0010923,GO:0016043,GO:0019220,GO:0019222,GO:0019899,GO:0019902,GO:0022402,GO:0022406,GO:0022607,GO:0030030,GO:0030031,GO:0031323,GO:0031324,GO:0035303,GO:0035305,GO:0043086,GO:0044085,GO:0044092,GO:0044424,GO:0044444,GO:0044464,GO:0044770,GO:0044772,GO:0044782,GO:0044839,GO:0045936,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0051174,GO:0051179,GO:0051336,GO:0051346,GO:0051640,GO:0051641,GO:0051726,GO:0060271,GO:0065007,GO:0065009,GO:0070925,GO:0071840,GO:0097711,GO:0120031,GO:0120036,GO:0140056,GO:1901987,GO:1901990,GO:1902749,GO:1903047",-,ko:K16489,-,-,-,-,"ko00000,ko03036",-,-,-,Sfi1,22351
