transcript_id,101112C14,101112H14,123C14,123H14,131415C14,131415H14,45C14,45H14,6C14,789H14,7C14,89C14
Montipora_capitata_HIv3___RNAseq.g4581.t1,176,195,63,138,198,196,50,411,114,150,208,235
Montipora_capitata_HIv3___RNAseq.g4582.t1,1137,882,643,927,1184,1314,420,590,1022,862,711,1563
Montipora_capitata_HIv3___RNAseq.g4588.t1,11,4,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4583.t1,2043,1847,1349,1377,2175,1932,703,1807,1769,1633,1874,2623
Montipora_capitata_HIv3___RNAseq.g4584.t1,2641,1917,2724,3178,1556,2267,1402,1021,1435,2783,1307,2195
Montipora_capitata_HIv3___TS.g26265.t1,0,0,0,1,0,0,0,0,0,0,0,2
Montipora_capitata_HIv3___TS.g26266.t1,0,4,0,0,6,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26267.t1,0,2,0,0,0,0,0,0,0,0,0,1
Montipora_capitata_HIv3___TS.g26268.t1,0,0,0,0,0,0,0,0,0,2,0,7
Montipora_capitata_HIv3___TS.g26272.t1,0,2,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4585.t1,521,304,641,426,310,453,289,238,169,489,267,355
Montipora_capitata_HIv3___RNAseq.g4586.t1,121,116,78,121,143,82,17,13,81,75,55,98
Montipora_capitata_HIv3___TS.g26269.t1,2,2,0,0,0,1,0,0,0,1,0,1
Montipora_capitata_HIv3___RNAseq.g4590.t1,356,190,1837,1270,445,236,330,101,94,210,43,135
Montipora_capitata_HIv3___TS.g26276.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___TS.g26277.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4589.t1,222,236,246,320,184,194,57,70,157,199,139,320
Montipora_capitata_HIv3___RNAseq.g4591.t1a,0,0,21,12,0,0,4,0,0,3,0,0
Montipora_capitata_HIv3___RNAseq.g4592.t1,281,101,371,321,34,170,127,75,103,202,46,105
Montipora_capitata_HIv3___RNAseq.g4591.t1b,4627,2719,5580,4957,2071,3411,2518,465,2298,4326,782,2829
Montipora_capitata_HIv3___RNAseq.g4597.t1,2,0,2,11,1,6,0,0,1,0,0,1
Montipora_capitata_HIv3___TS.g26285.t1,10,0,14,11,0,6,0,0,0,4,0,3
Montipora_capitata_HIv3___RNAseq.g4599.t1,63,74,41,95,29,93,28,5,49,88,47,77
Montipora_capitata_HIv3___RNAseq.g4606.t1,115,91,62,78,37,28,29,24,65,54,174,67
Montipora_capitata_HIv3___RNAseq.g4604.t1,89,94,21,62,129,60,0,39,70,49,87,204
Montipora_capitata_HIv3___RNAseq.g4605.t1,171,148,94,219,186,162,0,88,115,123,205,210
Montipora_capitata_HIv3___RNAseq.g4607.t1,186,114,101,143,257,152,38,61,49,223,171,264
Montipora_capitata_HIv3___RNAseq.g4593.t1,2,11,21,14,0,11,0,0,3,11,0,0
Montipora_capitata_HIv3___RNAseq.g4594.t1,767,753,1172,1516,741,867,344,503,470,880,671,912
Montipora_capitata_HIv3___RNAseq.g4609.t1,5,0,0,16,5,8,0,0,0,4,0,0
Montipora_capitata_HIv3___TS.g26295.t1,7677,6883,5791,8869,7326,7222,2958,2035,5440,5975,7752,10204
Montipora_capitata_HIv3___RNAseq.g4613.t1,0,0,0,0,0,0,0,0,0,0,0,0
Montipora_capitata_HIv3___RNAseq.g4615.t1,7,4,17,12,7,7,26,0,12,2,0,0
Montipora_capitata_HIv3___RNAseq.g4617.t1,14,8,2,0,0,3,0,0,0,12,4,12
Montipora_capitata_HIv3___TS.g26304.t1b,7,7,4,11,9,0,0,0,0,10,0,28
Montipora_capitata_HIv3___TS.g26304.t1a,1,0,2,4,0,0,0,0,3,0,0,2
Montipora_capitata_HIv3___TS.g26302.t1,5,2,6,2,5,3,0,0,3,3,2,2
Montipora_capitata_HIv3___TS.g26297.t1,1998,1942,1220,2200,1974,1814,434,1387,1304,1595,1783,2995
Montipora_capitata_HIv3___RNAseq.g4611.t2,256,162,209,115,230,238,36,193,117,143,198,173
Montipora_capitata_HIv3___TS.g26298.t1,3076,2762,1624,1915,2388,2430,1128,1466,1777,2422,2704,3597
Montipora_capitata_HIv3___TS.g26309.t1b,24,107,44,47,79,72,31,0,43,60,91,100
Montipora_capitata_HIv3___TS.g26309.t1a,27,33,6,16,12,17,4,0,0,5,28,30
Montipora_capitata_HIv3___RNAseq.g4623.t1,154,154,81,221,290,203,97,90,134,171,198,396
Montipora_capitata_HIv3___RNAseq.g4625.t1,230,237,612,638,178,274,247,35,133,405,74,221
Montipora_capitata_HIv3___TS.g26305.t1,64,80,72,40,109,72,0,22,35,122,101,147
Montipora_capitata_HIv3___RNAseq.g4620.t1,154,224,153,113,196,215,66,117,124,177,242,209
Montipora_capitata_HIv3___TS.g26306.t1,128,167,170,67,111,237,39,147,94,199,94,167
Montipora_capitata_HIv3___TS.g26307.t1c,72,67,98,181,170,99,84,50,203,114,101,172
Montipora_capitata_HIv3___TS.g26307.t1b,24,12,25,29,41,42,14,4,43,23,28,36
Montipora_capitata_HIv3___TS.g26307.t1a,331,410,311,630,469,477,107,117,427,366,420,710
Montipora_capitata_HIv3___RNAseq.g4635.t1,788,641,1050,1134,562,763,502,170,457,895,427,776
Montipora_capitata_HIv3___TS.g26320.t1,0,0,0,0,0,0,0,0,0,5,6,2
Montipora_capitata_HIv3___RNAseq.g4627.t1,2791,2217,1357,1770,2102,2269,746,811,2044,2616,2092,3804
Montipora_capitata_HIv3___TS.g26313.t3,415,298,246,376,300,415,235,189,350,437,192,455
Montipora_capitata_HIv3___RNAseq.g4629.t1,1255,972,991,1151,735,846,406,246,850,578,1871,537
Montipora_capitata_HIv3___TS.g26315.t1,2,4,6,5,3,14,3,0,0,7,9,3
Montipora_capitata_HIv3___RNAseq.g4631.t1,20,0,47,54,32,25,0,0,6,11,31,25
Montipora_capitata_HIv3___RNAseq.g4632.t1,3,13,10,0,28,7,10,0,16,7,10,39
Montipora_capitata_HIv3___RNAseq.g4633.t1,168,83,69,129,214,174,17,51,60,80,268,107
Montipora_capitata_HIv3___RNAseq.g4634.t1,42,39,48,40,45,16,0,5,36,13,24,36
Montipora_capitata_HIv3___RNAseq.g4641.t1,301,299,129,194,152,172,109,290,195,230,105,307
Montipora_capitata_HIv3___TS.g26322.t1,608,428,256,173,372,315,155,85,397,524,227,763
Montipora_capitata_HIv3___RNAseq.g4637.t1,35,22,26,12,33,33,10,4,18,26,32,31
