gene_id,GOs
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0000724
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0000725
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0000733
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0003674
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0003676
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0003677
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0003678
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0003824
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0004003
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0004386
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005488
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005575
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005622
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005623
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005634
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005654
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005694
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0005737
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006139
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006259
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006281
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006302
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006310
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006725
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006807
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006950
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006974
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0006996
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0008026
Montipora_capitata_HIv3___RNAseq.g5198.t1,GO:0008094
