gene_id,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Montipora_capitata_HIv3___TS.g28558.t3a,45351.EDO31263,3.7699999999999996e-66,220,"2D3RR@1|root,2S50Y@2759|Eukaryota,3A79B@33154|Opisthokonta,3BSXF@33208|Metazoa",33208|Metazoa,T,Pleckstrin homology domain.,-,-,-,ko:K20072,-,-,-,-,"ko00000,ko04131",-,-,-,PH
Montipora_capitata_HIv3___TS.g9507.t1,45351.EDO40495,5.41e-39,142,"COG5648@1|root,KOG0381@2759|Eukaryota,3A3CM@33154|Opisthokonta,3BQTR@33208|Metazoa",33208|Metazoa,K,DNA binding,-,-,-,"ko:K11670,ko:K11680",-,-,-,-,"ko00000,ko03036",-,-,-,HMG_box
Montipora_capitata_HIv3___TS.g9699.t2,6087.XP_002164579.1,4.72e-81,254,"28JXK@1|root,2RWZP@2759|Eukaryota,39YYG@33154|Opisthokonta,3BJCS@33208|Metazoa",33208|Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Montipora_capitata_HIv3___RNAseq.g40764.t1,45351.EDO47170,6.27e-195,565,"KOG4441@1|root,KOG4441@2759|Eukaryota,38BR7@33154|Opisthokonta,3BB6C@33208|Metazoa",33208|Metazoa,T,protein K33-linked ubiquitination,KLHL20,"GO:0000151,GO:0000209,GO:0003674,GO:0003779,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005794,GO:0005802,GO:0005829,GO:0005856,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0006810,GO:0006892,GO:0006895,GO:0006996,GO:0007010,GO:0008092,GO:0008150,GO:0008152,GO:0008582,GO:0009056,GO:0009057,GO:0009987,GO:0010033,GO:0010498,GO:0010941,GO:0012505,GO:0015629,GO:0016043,GO:0016192,GO:0016482,GO:0016567,GO:0016604,GO:0016605,GO:0016740,GO:0019538,GO:0019787,GO:0019941,GO:0019955,GO:0019961,GO:0019964,GO:0030163,GO:0031461,GO:0031463,GO:0031974,GO:0031981,GO:0031984,GO:0032446,GO:0032991,GO:0034097,GO:0035455,GO:0036211,GO:0040008,GO:0042221,GO:0042802,GO:0042803,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043632,GO:0043687,GO:0044087,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044431,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0045886,GO:0045926,GO:0046907,GO:0046983,GO:0048193,GO:0048519,GO:0048523,GO:0048638,GO:0048640,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0051093,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051603,GO:0051641,GO:0051649,GO:0051865,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0060548,GO:0065007,GO:0065008,GO:0070013,GO:0070647,GO:0071704,GO:0071840,GO:0098791,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1904396,GO:1904397,GO:1905809,GO:1990234,GO:1990390,GO:2000026",-,ko:K10457,-,-,-,-,"ko00000,ko04121",-,-,-,"BACK,BTB,Kelch_1"
Montipora_capitata_HIv3___TS.g48661.t1,45351.EDO38810,2.2899999999999998e-177,517,"COG5520@1|root,KOG2566@2759|Eukaryota,39A7W@33154|Opisthokonta,3BEX4@33208|Metazoa",33208|Metazoa,G,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"GO:0000323,GO:0001817,GO:0001818,GO:0001932,GO:0001933,GO:0003008,GO:0003674,GO:0003824,GO:0004348,GO:0004553,GO:0005102,GO:0005124,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005775,GO:0006066,GO:0006469,GO:0006629,GO:0006643,GO:0006664,GO:0006665,GO:0006670,GO:0006672,GO:0006677,GO:0006678,GO:0006680,GO:0006687,GO:0006807,GO:0006914,GO:0006950,GO:0006986,GO:0006996,GO:0007033,GO:0007154,GO:0007275,GO:0007568,GO:0007610,GO:0007611,GO:0007613,GO:0007626,GO:0008150,GO:0008152,GO:0008340,GO:0008344,GO:0008610,GO:0009056,GO:0009058,GO:0009267,GO:0009268,GO:0009410,GO:0009605,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009887,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010259,GO:0010506,GO:0010508,GO:0010556,GO:0010557,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010638,GO:0010646,GO:0010647,GO:0010648,GO:0010821,GO:0010822,GO:0010941,GO:0014070,GO:0016020,GO:0016042,GO:0016043,GO:0016137,GO:0016139,GO:0016236,GO:0016241,GO:0016787,GO:0016798,GO:0019220,GO:0019222,GO:0019377,GO:0019725,GO:0019751,GO:0019898,GO:0023021,GO:0023051,GO:0023056,GO:0023057,GO:0030104,GO:0030148,GO:0030149,GO:0030162,GO:0030534,GO:0031090,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031331,GO:0031333,GO:0031347,GO:0031348,GO:0031399,GO:0031400,GO:0031401,GO:0031644,GO:0031646,GO:0031667,GO:0031668,GO:0031669,GO:0031960,GO:0031974,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032270,GO:0032434,GO:0032436,GO:0032459,GO:0032460,GO:0032462,GO:0032463,GO:0032501,GO:0032502,GO:0032675,GO:0032715,GO:0033043,GO:0033554,GO:0033561,GO:0033574,GO:0033673,GO:0033993,GO:0034097,GO:0034311,GO:0034312,GO:0034612,GO:0034620,GO:0034641,GO:0035303,GO:0035304,GO:0035306,GO:0035307,GO:0035966,GO:0035967,GO:0042176,GO:0042221,GO:0042325,GO:0042326,GO:0042391,GO:0042493,GO:0042592,GO:0042594,GO:0043086,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043243,GO:0043244,GO:0043254,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043549,GO:0043588,GO:0043589,GO:0043603,GO:0043604,GO:0043627,GO:0044057,GO:0044087,GO:0044092,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0044283,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045732,GO:0045760,GO:0045859,GO:0045862,GO:0045936,GO:0045937,GO:0046165,GO:0046173,GO:0046466,GO:0046467,GO:0046477,GO:0046479,GO:0046512,GO:0046513,GO:0046514,GO:0046519,GO:0046520,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048585,GO:0048731,GO:0048856,GO:0048871,GO:0048878,GO:0050727,GO:0050728,GO:0050746,GO:0050747,GO:0050789,GO:0050790,GO:0050794,GO:0050877,GO:0050878,GO:0050890,GO:0050891,GO:0050896,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051338,GO:0051348,GO:0051384,GO:0051716,GO:0051969,GO:0051971,GO:0060249,GO:0060255,GO:0060548,GO:0061136,GO:0061919,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070050,GO:0070887,GO:0071310,GO:0071345,GO:0071356,GO:0071496,GO:0071548,GO:0071704,GO:0071840,GO:0071900,GO:0071901,GO:0080090,GO:0080134,GO:0097066,GO:0097164,GO:0097327,GO:0098588,GO:0098780,GO:0098805,GO:0098852,GO:0098900,GO:0098908,GO:1901135,GO:1901136,GO:1901214,GO:1901215,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1901654,GO:1901657,GO:1901658,GO:1901700,GO:1901800,GO:1901804,GO:1901805,GO:1902531,GO:1902532,GO:1903050,GO:1903052,GO:1903059,GO:1903061,GO:1903146,GO:1903362,GO:1903364,GO:1903509,GO:1903599,GO:1904350,GO:1904457,GO:1904923,GO:1904925,GO:1905037,GO:1905165,GO:2000058,GO:2000060,GO:2000112",3.2.1.45,ko:K01201,"ko00511,ko00600,ko01100,ko04142,map00511,map00600,map01100,map04142",-,R01498,"RC00059,RC00451","ko00000,ko00001,ko01000",-,GH30,-,"Glyco_hydro_30,Glyco_hydro_30C"
Montipora_capitata_HIv3___TS.g45793.t1b,45351.EDO37268,0,1630,"2CMWM@1|root,2QSEC@2759|Eukaryota,39597@33154|Opisthokonta,3BB8G@33208|Metazoa",33208|Metazoa,S,Cilia and flagella associated protein 61,CFAP61,"GO:0003341,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005929,GO:0005930,GO:0006928,GO:0006996,GO:0007017,GO:0007018,GO:0008150,GO:0009987,GO:0016043,GO:0030030,GO:0031514,GO:0032838,GO:0042995,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044441,GO:0044444,GO:0044446,GO:0044463,GO:0044464,GO:0044782,GO:0071840,GO:0097014,GO:0099568,GO:0120025,GO:0120036,GO:0120038",-,-,-,-,-,-,-,-,-,-,"DUF4821,Pyr_redox_2"
Montipora_capitata_HIv3___RNAseq.g20824.t1a,10224.XP_006816237.1,0,981,"COG5126@1|root,KOG0027@2759|Eukaryota,39T4D@33154|Opisthokonta,3BCNW@33208|Metazoa,3CXXT@33213|Bilateria",33208|Metazoa,T,EF-hand calcium-binding domain-containing protein 6,EFCAB6,"GO:0003674,GO:0005488,GO:0005509,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0031974,GO:0031981,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0046872,GO:0070013",-,-,-,-,-,-,-,-,-,-,"EF-hand_11,EF-hand_5,EF-hand_6,EF-hand_7,EF-hand_8"
Montipora_capitata_HIv3___RNAseq.g28195.t1,45351.EDO42554,1.2899999999999998e-225,644,"COG5126@1|root,KOG0027@2759|Eukaryota,38DAB@33154|Opisthokonta,3BCD5@33208|Metazoa",33208|Metazoa,T,EF-hand calcium binding domain 7,EFCAB7,"GO:0005575,GO:0005623,GO:0005886,GO:0005929,GO:0006355,GO:0006357,GO:0008150,GO:0009889,GO:0009891,GO:0009893,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016020,GO:0019219,GO:0019222,GO:0019898,GO:0031090,GO:0031253,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032386,GO:0032388,GO:0032879,GO:0032880,GO:0032991,GO:0033157,GO:0042306,GO:0042307,GO:0042995,GO:0043226,GO:0043227,GO:0044422,GO:0044425,GO:0044441,GO:0044459,GO:0044463,GO:0044464,GO:0045893,GO:0045935,GO:0045944,GO:0046822,GO:0046824,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051049,GO:0051050,GO:0051171,GO:0051173,GO:0051222,GO:0051223,GO:0051252,GO:0051254,GO:0060170,GO:0060255,GO:0060341,GO:0065007,GO:0070201,GO:0071944,GO:0080090,GO:0090087,GO:0090316,GO:0098588,GO:0098590,GO:0098796,GO:0098797,GO:0120025,GO:0120038,GO:1900180,GO:1900182,GO:1902680,GO:1903506,GO:1903508,GO:1903564,GO:1903566,GO:1903567,GO:1903569,GO:1903827,GO:1903829,GO:1904375,GO:1904377,GO:1904589,GO:1904591,GO:1904951,GO:1905475,GO:1905477,GO:2000112,GO:2001141",-,-,-,-,-,-,-,-,-,-,"EF-hand_1,EF-hand_5,EF-hand_7"
Montipora_capitata_HIv3___TS.g15697.t1,45351.EDO33172,4.1e-84,278,"KOG0401@1|root,KOG0401@2759|Eukaryota,38BXU@33154|Opisthokonta,3B9GC@33208|Metazoa",33208|Metazoa,J,regulation of mRNA cap binding,Eif4g,"GO:0000003,GO:0000280,GO:0000339,GO:0000340,GO:0003006,GO:0003674,GO:0003676,GO:0003723,GO:0003743,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006413,GO:0006417,GO:0006518,GO:0006807,GO:0006996,GO:0007049,GO:0007140,GO:0007276,GO:0007281,GO:0007283,GO:0008135,GO:0008150,GO:0008152,GO:0008190,GO:0008283,GO:0009058,GO:0009059,GO:0009889,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010608,GO:0016043,GO:0016281,GO:0019222,GO:0019538,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0030154,GO:0031323,GO:0031326,GO:0031369,GO:0032268,GO:0032501,GO:0032502,GO:0032504,GO:0032991,GO:0034248,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0048134,GO:0048136,GO:0048137,GO:0048232,GO:0048285,GO:0048468,GO:0048515,GO:0048609,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051171,GO:0051246,GO:0051301,GO:0051321,GO:0051704,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0097159,GO:0140013,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1903046,GO:2000112",-,ko:K03260,"ko03013,ko05416,map03013,map05416",M00428,-,-,"ko00000,ko00001,ko00002,ko03012,ko03019",-,-,-,"MA3,MIF4G,W2"
Montipora_capitata_HIv3___RNAseq.g47569.t1,7668.SPU_014795-tr,2.48e-138,441,"2CMDE@1|root,2QQ1C@2759|Eukaryota,38G2Y@33154|Opisthokonta,3BB3R@33208|Metazoa,3CU2F@33213|Bilateria",33208|Metazoa,S,hair follicle maturation,TRPC4AP,"GO:0000151,GO:0001942,GO:0003674,GO:0005215,GO:0005216,GO:0005261,GO:0005262,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0006816,GO:0007275,GO:0008150,GO:0008152,GO:0008324,GO:0008544,GO:0009056,GO:0009057,GO:0009888,GO:0009987,GO:0015075,GO:0015085,GO:0015267,GO:0015318,GO:0016020,GO:0016567,GO:0019538,GO:0019899,GO:0019902,GO:0019941,GO:0021700,GO:0022404,GO:0022405,GO:0022803,GO:0022838,GO:0022857,GO:0022890,GO:0030001,GO:0030163,GO:0031461,GO:0031464,GO:0032446,GO:0032501,GO:0032502,GO:0032991,GO:0034220,GO:0036211,GO:0042303,GO:0042633,GO:0043170,GO:0043412,GO:0043588,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044424,GO:0044464,GO:0046873,GO:0048513,GO:0048731,GO:0048820,GO:0048856,GO:0051179,GO:0051234,GO:0051603,GO:0055085,GO:0060429,GO:0070588,GO:0070647,GO:0070838,GO:0071695,GO:0071704,GO:0071944,GO:0072511,GO:0080008,GO:0098655,GO:0098660,GO:0098662,GO:0098773,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1990234",-,ko:K11796,-,-,-,-,"ko00000,ko01009,ko04121",-,-,-,DUF3689
