gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,transcript_lengths
Montipora_capitata_HIv3___TS.g26493.t2a,164.36680439595878,6.167437789855383,1.1787928180452794,5.231994711405242,1.6769054962791473e-7,4.2140635121494974e-4,45351.EDO39808,1.1699999999999999e-147,424,"COG0543@1|root,KOG0534@2759|Eukaryota,38GQ8@33154|Opisthokonta,3BEKR@33208|Metazoa",33208|Metazoa,C,"cytochrome-b5 reductase activity, acting on NAD(P)H",CYB5R3,"GO:0000166,GO:0000323,GO:0001775,GO:0001878,GO:0002252,GO:0002263,GO:0002274,GO:0002275,GO:0002283,GO:0002366,GO:0002376,GO:0002443,GO:0002444,GO:0002446,GO:0002576,GO:0003008,GO:0003013,GO:0003674,GO:0003824,GO:0004128,GO:0005488,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005764,GO:0005766,GO:0005773,GO:0005775,GO:0005783,GO:0005789,GO:0005794,GO:0005798,GO:0005811,GO:0005829,GO:0005833,GO:0005886,GO:0005975,GO:0005996,GO:0006082,GO:0006732,GO:0006766,GO:0006767,GO:0006810,GO:0006811,GO:0006820,GO:0006887,GO:0006890,GO:0006955,GO:0008015,GO:0008144,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009620,GO:0009987,GO:0010883,GO:0012505,GO:0012506,GO:0015701,GO:0015711,GO:0016020,GO:0016192,GO:0016208,GO:0016491,GO:0016651,GO:0016653,GO:0017076,GO:0019752,GO:0019852,GO:0019867,GO:0030117,GO:0030120,GO:0030126,GO:0030135,GO:0030137,GO:0030141,GO:0030554,GO:0030659,GO:0030660,GO:0030662,GO:0030663,GO:0030667,GO:0031090,GO:0031091,GO:0031092,GO:0031410,GO:0031966,GO:0031967,GO:0031968,GO:0031974,GO:0031975,GO:0031982,GO:0031983,GO:0031984,GO:0032501,GO:0032553,GO:0032555,GO:0032559,GO:0032879,GO:0032940,GO:0032991,GO:0034774,GO:0035578,GO:0036094,GO:0036230,GO:0042119,GO:0042175,GO:0042582,GO:0043167,GO:0043168,GO:0043169,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043299,GO:0043312,GO:0043436,GO:0043531,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044431,GO:0044432,GO:0044433,GO:0044437,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0045055,GO:0045321,GO:0046903,GO:0048037,GO:0048193,GO:0048475,GO:0050660,GO:0050662,GO:0050789,GO:0050896,GO:0051179,GO:0051186,GO:0051234,GO:0051287,GO:0051704,GO:0051707,GO:0055114,GO:0060205,GO:0065007,GO:0065008,GO:0070013,GO:0071702,GO:0071704,GO:0071944,GO:0071949,GO:0097159,GO:0097367,GO:0097708,GO:0098588,GO:0098796,GO:0098805,GO:0098827,GO:0099503,GO:1901265,GO:1901363,GO:1905952",1.6.2.2,ko:K00326,"ko00520,map00520",-,R00100,-,"ko00000,ko00001,ko01000",-,-,-,"FAD_binding_6,NAD_binding_1",18020
Montipora_capitata_HIv3___RNAseq.g5394.t1,704.537037919669,0.7627359835852207,0.18125214360194408,4.208148761320579,2.574713508496642e-5,0.01753307279877352,45351.EDO31081,1.33e-58,186,"COG5251@1|root,KOG3219@2759|Eukaryota,39ZUY@33154|Opisthokonta,3BPDS@33208|Metazoa",33208|Metazoa,K,transcription initiation from RNA polymerase II promoter,TAF11,"GO:0000428,GO:0003674,GO:0003676,GO:0003677,GO:0003712,GO:0003713,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005667,GO:0005669,GO:0005737,GO:0005794,GO:0006139,GO:0006351,GO:0006352,GO:0006366,GO:0006367,GO:0006725,GO:0006807,GO:0008134,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009301,GO:0009889,GO:0009891,GO:0009893,GO:0009966,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010646,GO:0012505,GO:0016043,GO:0016070,GO:0016073,GO:0016591,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022607,GO:0023051,GO:0030880,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0031974,GO:0031981,GO:0032459,GO:0032461,GO:0032774,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0034660,GO:0035257,GO:0035821,GO:0042795,GO:0042809,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043254,GO:0043900,GO:0043902,GO:0043903,GO:0043921,GO:0043923,GO:0043933,GO:0044085,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044798,GO:0045935,GO:0046483,GO:0046782,GO:0046966,GO:0047485,GO:0048518,GO:0048522,GO:0048524,GO:0048583,GO:0050434,GO:0050789,GO:0050792,GO:0050794,GO:0051123,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051427,GO:0051702,GO:0051704,GO:0051817,GO:0051851,GO:0052312,GO:0052472,GO:0055029,GO:0060147,GO:0060148,GO:0060255,GO:0060966,GO:0060968,GO:0061695,GO:0065003,GO:0065004,GO:0065007,GO:0070013,GO:0070578,GO:0070897,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0090575,GO:0097159,GO:0097659,GO:0098781,GO:0140110,GO:1900368,GO:1900370,GO:1901090,GO:1901092,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901796,GO:1902494,GO:1902531,GO:1902555,GO:1902680,GO:1903506,GO:1903508,GO:1905348,GO:1990234,GO:2001141",-,ko:K03135,"ko03022,map03022",-,-,-,"ko00000,ko00001,ko03021",-,-,-,TAFII28,15485
Montipora_capitata_HIv3___RNAseq.g9870.t1,154.31682319449007,1.8154483819332208,0.4166603644242033,4.357142020076829,1.317717707609219e-5,0.01182651642579274,45351.EDO44563,1.4300000000000001e-117,342,"COG0200@1|root,KOG0846@2759|Eukaryota,38I02@33154|Opisthokonta,3BC2K@33208|Metazoa",33208|Metazoa,J,ribosomal protein L15,MRPL15,"GO:0000002,GO:0000313,GO:0000315,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0005761,GO:0005762,GO:0005840,GO:0006412,GO:0006414,GO:0006415,GO:0006518,GO:0006807,GO:0006996,GO:0007005,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010033,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0019866,GO:0022411,GO:0031090,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032543,GO:0032984,GO:0032991,GO:0034097,GO:0034641,GO:0034645,GO:0042221,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0050896,GO:0051716,GO:0070013,GO:0070125,GO:0070126,GO:0070887,GO:0071310,GO:0071345,GO:0071704,GO:0071840,GO:0098798,GO:0140053,GO:1901564,GO:1901566,GO:1901576,GO:1990823,GO:1990830,GO:1990904",-,ko:K02876,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L27A,8463
Montipora_capitata_HIv3___TS.g38156.t1c,156.20286504042647,2.1464147115936236,0.5563539740032049,3.858001941011136,1.1431774040984628e-4,0.03990006689582551,45351.EDO42229,4.34e-109,351,"COG5210@1|root,KOG1091@2759|Eukaryota,38CVA@33154|Opisthokonta,3BD5K@33208|Metazoa",33208|Metazoa,U,"TBC1 domain family, member 5",TBC1D5,"GO:0002090,GO:0002092,GO:0003674,GO:0005096,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005773,GO:0005776,GO:0005794,GO:0006810,GO:0006886,GO:0006914,GO:0006950,GO:0008047,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009605,GO:0009893,GO:0009987,GO:0009991,GO:0010008,GO:0010604,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016192,GO:0016197,GO:0016236,GO:0016482,GO:0017016,GO:0017137,GO:0019222,GO:0019899,GO:0030100,GO:0030234,GO:0030695,GO:0030904,GO:0031090,GO:0031267,GO:0031323,GO:0031325,GO:0031338,GO:0031410,GO:0031667,GO:0031982,GO:0032879,GO:0032991,GO:0033036,GO:0033043,GO:0034613,GO:0035612,GO:0042147,GO:0042594,GO:0042886,GO:0043085,GO:0043087,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043547,GO:0044093,GO:0044237,GO:0044248,GO:0044422,GO:0044424,GO:0044425,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0044877,GO:0045184,GO:0045807,GO:0046907,GO:0048259,GO:0048260,GO:0048518,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051020,GO:0051049,GO:0051050,GO:0051128,GO:0051130,GO:0051179,GO:0051234,GO:0051336,GO:0051345,GO:0051641,GO:0051649,GO:0060255,GO:0060589,GO:0060627,GO:0061919,GO:0065007,GO:0065009,GO:0070727,GO:0071702,GO:0071705,GO:0090630,GO:0097708,GO:0098588,GO:0098772,GO:0098796,GO:0098805,GO:1905394",-,ko:K18469,-,-,-,-,"ko00000,ko04131",-,-,-,RabGAP-TBC,28221
Montipora_capitata_HIv3___RNAseq.g24946.t1,38.81248727888843,2.9881634340378707,0.706742331517555,4.228080448529984,2.356935238588781e-5,0.01753307279877352,6087.XP_002163362.2,1.93e-46,162,"COG0091@1|root,KOG1711@2759|Eukaryota,39N6Y@33154|Opisthokonta,3BJ7D@33208|Metazoa",33208|Metazoa,J,structural constituent of ribosome,MRPL22,"GO:0000313,GO:0000315,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005740,GO:0005743,GO:0005759,GO:0005761,GO:0005762,GO:0005840,GO:0006412,GO:0006414,GO:0006415,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0016020,GO:0016043,GO:0019538,GO:0019866,GO:0022411,GO:0031090,GO:0031966,GO:0031967,GO:0031974,GO:0031975,GO:0032543,GO:0032984,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0070013,GO:0070125,GO:0070126,GO:0071704,GO:0071840,GO:0098798,GO:0140053,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02890,"ko03010,map03010","M00178,M00179",-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_L22,5240
Montipora_capitata_HIv3___RNAseq.g40764.t1,117.99151564869013,-4.698711431717567,0.9779608621879626,-4.804600688421498,1.5506065400828144e-6,0.00194833711761405,45351.EDO47170,6.27e-195,565,"KOG4441@1|root,KOG4441@2759|Eukaryota,38BR7@33154|Opisthokonta,3BB6C@33208|Metazoa",33208|Metazoa,T,protein K33-linked ubiquitination,KLHL20,"GO:0000151,GO:0000209,GO:0003674,GO:0003779,GO:0003824,GO:0004842,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005794,GO:0005802,GO:0005829,GO:0005856,GO:0006464,GO:0006508,GO:0006511,GO:0006807,GO:0006810,GO:0006892,GO:0006895,GO:0006996,GO:0007010,GO:0008092,GO:0008150,GO:0008152,GO:0008582,GO:0009056,GO:0009057,GO:0009987,GO:0010033,GO:0010498,GO:0010941,GO:0012505,GO:0015629,GO:0016043,GO:0016192,GO:0016482,GO:0016567,GO:0016604,GO:0016605,GO:0016740,GO:0019538,GO:0019787,GO:0019941,GO:0019955,GO:0019961,GO:0019964,GO:0030163,GO:0031461,GO:0031463,GO:0031974,GO:0031981,GO:0031984,GO:0032446,GO:0032991,GO:0034097,GO:0035455,GO:0036211,GO:0040008,GO:0042221,GO:0042802,GO:0042803,GO:0042981,GO:0043066,GO:0043067,GO:0043069,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043632,GO:0043687,GO:0044087,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044431,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0045886,GO:0045926,GO:0046907,GO:0046983,GO:0048193,GO:0048519,GO:0048523,GO:0048638,GO:0048640,GO:0050789,GO:0050793,GO:0050794,GO:0050803,GO:0050807,GO:0050896,GO:0051093,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051239,GO:0051241,GO:0051603,GO:0051641,GO:0051649,GO:0051865,GO:0051960,GO:0051961,GO:0051963,GO:0051964,GO:0060548,GO:0065007,GO:0065008,GO:0070013,GO:0070647,GO:0071704,GO:0071840,GO:0098791,GO:0140096,GO:1901564,GO:1901565,GO:1901575,GO:1902494,GO:1904396,GO:1904397,GO:1905809,GO:1990234,GO:1990390,GO:2000026",-,ko:K10457,-,-,-,-,"ko00000,ko04121",-,-,-,"BACK,BTB,Kelch_1",3514
Montipora_capitata_HIv3___RNAseq.g40947.t1,120.08660809708408,-1.5316340532027546,0.38690112170308893,-3.9587221832304302,7.535182407312551e-5,0.03297724724360746,45351.EDO35352,1.7399999999999998e-207,602,"COG1055@1|root,KOG2639@2759|Eukaryota,38FH6@33154|Opisthokonta,3B9J7@33208|Metazoa",33208|Metazoa,P,transmembrane transport,OCA2,"GO:0000003,GO:0000323,GO:0003006,GO:0003333,GO:0003674,GO:0005215,GO:0005302,GO:0005342,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005768,GO:0005773,GO:0005774,GO:0005783,GO:0005789,GO:0006582,GO:0006725,GO:0006726,GO:0006810,GO:0006811,GO:0006812,GO:0006820,GO:0006855,GO:0006865,GO:0007276,GO:0007281,GO:0007283,GO:0007286,GO:0008150,GO:0008152,GO:0008283,GO:0008324,GO:0008509,GO:0008514,GO:0009058,GO:0009987,GO:0010008,GO:0012505,GO:0012506,GO:0015075,GO:0015171,GO:0015173,GO:0015179,GO:0015238,GO:0015318,GO:0015711,GO:0015801,GO:0015807,GO:0015828,GO:0015849,GO:0015893,GO:0016020,GO:0016021,GO:0018958,GO:0019438,GO:0019748,GO:0019953,GO:0022412,GO:0022414,GO:0022857,GO:0030154,GO:0030318,GO:0030659,GO:0031090,GO:0031224,GO:0031410,GO:0031982,GO:0031984,GO:0032501,GO:0032502,GO:0032504,GO:0033162,GO:0034220,GO:0042175,GO:0042221,GO:0042438,GO:0042440,GO:0042441,GO:0042470,GO:0042493,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043324,GO:0043473,GO:0043474,GO:0044237,GO:0044249,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044433,GO:0044437,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0044550,GO:0044703,GO:0045009,GO:0046148,GO:0046189,GO:0046942,GO:0046943,GO:0048066,GO:0048069,GO:0048232,GO:0048468,GO:0048515,GO:0048609,GO:0048770,GO:0048856,GO:0048869,GO:0050896,GO:0050931,GO:0051179,GO:0051234,GO:0051704,GO:0055085,GO:0071702,GO:0071704,GO:0071705,GO:0090741,GO:0097708,GO:0098588,GO:0098655,GO:0098656,GO:0098805,GO:0098827,GO:0098852,GO:1901360,GO:1901362,GO:1901576,GO:1901615,GO:1901617,GO:1902475,GO:1903825,GO:1905039",-,-,-,-,-,-,-,-,-,-,"CitMHS,Na_sulph_symp",56101
Montipora_capitata_HIv3___RNAseq.g41946.t1,66.03358783145484,-4.871404081764557,1.2317924608105375,-3.954727956817581,7.662178603701378e-5,0.03297724724360746,45351.EDO35821,4.239999999999999e-157,447,"KOG0316@1|root,KOG0316@2759|Eukaryota,38CA2@33154|Opisthokonta,3BD8E@33208|Metazoa",33208|Metazoa,S,WD repeat,WDR83,"GO:0000165,GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005737,GO:0005768,GO:0006139,GO:0006396,GO:0006397,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010008,GO:0010467,GO:0012505,GO:0016020,GO:0016070,GO:0016071,GO:0016310,GO:0019538,GO:0023014,GO:0023052,GO:0031090,GO:0031410,GO:0031982,GO:0032947,GO:0032991,GO:0034641,GO:0035556,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044428,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071013,GO:0071704,GO:0090304,GO:0097708,GO:0098588,GO:0098805,GO:1901360,GO:1901564,GO:1902494,GO:1990904",-,ko:K13124,-,-,-,-,"ko00000,ko03041",-,-,-,WD40,9146
Montipora_capitata_HIv3___TS.g48661.t1,176.18284652168035,2.1075517908556742,0.3707342696917221,5.68480435490405,1.3096249708127124e-8,5.485145919420577e-5,45351.EDO38810,2.2899999999999998e-177,517,"COG5520@1|root,KOG2566@2759|Eukaryota,39A7W@33154|Opisthokonta,3BEX4@33208|Metazoa",33208|Metazoa,G,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"GO:0000323,GO:0001817,GO:0001818,GO:0001932,GO:0001933,GO:0003008,GO:0003674,GO:0003824,GO:0004348,GO:0004553,GO:0005102,GO:0005124,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005765,GO:0005773,GO:0005774,GO:0005775,GO:0006066,GO:0006469,GO:0006629,GO:0006643,GO:0006664,GO:0006665,GO:0006670,GO:0006672,GO:0006677,GO:0006678,GO:0006680,GO:0006687,GO:0006807,GO:0006914,GO:0006950,GO:0006986,GO:0006996,GO:0007033,GO:0007154,GO:0007275,GO:0007568,GO:0007610,GO:0007611,GO:0007613,GO:0007626,GO:0008150,GO:0008152,GO:0008340,GO:0008344,GO:0008610,GO:0009056,GO:0009058,GO:0009267,GO:0009268,GO:0009410,GO:0009605,GO:0009628,GO:0009653,GO:0009719,GO:0009725,GO:0009887,GO:0009889,GO:0009891,GO:0009892,GO:0009893,GO:0009894,GO:0009896,GO:0009966,GO:0009968,GO:0009987,GO:0009991,GO:0010033,GO:0010259,GO:0010506,GO:0010508,GO:0010556,GO:0010557,GO:0010562,GO:0010563,GO:0010604,GO:0010605,GO:0010638,GO:0010646,GO:0010647,GO:0010648,GO:0010821,GO:0010822,GO:0010941,GO:0014070,GO:0016020,GO:0016042,GO:0016043,GO:0016137,GO:0016139,GO:0016236,GO:0016241,GO:0016787,GO:0016798,GO:0019220,GO:0019222,GO:0019377,GO:0019725,GO:0019751,GO:0019898,GO:0023021,GO:0023051,GO:0023056,GO:0023057,GO:0030104,GO:0030148,GO:0030149,GO:0030162,GO:0030534,GO:0031090,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031328,GO:0031329,GO:0031331,GO:0031333,GO:0031347,GO:0031348,GO:0031399,GO:0031400,GO:0031401,GO:0031644,GO:0031646,GO:0031667,GO:0031668,GO:0031669,GO:0031960,GO:0031974,GO:0032101,GO:0032102,GO:0032268,GO:0032269,GO:0032270,GO:0032434,GO:0032436,GO:0032459,GO:0032460,GO:0032462,GO:0032463,GO:0032501,GO:0032502,GO:0032675,GO:0032715,GO:0033043,GO:0033554,GO:0033561,GO:0033574,GO:0033673,GO:0033993,GO:0034097,GO:0034311,GO:0034312,GO:0034612,GO:0034620,GO:0034641,GO:0035303,GO:0035304,GO:0035306,GO:0035307,GO:0035966,GO:0035967,GO:0042176,GO:0042221,GO:0042325,GO:0042326,GO:0042391,GO:0042493,GO:0042592,GO:0042594,GO:0043086,GO:0043202,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043243,GO:0043244,GO:0043254,GO:0043405,GO:0043407,GO:0043408,GO:0043409,GO:0043549,GO:0043588,GO:0043589,GO:0043603,GO:0043604,GO:0043627,GO:0044057,GO:0044087,GO:0044092,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044249,GO:0044255,GO:0044271,GO:0044281,GO:0044283,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0045732,GO:0045760,GO:0045859,GO:0045862,GO:0045936,GO:0045937,GO:0046165,GO:0046173,GO:0046466,GO:0046467,GO:0046477,GO:0046479,GO:0046512,GO:0046513,GO:0046514,GO:0046519,GO:0046520,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048545,GO:0048583,GO:0048585,GO:0048731,GO:0048856,GO:0048871,GO:0048878,GO:0050727,GO:0050728,GO:0050746,GO:0050747,GO:0050789,GO:0050790,GO:0050794,GO:0050877,GO:0050878,GO:0050890,GO:0050891,GO:0050896,GO:0051128,GO:0051129,GO:0051130,GO:0051171,GO:0051172,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051248,GO:0051338,GO:0051348,GO:0051384,GO:0051716,GO:0051969,GO:0051971,GO:0060249,GO:0060255,GO:0060548,GO:0061136,GO:0061919,GO:0065007,GO:0065008,GO:0065009,GO:0070013,GO:0070050,GO:0070887,GO:0071310,GO:0071345,GO:0071356,GO:0071496,GO:0071548,GO:0071704,GO:0071840,GO:0071900,GO:0071901,GO:0080090,GO:0080134,GO:0097066,GO:0097164,GO:0097327,GO:0098588,GO:0098780,GO:0098805,GO:0098852,GO:0098900,GO:0098908,GO:1901135,GO:1901136,GO:1901214,GO:1901215,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901617,GO:1901654,GO:1901657,GO:1901658,GO:1901700,GO:1901800,GO:1901804,GO:1901805,GO:1902531,GO:1902532,GO:1903050,GO:1903052,GO:1903059,GO:1903061,GO:1903146,GO:1903362,GO:1903364,GO:1903509,GO:1903599,GO:1904350,GO:1904457,GO:1904923,GO:1904925,GO:1905037,GO:1905165,GO:2000058,GO:2000060,GO:2000112",3.2.1.45,ko:K01201,"ko00511,ko00600,ko01100,ko04142,map00511,map00600,map01100,map04142",-,R01498,"RC00059,RC00451","ko00000,ko00001,ko01000",-,GH30,-,"Glyco_hydro_30,Glyco_hydro_30C",10789
Montipora_capitata_HIv3___TS.g21346.t1,226.19186371771724,-5.293603265377165,1.3943467872601416,-3.796475391734483,1.4676792428137985e-4,0.04728561457937275,45351.EDO33966,2.13e-122,365,"KOG2369@1|root,KOG2369@2759|Eukaryota,38DE3@33154|Opisthokonta,3BDIK@33208|Metazoa",33208|Metazoa,I,phosphatidylethanolamine catabolic process,PLA2G15,"GO:0000323,GO:0003674,GO:0003824,GO:0004620,GO:0004622,GO:0004623,GO:0005488,GO:0005543,GO:0005575,GO:0005576,GO:0005615,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005764,GO:0005773,GO:0006082,GO:0006629,GO:0006631,GO:0006643,GO:0006644,GO:0006650,GO:0006665,GO:0006672,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008289,GO:0008374,GO:0009056,GO:0009062,GO:0009395,GO:0009987,GO:0016042,GO:0016054,GO:0016298,GO:0016740,GO:0016746,GO:0016747,GO:0016787,GO:0016788,GO:0019637,GO:0019752,GO:0031974,GO:0031981,GO:0032787,GO:0034638,GO:0034641,GO:0043167,GO:0043168,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044282,GO:0044421,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046337,GO:0046338,GO:0046395,GO:0046434,GO:0046470,GO:0046475,GO:0046486,GO:0046503,GO:0047499,GO:0052689,GO:0070013,GO:0071704,GO:0072329,GO:0097164,GO:1901564,GO:1901565,GO:1901575",3.1.1.5,ko:K06129,"ko00564,ko04142,map00564,map04142",-,R02746,"RC00020,RC00041","ko00000,ko00001,ko01000",-,-,-,LCAT,4772
