gene_id,GOs
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0003674
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0003824
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0004175
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0004222
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0005575
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0005622
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0005623
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0005737
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0005739
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0005740
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0005758
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0006508
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0006518
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0006807
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0008150
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0008152
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0008233
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0008237
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0009987
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0016787
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0019538
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0031967
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0031970
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0031974
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0031975
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0034641
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0043170
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0043226
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0043227
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0043229
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0043231
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0043233
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0043603
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044237
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044238
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044422
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044424
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044429
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044444
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044446
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0044464
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0070011
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0070013
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0071704
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:0140096
Montipora_capitata_HIv3___RNAseq.g7017.t1,GO:1901564
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0000151
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0000209
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0003674
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0003779
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0003824
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0004842
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005488
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005515
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005575
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005622
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005623
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005634
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005654
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005737
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005794
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005802
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005829
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0005856
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006464
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006508
Montipora_capitata_HIv3___RNAseq.g40764.t1,GO:0006511
