gene_id,GOs
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0000166
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0000323
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0001775
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0001878
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002252
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002263
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002274
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002275
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002283
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002366
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002376
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002443
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002444
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002446
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0002576
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0003008
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0003013
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0003674
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0003824
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0004128
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005488
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005575
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005576
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005622
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005623
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005737
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005739
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005740
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005741
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005764
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005766
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005773
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005775
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005783
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005789
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005794
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005798
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005811
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005829
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005833
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005886
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005975
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0005996
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006082
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006732
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006766
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006767
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006810
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006811
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006820
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006887
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006890
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0006955
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0008015
Montipora_capitata_HIv3___TS.g26493.t2a,GO:0008144
