list,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cluster,gpcr_adjacent,Description,Preferred_name,PFAMs,peak_stage
int,Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,-0.9770427257055834,0.4590028999409376,39.74472210325416,5.112721636886361e-7,0.00156129736986417,2,TRUE,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"Glyco_hydro_30,Glyco_hydro_30C",earlygastrula
int,Montipora_capitata_HIv3___RNAseq.g35580.t1,3971.050026652453,0.5519602911965288,0.954681864274606,30.56416417585183,3.069736302250863e-5,0.03124735744332857,1,TRUE,pineal gland development,-,"HMG_box,SOXp",earlygastrula
joint,Montipora_capitata_HIv3___RNAseq.g11410.t1,784.8442303246196,-2.022576685615434,0.791226806271575,37.006611341128405,2.6246890783961675e-5,0.01084782392782006,1,TRUE,Synaptosomal-associated protein,SNAP29,V-SNARE_C,earlygastrula
joint,Montipora_capitata_HIv3___RNAseq.g11828.t1,3199.2417119928723,0.8894516440889735,1.0281586290572733,52.95245138639825,2.9842088689738246e-8,6.236445340792201e-5,1,TRUE,positive regulation of N-terminal peptidyl-lysine acetylation,SOX4,HMG_box,earlygastrula
joint,Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,-0.9770427257055834,0.4590028999409376,50.64577803985151,8.14275655142301e-8,1.243297140945401e-4,2,TRUE,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"Glyco_hydro_30,Glyco_hydro_30C",earlygastrula
joint,Montipora_capitata_HIv3___RNAseq.g19903.t1,2605.049539998706,0.5881890936639445,1.052358403477697,34.8314493075178,6.38027464524049e-5,0.02361668327018563,1,TRUE,polyposis coli,APC2,"APC_15aa,APC_N_CC,APC_basic,APC_r,APC_u13,APC_u14,APC_u15,APC_u5,APC_u9,Arm,Arm_APC_u3,EB1_binding,SAMP,Suppressor_APC",earlygastrula
joint,Montipora_capitata_HIv3___RNAseq.g29575.t1,450.1571582981137,0.24666819739792104,0.6254193883181725,40.004684217529984,7.583691217090935e-6,0.00487551516930346,1,TRUE,Belongs to the PI3 PI4-kinase family,PI4KA,"PI3Ka,PI3_PI4_kinase",earlygastrula
joint,Montipora_capitata_HIv3___RNAseq.g39730.t1,899.5663768872142,0.11724631898038526,0.4170394023331446,41.58545273611685,3.912449806095867e-6,0.00265503191008116,1,TRUE,Component of the post-replicative DNA mismatch repair system (MMR),MSH6,"MutS_I,MutS_II,MutS_III,MutS_IV,MutS_V,PWWP",earlygastrula
joint,Montipora_capitata_HIv3___RNAseq.g35580.t1,3971.050026652453,0.5519602911965288,0.954681864274606,48.86312356212363,1.760816001097929e-7,2.15083674534112e-4,1,TRUE,pineal gland development,-,"HMG_box,SOXp",earlygastrula
joint,Montipora_capitata_HIv3___RNAseq.g7741.t1,2812.545494065151,0.5361436021337916,1.0218230267124957,52.89249556366428,3.06333786694664e-8,6.236445340792201e-5,1,TRUE,positive regulation of N-terminal peptidyl-lysine acetylation,SOX4,HMG_box,earlygastrula
prawnchip_low.int,Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,-2.068895542673344,0.4615290091207905,-4.482698815865498,7.370492008515856e-6,0.01792160190294674,2,TRUE,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"Glyco_hydro_30,Glyco_hydro_30C",earlygastrula
earlygastrula_low.int,Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,-2.3390384365522463,0.4581790583630184,-5.105074956741062,3.306634197096924e-7,0.00201952683587694,2,TRUE,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"Glyco_hydro_30,Glyco_hydro_30C",earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___RNAseq.g5394.t1,704.6347827155588,0.7099419777951561,0.17296772953166897,4.104476480771354,4.0523149297322706e-5,0.03033664264270821,1,TRUE,transcription initiation from RNA polymerase II promoter,TAF11,TAFII28,earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___TS.g38156.t1c,156.27628076966656,2.1414763675309736,0.5597288602128675,3.825917367770817,1.302859906562053e-4,0.04728986654787961,1,TRUE,"TBC1 domain family, member 5",TBC1D5,RabGAP-TBC,earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,2.100521541479402,0.3724212905503235,5.64017577613643,1.6987665697387973e-8,1.0173912986165655e-4,2,TRUE,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"Glyco_hydro_30,Glyco_hydro_30C",earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___RNAseq.g45000.t1,344.73547145623985,-1.0315840730822443,0.26449090995721075,-3.90026286063719,9.608830414287854e-5,0.04426714257782304,1,TRUE,phosphatase 5,PPP5C,"Metallophos,PPP5,TPR_1,TPR_8",earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___TS.g46137.t1a,255.8110884339009,-1.4809778173397108,0.3556565384197335,-4.16406745654121,3.1262768370963135e-5,0.02496436263649309,2,TRUE,transcription by RNA polymerase II,gt,bZIP_2,earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___RNAseq.g19088.t1,368.0924247924568,-0.8470718420151735,0.2120715036300937,-3.994274702237605,6.489259295756939e-5,0.03627416988536706,NA,TRUE,"aspartic endopeptidase activity, intramembrane cleaving",SPPL2A,"PA,Peptidase_A22B",prawnchip
cleavage_low.vs.control,Montipora_capitata_HIv3___RNAseq.g20689.t1,212.2016121703596,1.0769447678779764,0.27076143667829766,3.977467327289806,6.965318979491089e-5,0.03627416988536706,2,TRUE,factor 1 alpha subunit inhibitor,HIF1AN,Cupin_8,prawnchip
cleavage_low.vs.control,Montipora_capitata_HIv3___RNAseq.g22859.t1,945.7522063020016,-0.5579873077835427,0.142106332750752,-3.9265477968686087,8.617377435364756e-5,0.04128757876831962,2,TRUE,positive regulation of double-strand break repair via homologous recombination,MMS19,"MMS19_C,MMS19_N",earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___RNAseq.g23082.t1,77.28927721332056,-2.4623439187865124,0.605024423011063,-4.069825655189275,4.704833272719606e-5,0.03130805163368636,1,TRUE,positive regulation of ER to Golgi vesicle-mediated transport,STX18,Syntaxin-18_N,earlygastrula
cleavage_low.vs.control,Montipora_capitata_HIv3___RNAseq.g39295.t2,403.5635385517811,1.0211628054507171,0.2437525287851766,4.189342406169193,2.797639930803056e-5,0.02393580792225643,NA,TRUE,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,SLC2A8,Sugar_tr,prawnchip
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g11410.t1,784.8442303246196,3.621127688466884,0.6053167776473991,5.982202744388847,2.2014001526795183e-9,2.6890102864980316e-5,1,TRUE,Synaptosomal-associated protein,SNAP29,V-SNARE_C,earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g11828.t1,3199.2417119928723,3.5458566902689803,0.7654672173991226,4.632277659541014,3.616646560024948e-6,0.00339825674851574,1,TRUE,positive regulation of N-terminal peptidyl-lysine acetylation,SOX4,HMG_box,earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g24646.t1,1360.1994232985496,2.9770747695292568,0.6891675182198429,4.31981294942513,1.561615087046264e-5,0.00867051285830459,1,TRUE,homeodomain 2,PITX2,"Homeobox,OAR",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g26744.t1,377.97398667818754,1.6988971824429893,0.4094477201044341,4.149240791986013,3.3357977732520014e-5,0.01496584065138287,1,TRUE,"cassette, sub-family E",ABCE1,"ABC_tran,Fer4,RLI",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g41271.t2,118.71345884883706,2.5667371924722127,0.6256168560289123,4.102730237744096,4.083032121748948e-5,0.01697381866546632,2,TRUE,Cell division cycle 73,CDC73,"CDC73_C,CDC73_N",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g41261.t1,5104.007767600421,1.8286143074288972,0.49722165277193386,3.677664271526904,2.3537948587968455e-4,0.04970841882860967,1,TRUE,negative regulation of protein depolymerization,SPTAN1,"EF-hand_1,EF-hand_7,EF-hand_8,EFhand_Ca_insen,SH3_1,Spectrin",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___TS.g48661.t1,176.24000193679515,1.697936228747964,0.3508296110306392,4.8397745668043886,1.2998649225546936e-6,0.00176420555877839,2,TRUE,Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process,GBA,"Glyco_hydro_30,Glyco_hydro_30C",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g27935.t1,1807.4900592154745,0.9022633814263962,0.24220541608735116,3.7251990314741583,1.951611771451559e-4,0.04543318636192528,2,TRUE,SCL-interrupting locus protein,STIL,STIL_N,earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g33365.t1,201.263637322019,2.290578035506033,0.6191959091243355,3.699278373375172,2.162133515843587e-4,0.04803060883133874,1,TRUE,inner cell mass cell fate commitment,LATS1,"Pkinase,Pkinase_C,UBA",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g39730.t1,899.5663768872142,1.2117350506221092,0.31316451198990186,3.869324282379678,1.091374045811649e-4,0.02962474215464287,1,TRUE,Component of the post-replicative DNA mismatch repair system (MMR),MSH6,"MutS_I,MutS_II,MutS_III,MutS_IV,MutS_V,PWWP",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g15684.t2,120.05923146101348,2.8890070390145524,0.6461921877720685,4.470817031965717,7.79213413728826e-6,0.00594731359681354,2,TRUE,thyroid hormone mediated signaling pathway,MED1,Med1,earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g15754.t1,1266.5594935286226,3.06518828995336,0.7915456967958521,3.8724085070023495,1.0776513440149014e-4,0.02962474215464287,1,TRUE,bicaudal D homolog,BICD1,BicD,earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___TS.g5420.t1,564.7222632369942,1.092252398059906,0.2468540031350318,4.424689833619721,9.65809441553688e-6,0.00594731359681354,2,TRUE,SIK family kinase 3,SIK3,"KA1,Pkinase",prawnchip
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g35580.t1,3971.050026652453,3.6016679620466636,0.7143392959144432,5.041956928095465,4.607950209621543e-7,0.00146732748962734,1,TRUE,pineal gland development,-,"HMG_box,SOXp",earlygastrula
cleavage_mid.vs.control,Montipora_capitata_HIv3___RNAseq.g7741.t1,2812.545494065151,3.794119436488457,0.7615437829169557,4.982142224253698,6.288418674155109e-7,0.00146732748962734,1,TRUE,positive regulation of N-terminal peptidyl-lysine acetylation,SOX4,HMG_box,earlygastrula
